probe_id,probe_type,required_component_groups,best_resolved_groups_in_any_205_session_window,best_window_start,best_window_end,all_required_components_in_one_205_session_window,unresolved_groups_in_best_window,naive_exact_upper_bound_from_missing_binary_links
mdgo_v11_probe_000000,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000001,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000002,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000003,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000004,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000005,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000006,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000007,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000008,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000009,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000010,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000011,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000012,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000013,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000014,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000015,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000016,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000017,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000018,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000019,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000020,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000021,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000022,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000023,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000024,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000025,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000026,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000027,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000028,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000029,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000030,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000031,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000032,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000033,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000034,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000035,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000036,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000037,scope_temporal_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000038,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000039,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000040,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000041,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000042,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000043,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000044,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000045,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000046,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000047,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000048,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000049,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000050,provenance_weighted_triple,3,0,0,204,0,3,0.125
mdgo_v11_probe_000051,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000052,triple_asof_interleaved,3,0,0,204,0,3,0.125
