probe_id,user_id,probe_type,probe_timestamp,last_visible_session_timestamp,as_of_timestamp,probe_after_history,probe_after_as_of,timeline_is_past_relative_to_2026_07_25
mdgo_v11_probe_000000,mdgo_v07_sof_user_0016,suggestion_rejection_pair,2025-06-16T12:00:00,2025-06-15T12:00:00,,1,1,1
mdgo_v11_probe_000001,mdgo_v05_fin_user_0002,reference_case_reconstruction,2025-06-20T11:00:00,2025-06-18T10:00:00,,1,1,1
mdgo_v11_probe_000002,mdgo_v07_sof_user_0014,triple_asof_interleaved,2025-06-14T15:00:00,2025-06-11T13:00:00,2025-05-23T00:30:00,1,1,1
mdgo_v11_probe_000003,mdgo_v05_fin_user_0006,dual_asof_reversal,2025-06-21T14:00:00,2025-06-17T11:00:00,2023-05-16T16:00:00,1,1,1
mdgo_v11_probe_000004,mdgo_v05_fin_user_0031,triple_asof_interleaved,2025-06-19T21:00:00,2025-06-14T17:00:00,2025-06-03T16:00:00,1,1,1
mdgo_v11_probe_000005,mdgo_v05_fin_user_0018,triple_asof_interleaved,2025-07-03T02:05:00,2025-06-11T13:00:00,2025-07-01T21:00:00,1,1,1
mdgo_v11_probe_000006,mdgo_v05_fin_user_0030,triple_asof_interleaved,2025-06-20T01:00:00,2025-06-12T19:00:00,2025-05-31T15:30:00,1,1,1
mdgo_v11_probe_000007,mdgo_v05_fin_user_0009,suggestion_rejection_pair,2025-06-23T01:00:00,2025-06-15T01:00:00,,1,1,1
mdgo_v11_probe_000008,mdgo_v07_sof_user_0012,surface_decoy_pair,2025-06-23T16:00:00,2025-06-14T15:00:00,,1,1,1
mdgo_v11_probe_000009,mdgo_v05_fin_user_0030,suggestion_rejection_pair,2025-06-22T21:00:00,2025-06-12T19:00:00,,1,1,1
mdgo_v11_probe_000010,mdgo_v05_fin_user_0025,surface_decoy_pair,2025-06-22T13:00:00,2025-06-11T10:00:00,,1,1,1
mdgo_v11_probe_000011,mdgo_v07_sof_user_0010,triple_asof_interleaved,2025-06-28T13:00:00,2025-06-16T09:00:00,2025-06-26T14:00:00,1,1,1
mdgo_v11_probe_000012,mdgo_v05_fin_user_0029,suggestion_rejection_pair,2025-06-30T18:00:00,2025-06-17T13:00:00,,1,1,1
mdgo_v11_probe_000013,mdgo_v05_fin_user_0035,triple_asof_interleaved,2025-06-30T18:00:00,2025-06-16T12:00:00,2025-06-28T13:00:00,1,1,1
mdgo_v11_probe_000014,mdgo_v05_sof_user_0008,dual_asof_reversal,2025-07-07T12:03:00,2025-06-10T19:00:00,2025-07-06T12:00:00,1,1,1
mdgo_v11_probe_000015,mdgo_v05_sof_user_0008,triple_asof_interleaved,2025-06-30T13:04:00,2025-06-10T19:00:00,2025-06-29T12:00:00,1,1,1
mdgo_v11_probe_000016,mdgo_v05_fin_user_0014,suggestion_rejection_pair,2025-06-28T17:00:00,2025-06-11T15:00:00,,1,1,1
mdgo_v11_probe_000017,mdgo_v05_sof_user_0008,dual_asof_reversal,2025-07-07T15:06:00,2025-06-10T19:00:00,2025-07-06T12:00:00,1,1,1
mdgo_v11_probe_000018,mdgo_v05_fin_user_0002,surface_decoy_pair,2025-07-07T14:00:00,2025-06-18T10:00:00,,1,1,1
mdgo_v11_probe_000019,mdgo_v05_fin_user_0006,suggestion_rejection_pair,2025-07-07T16:00:00,2025-06-17T11:00:00,,1,1,1
mdgo_v11_probe_000020,mdgo_v05_fin_user_0016,dual_asof_reversal,2025-07-13T06:09:00,2025-06-15T17:00:00,2025-07-12T00:00:00,1,1,1
mdgo_v11_probe_000021,mdgo_v07_sof_user_0015,reference_case_reconstruction,2025-07-06T10:00:00,2025-06-14T10:00:00,,1,1,1
mdgo_v11_probe_000022,mdgo_v07_sof_user_0015,dual_asof_reversal,2025-07-07T11:00:00,2025-06-14T10:00:00,2025-05-26T09:30:00,1,1,1
mdgo_v11_probe_000023,mdgo_v05_fin_user_0006,triple_asof_interleaved,2025-07-11T13:00:00,2025-06-17T11:00:00,2025-07-06T09:00:00,1,1,1
mdgo_v11_probe_000024,mdgo_v05_fin_user_0008,suggestion_rejection_pair,2025-07-11T23:00:00,2025-06-16T20:00:00,,1,1,1
mdgo_v11_probe_000025,mdgo_v05_fin_user_0014,triple_asof_interleaved,2025-07-07T19:00:00,2025-06-11T15:00:00,2025-06-30T16:00:00,1,1,1
mdgo_v11_probe_000026,mdgo_v05_fin_user_0002,surface_decoy_pair,2025-07-15T15:00:00,2025-06-18T10:00:00,,1,1,1
mdgo_v11_probe_000027,mdgo_v05_fin_user_0028,triple_asof_interleaved,2025-07-12T16:00:00,2025-06-14T10:00:00,2025-07-03T10:00:00,1,1,1
mdgo_v11_probe_000028,mdgo_v05_sof_user_0003,triple_asof_interleaved,2025-07-16T13:00:00,2025-06-17T13:00:00,2025-06-06T14:00:00,1,1,1
mdgo_v11_probe_000029,mdgo_v05_sof_user_0005,reference_case_reconstruction,2025-07-14T16:00:00,2025-06-14T15:00:00,,1,1,1
mdgo_v11_probe_000030,mdgo_v05_fin_user_0030,reference_case_reconstruction,2025-07-13T21:00:00,2025-06-12T19:00:00,,1,1,1
mdgo_v11_probe_000031,mdgo_v05_fin_user_0031,triple_asof_interleaved,2025-07-16T20:00:00,2025-06-14T17:00:00,2025-07-06T15:00:00,1,1,1
mdgo_v11_probe_000032,mdgo_v05_fin_user_0035,reference_case_reconstruction,2025-07-19T16:00:00,2025-06-16T12:00:00,,1,1,1
mdgo_v11_probe_000033,mdgo_v07_sof_user_0015,surface_decoy_pair,2025-07-18T15:00:00,2025-06-14T10:00:00,,1,1,1
mdgo_v11_probe_000034,mdgo_v05_fin_user_0010,dual_asof_reversal,2025-07-22T17:00:00,2025-06-17T11:00:00,2025-05-30T02:00:00,1,1,1
mdgo_v11_probe_000035,mdgo_v05_sof_user_0005,dual_asof_reversal,2025-07-20T15:00:00,2025-06-14T15:00:00,2025-07-14T13:00:00,1,1,1
mdgo_v11_probe_000036,mdgo_v05_fin_user_0007,surface_decoy_pair,2025-07-18T12:00:00,2025-06-11T11:00:00,,1,1,1
mdgo_v11_probe_000037,mdgo_v07_sof_user_0011,scope_temporal_pair,2025-07-20T17:00:00,2025-06-12T15:00:00,2025-06-24T15:00:00,1,1,1
mdgo_v11_probe_000038,mdgo_v05_fin_user_0027,reference_case_reconstruction,2025-07-24T18:00:00,2025-06-15T15:00:00,,1,1,1
mdgo_v11_probe_000039,mdgo_v05_sof_user_0007,triple_asof_interleaved,2025-07-24T15:00:00,2025-06-14T11:00:00,2025-07-05T13:00:00,1,1,1
mdgo_v11_probe_000040,mdgo_v05_sof_user_0004,triple_asof_interleaved,2025-07-27T22:00:00,2025-06-16T17:00:00,2025-06-03T04:00:00,1,1,1
mdgo_v11_probe_000041,mdgo_v05_fin_user_0011,dual_asof_reversal,2025-07-30T01:00:00,2025-06-17T19:00:00,2025-07-16T11:00:00,1,1,1
mdgo_v11_probe_000042,mdgo_v05_fin_user_0031,triple_asof_interleaved,2025-07-27T17:00:00,2025-06-14T17:00:00,2025-06-03T16:00:00,1,1,1
mdgo_v11_probe_000043,mdgo_v05_sof_user_0008,triple_asof_interleaved,2025-07-24T20:00:00,2025-06-10T19:00:00,2025-06-29T12:00:00,1,1,1
mdgo_v11_probe_000044,mdgo_v07_sof_user_0010,surface_decoy_pair,2025-07-31T11:00:00,2025-06-16T09:00:00,,1,1,1
mdgo_v11_probe_000045,mdgo_v05_fin_user_0004,dual_asof_reversal,2025-07-31T21:00:00,2025-06-15T18:00:00,2023-05-20T15:00:00,1,1,1
mdgo_v11_probe_000046,mdgo_v05_fin_user_0015,triple_asof_interleaved,2025-08-05T00:00:00,2025-06-18T20:00:00,2025-06-04T03:30:00,1,1,1
mdgo_v11_probe_000047,mdgo_v07_sof_user_0014,dual_asof_reversal,2025-07-29T18:00:00,2025-06-11T13:00:00,2025-06-28T14:00:00,1,1,1
mdgo_v11_probe_000048,mdgo_v05_fin_user_0004,dual_asof_reversal,2025-08-04T00:00:00,2025-06-15T18:00:00,2023-05-20T15:00:00,1,1,1
mdgo_v11_probe_000049,mdgo_v05_fin_user_0022,surface_decoy_pair,2025-08-01T16:00:00,2025-06-12T16:00:00,,1,1,1
mdgo_v11_probe_000050,mdgo_v05_fin_user_0016,provenance_weighted_triple,2025-08-05T18:00:00,2025-06-15T17:00:00,,1,1,1
mdgo_v11_probe_000051,mdgo_v05_fin_user_0017,reference_case_reconstruction,2025-08-02T17:00:00,2025-06-11T15:00:00,,1,1,1
mdgo_v11_probe_000052,mdgo_v05_fin_user_0013,triple_asof_interleaved,2025-08-08T18:00:00,2025-06-16T15:00:00,2025-06-05T17:00:00,1,1,1
mdgo_v11_probe_000053,mdgo_v05_fin_user_0007,dual_asof_reversal,2025-08-04T15:00:00,2025-06-11T11:00:00,2025-07-02T11:00:00,1,1,1
mdgo_v11_probe_000054,mdgo_v05_fin_user_0001,surface_decoy_pair,2025-08-05T20:00:00,2025-06-11T15:00:00,,1,1,1
mdgo_v11_probe_000055,mdgo_v05_fin_user_0023,reference_case_reconstruction,2025-08-08T23:00:00,2025-06-13T17:00:00,,1,1,1
mdgo_v11_probe_000056,mdgo_v05_sof_user_0006,surface_decoy_pair,2025-08-08T14:00:00,2025-06-12T14:00:00,,1,1,1
mdgo_v11_probe_000057,mdgo_v05_fin_user_0024,triple_asof_interleaved,2025-08-12T19:00:00,2025-06-15T18:00:00,2025-07-02T17:00:00,1,1,1
mdgo_v11_probe_000058,mdgo_v05_fin_user_0009,triple_asof_interleaved,2025-08-13T03:00:00,2025-06-15T01:00:00,2025-06-03T10:30:00,1,1,1
mdgo_v11_probe_000059,mdgo_v05_fin_user_0010,surface_decoy_pair,2025-08-16T14:00:00,2025-06-17T11:00:00,,1,1,1
mdgo_v11_probe_000060,mdgo_v05_fin_user_0000,surface_decoy_pair,2025-08-12T18:00:00,2025-06-12T14:00:00,,1,1,1
mdgo_v11_probe_000061,mdgo_v05_sof_user_0007,dual_asof_reversal,2025-08-15T16:00:00,2025-06-14T11:00:00,2025-06-05T03:00:00,1,1,1
mdgo_v11_probe_000062,mdgo_v05_fin_user_0026,surface_decoy_pair,2025-08-17T01:00:00,2025-06-14T19:00:00,,1,1,1
mdgo_v11_probe_000063,mdgo_v05_fin_user_0035,triple_asof_interleaved,2025-08-19T12:00:00,2025-06-16T12:00:00,2025-06-28T13:00:00,1,1,1
