probe_id,probe_type,gold_choice_id,gold_word_count,mean_distractor_word_count,gold_minus_distractor_mean,longest_choice_ids,shortest_choice_ids,longest_baseline_credit,shortest_baseline_credit
mdgo_v05_probe_000000,long_gap_direct,A,45,46,-1,C,"B,D",0.0,0.0
mdgo_v05_probe_000001,implicit_direct,B,41,39.333,1.667,"A,B",D,0.5,0.0
mdgo_v05_probe_000002,boundary_near_miss,C,51,44.333,6.667,C,A,1.0,0.0
mdgo_v05_probe_000003,boundary_plus_active,D,80,74.667,5.333,D,B,1.0,0.0
mdgo_v05_probe_000004,exception_nested,A,58,46.667,11.333,A,B,1.0,0.0
mdgo_v05_probe_000005,exception_plus_active,B,67,67.333,-0.333,C,D,0.0,0.0
mdgo_v05_probe_000006,composition_pair,C,65,65.667,-0.667,B,A,0.0,0.0
mdgo_v05_probe_000007,composition_pair_2,D,70,77,-7,B,"A,D",0.0,0.5
mdgo_v05_probe_000008,composition_triple,A,89,92.333,-3.333,C,"A,B",0.0,0.5
mdgo_v05_probe_000009,priority_pair,B,66,74,-8,A,B,0.0,1.0
mdgo_v05_probe_000010,priority_triple,C,102,104.667,-2.667,B,D,0.0,0.0
mdgo_v05_probe_000011,drift_recent_override,D,35,42.333,-7.333,B,D,0.0,1.0
mdgo_v05_probe_000012,drift_composition,A,70,78,-8,B,A,0.0,1.0
mdgo_v05_probe_000013,drift_exception,B,39,44.333,-5.333,C,B,0.0,1.0
mdgo_v05_probe_000014,false_personalization,C,53,56.333,-3.333,B,A,0.0,0.0
mdgo_v05_probe_000015,insufficient_evidence,D,59,59,0,B,C,0.0,0.0
mdgo_v05_probe_000016,temporal_scope,A,72,73,-1,B,D,0.0,0.0
mdgo_v05_probe_000017,explicit_retrieval,B,84,67,17,B,"A,D",1.0,0.0
mdgo_v05_probe_000018,long_gap_direct,C,39,39.333,-0.333,A,"B,D",0.0,0.0
mdgo_v05_probe_000019,implicit_direct,D,55,45.667,9.333,D,C,1.0,0.0
mdgo_v05_probe_000020,boundary_near_miss,A,44,42.667,1.333,"A,D","B,C",0.5,0.0
