mode,probe_id,user_id,probe_type,predicted_choice_id,gold_choice_id,correct
choice_only,mdgo_v05_probe_000000,mdgo_v05_fin_user_0000,long_gap_direct,C,A,0
choice_only,mdgo_v05_probe_000001,mdgo_v05_fin_user_0000,implicit_direct,A,B,0
choice_only,mdgo_v05_probe_000002,mdgo_v05_fin_user_0000,boundary_near_miss,C,C,1
choice_only,mdgo_v05_probe_000003,mdgo_v05_fin_user_0000,boundary_plus_active,C,D,0
choice_only,mdgo_v05_probe_000004,mdgo_v05_fin_user_0000,exception_nested,A,A,1
choice_only,mdgo_v05_probe_000005,mdgo_v05_fin_user_0000,exception_plus_active,C,B,0
choice_only,mdgo_v05_probe_000006,mdgo_v05_fin_user_0000,composition_pair,B,C,0
choice_only,mdgo_v05_probe_000007,mdgo_v05_fin_user_0000,composition_pair_2,A,D,0
choice_only,mdgo_v05_probe_000008,mdgo_v05_fin_user_0000,composition_triple,B,A,0
choice_only,mdgo_v05_probe_000009,mdgo_v05_fin_user_0000,priority_pair,D,B,0
choice_only,mdgo_v05_probe_000010,mdgo_v05_fin_user_0000,priority_triple,C,C,1
choice_only,mdgo_v05_probe_000011,mdgo_v05_fin_user_0000,drift_recent_override,A,D,0
choice_only,mdgo_v05_probe_000012,mdgo_v05_fin_user_0000,drift_composition,D,A,0
choice_only,mdgo_v05_probe_000013,mdgo_v05_fin_user_0000,drift_exception,B,B,1
choice_only,mdgo_v05_probe_000014,mdgo_v05_fin_user_0000,false_personalization,C,C,1
choice_only,mdgo_v05_probe_000015,mdgo_v05_fin_user_0000,insufficient_evidence,D,D,1
choice_only,mdgo_v05_probe_000016,mdgo_v05_fin_user_0000,temporal_scope,B,A,0
choice_only,mdgo_v05_probe_000017,mdgo_v05_fin_user_0000,explicit_retrieval,A,B,0
choice_only,mdgo_v05_probe_000018,mdgo_v05_fin_user_0001,long_gap_direct,D,C,0
choice_only,mdgo_v05_probe_000019,mdgo_v05_fin_user_0001,implicit_direct,B,D,0
choice_only,mdgo_v05_probe_000020,mdgo_v05_fin_user_0001,boundary_near_miss,A,A,1
choice_only,mdgo_v05_probe_000021,mdgo_v05_fin_user_0001,boundary_plus_active,C,B,0
choice_only,mdgo_v05_probe_000022,mdgo_v05_fin_user_0001,exception_nested,C,C,1
choice_only,mdgo_v05_probe_000023,mdgo_v05_fin_user_0001,exception_plus_active,C,D,0
choice_only,mdgo_v05_probe_000024,mdgo_v05_fin_user_0001,composition_pair,D,A,0
choice_only,mdgo_v05_probe_000025,mdgo_v05_fin_user_0001,composition_pair_2,C,B,0
choice_only,mdgo_v05_probe_000026,mdgo_v05_fin_user_0001,composition_triple,A,C,0
