probe_id,user_id,choice_id,is_gold,query_entities_json,choice_entities_json,extra_choice_entities_json,pass
mdgo_v05_probe_000000,mdgo_v05_fin_user_0000,A,True,"{""amount"": [], ""account_last4"": [""8610""], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000000,mdgo_v05_fin_user_0000,B,False,"{""amount"": [], ""account_last4"": [""8610""], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000000,mdgo_v05_fin_user_0000,C,False,"{""amount"": [], ""account_last4"": [""8610""], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000000,mdgo_v05_fin_user_0000,D,False,"{""amount"": [], ""account_last4"": [""8610""], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000001,mdgo_v05_fin_user_0000,A,False,"{""amount"": [""$195""], ""account_last4"": [""8610""], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": [""Riverbend Hotel""]}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000001,mdgo_v05_fin_user_0000,B,True,"{""amount"": [""$195""], ""account_last4"": [""8610""], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": [""Riverbend Hotel""]}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000001,mdgo_v05_fin_user_0000,C,False,"{""amount"": [""$195""], ""account_last4"": [""8610""], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": [""Riverbend Hotel""]}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000001,mdgo_v05_fin_user_0000,D,False,"{""amount"": [""$195""], ""account_last4"": [""8610""], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": [""Riverbend Hotel""]}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000002,mdgo_v05_fin_user_0000,A,False,"{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000002,mdgo_v05_fin_user_0000,B,False,"{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000002,mdgo_v05_fin_user_0000,C,True,"{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000002,mdgo_v05_fin_user_0000,D,False,"{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000003,mdgo_v05_fin_user_0000,A,False,"{""amount"": [""$8500""], ""account_last4"": [""4120""], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000003,mdgo_v05_fin_user_0000,B,False,"{""amount"": [""$8500""], ""account_last4"": [""4120""], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000003,mdgo_v05_fin_user_0000,C,False,"{""amount"": [""$8500""], ""account_last4"": [""4120""], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000003,mdgo_v05_fin_user_0000,D,True,"{""amount"": [""$8500""], ""account_last4"": [""4120""], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000004,mdgo_v05_fin_user_0000,A,True,"{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000004,mdgo_v05_fin_user_0000,B,False,"{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
mdgo_v05_probe_000004,mdgo_v05_fin_user_0000,C,False,"{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}","{""amount"": [], ""account_last4"": [], ""error_code"": [], ""case_reference"": [], ""version"": [], ""merchant"": []}",{},True
