probe_id,user_id,probe_type,target_habit_count,evidence_count,max_evidence_distance,median_evidence_distance,query_token_estimate
mdgo_v05_probe_000000,mdgo_v05_fin_user_0000,long_gap_direct,1,4,291,189.0,423
mdgo_v05_probe_000001,mdgo_v05_fin_user_0000,implicit_direct,1,4,112,65.5,395
mdgo_v05_probe_000002,mdgo_v05_fin_user_0000,boundary_near_miss,1,1,192,192,420
mdgo_v05_probe_000003,mdgo_v05_fin_user_0000,boundary_plus_active,2,5,192,80,672
mdgo_v05_probe_000004,mdgo_v05_fin_user_0000,exception_nested,1,1,122,122,430
mdgo_v05_probe_000005,mdgo_v05_fin_user_0000,exception_plus_active,2,11,297,86,574
mdgo_v05_probe_000006,mdgo_v05_fin_user_0000,composition_pair,2,6,141,70.5,596
mdgo_v05_probe_000007,mdgo_v05_fin_user_0000,composition_pair_2,2,11,296,85,626
mdgo_v05_probe_000008,mdgo_v05_fin_user_0000,composition_triple,3,11,296,156,726
mdgo_v05_probe_000009,mdgo_v05_fin_user_0000,priority_pair,2,12,296,90.5,636
mdgo_v05_probe_000010,mdgo_v05_fin_user_0000,priority_triple,3,16,296,102.5,874
mdgo_v05_probe_000011,mdgo_v05_fin_user_0000,drift_recent_override,1,4,109,62.5,403
mdgo_v05_probe_000012,mdgo_v05_fin_user_0000,drift_composition,2,11,296,85,620
mdgo_v05_probe_000013,mdgo_v05_fin_user_0000,drift_exception,1,5,109,45,406
mdgo_v05_probe_000014,mdgo_v05_fin_user_0000,false_personalization,1,0,,,439
mdgo_v05_probe_000015,mdgo_v05_fin_user_0000,insufficient_evidence,1,1,265,265,466
mdgo_v05_probe_000016,mdgo_v05_fin_user_0000,temporal_scope,2,9,296,85,624
mdgo_v05_probe_000017,mdgo_v05_fin_user_0000,explicit_retrieval,2,4,291,189.0,612
mdgo_v05_probe_000018,mdgo_v05_fin_user_0001,long_gap_direct,1,0,,,388
mdgo_v05_probe_000019,mdgo_v05_fin_user_0001,implicit_direct,1,5,295,155,429
mdgo_v05_probe_000020,mdgo_v05_fin_user_0001,boundary_near_miss,1,0,,,396
mdgo_v05_probe_000021,mdgo_v05_fin_user_0001,boundary_plus_active,2,0,,,622
