user_id,domain,non_anchor_sessions,unique_first_user_requests,unique_first_user_request_ratio,unique_full_sessions,unique_full_session_ratio,pass
mdgo_v05_fin_user_0000,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0001,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0002,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0003,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0004,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0005,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0006,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0007,finance,319,318,0.9969,319,1.0,True
mdgo_v05_fin_user_0008,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0009,finance,319,318,0.9969,319,1.0,True
mdgo_v05_fin_user_0010,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0011,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0012,finance,319,318,0.9969,319,1.0,True
mdgo_v05_fin_user_0013,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0014,finance,319,318,0.9969,319,1.0,True
mdgo_v05_fin_user_0015,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0016,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0017,finance,319,317,0.9937,319,1.0,True
mdgo_v05_fin_user_0018,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0019,finance,319,318,0.9969,319,1.0,True
mdgo_v05_fin_user_0020,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0021,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0022,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0023,finance,319,318,0.9969,319,1.0,True
mdgo_v05_fin_user_0024,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0025,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0026,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0027,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0028,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0029,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0030,finance,319,318,0.9969,319,1.0,True
mdgo_v05_fin_user_0031,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0032,finance,319,318,0.9969,319,1.0,True
mdgo_v05_fin_user_0033,finance,319,317,0.9937,319,1.0,True
mdgo_v05_fin_user_0034,finance,319,319,1.0,319,1.0,True
mdgo_v05_fin_user_0035,finance,319,319,1.0,319,1.0,True
mdgo_v05_sof_user_0000,software,319,319,1.0,319,1.0,True
mdgo_v05_sof_user_0001,software,319,317,0.9937,319,1.0,True
mdgo_v05_sof_user_0002,software,319,319,1.0,319,1.0,True
mdgo_v05_sof_user_0003,software,319,318,0.9969,319,1.0,True
mdgo_v05_sof_user_0004,software,319,319,1.0,319,1.0,True
mdgo_v05_sof_user_0005,software,319,317,0.9937,319,1.0,True
mdgo_v05_sof_user_0006,software,319,319,1.0,319,1.0,True
mdgo_v05_sof_user_0007,software,319,319,1.0,319,1.0,True
mdgo_v05_sof_user_0008,software,319,319,1.0,319,1.0,True
