habit_id,domain,family,matched_source_events,supporting_cluster_count,top_clusters_json,retained,retention_reason
finance_confirm_money_movement,finance,risk_threshold,1680,30,"[[5, 77], [15, 68], [21, 67], [16, 67], [18, 67], [23, 64], [26, 61], [19, 60]]",yes,"source theme spans enough events and clusters with a scoped, evaluable policy"
finance_confirm_card_account_changes,finance,risk_threshold,2741,30,"[[7, 132], [8, 116], [18, 111], [0, 110], [23, 106], [4, 102], [9, 102], [17, 100]]",yes,"source theme spans enough events and clusters with a scoped, evaluable policy"
finance_minimal_pii_secure_verification,finance,privacy_consent,8303,30,"[[7, 314], [8, 312], [5, 308], [23, 305], [17, 292], [0, 286], [13, 286], [14, 286]]",yes,"source theme spans enough events and clusters with a scoped, evaluable policy"
finance_fraud_lost_card_urgent_escalation,finance,tool_action,2007,30,"[[7, 124], [23, 95], [8, 92], [0, 85], [18, 85], [17, 81], [4, 75], [24, 75]]",yes,"source theme spans enough events and clusters with a scoped, evaluable policy"
finance_balance_statement_summary_first,finance,format_style,1966,30,"[[13, 104], [19, 84], [21, 77], [5, 75], [6, 73], [12, 72], [11, 70], [0, 70]]",yes,"source theme spans enough events and clusters with a scoped, evaluable policy"
finance_fee_dispute_evidence_then_case,finance,risk_threshold,2571,30,"[[14, 116], [17, 108], [28, 101], [25, 98], [16, 97], [2, 93], [11, 93], [1, 93]]",yes,"source theme spans enough events and clusters with a scoped, evaluable policy"
finance_credit_loan_cautious_no_commitment,finance,risk_threshold,514,30,"[[13, 26], [19, 24], [16, 23], [0, 20], [27, 20], [9, 20], [21, 20], [25, 19]]",yes,"source theme spans enough events and clusters with a scoped, evaluable policy"
finance_payment_status_latest_check,finance,tool_action,1947,30,"[[13, 94], [19, 87], [5, 79], [21, 75], [6, 74], [0, 72], [25, 72], [14, 72]]",yes,"source theme spans enough events and clusters with a scoped, evaluable policy"
software_collect_diagnostics_before_fix,software,tool_action,1490,30,"[[5, 74], [7, 70], [12, 64], [26, 60], [2, 60], [8, 56], [24, 55], [0, 54]]",yes,"source theme spans enough events and clusters with a scoped, evaluable policy"
software_docs_lookup_for_update_install,software,tool_action,1621,30,"[[12, 89], [5, 73], [7, 72], [26, 68], [22, 60], [2, 59], [24, 58], [27, 58]]",yes,"source theme spans enough events and clusters with a scoped, evaluable policy"
software_one_try_then_escalate,software,drift_seasonality,255,30,"[[12, 14], [7, 13], [0, 12], [5, 12], [10, 12], [8, 11], [13, 11], [27, 10]]",yes,"source theme spans enough events and clusters with a scoped, evaluable policy"
software_secure_login_password_flow,software,privacy_consent,1898,30,"[[12, 95], [10, 83], [5, 82], [7, 82], [26, 78], [2, 70], [11, 70], [8, 69]]",yes,"source theme spans enough events and clusters with a scoped, evaluable policy"
software_platform_specific_steps,software,format_style,752,30,"[[7, 36], [2, 35], [26, 34], [12, 33], [5, 32], [8, 29], [24, 29], [1, 28]]",yes,"source theme spans enough events and clusters with a scoped, evaluable policy"
software_backup_before_risky_change,software,risk_threshold,1514,30,"[[12, 84], [7, 69], [5, 68], [26, 61], [11, 57], [22, 56], [27, 55], [8, 54]]",yes,"source theme spans enough events and clusters with a scoped, evaluable policy"
software_ticket_receipt_summary,software,format_style,1395,30,"[[5, 68], [12, 60], [7, 58], [2, 56], [8, 54], [26, 52], [0, 50], [1, 50]]",yes,"source theme spans enough events and clusters with a scoped, evaluable policy"
