domain,source_conversation_id,assigned_user_id,session_id,cluster_id,source_tags_json,quality_score
finance,acs-c329823a-605c-40e1-8081-bedbe4262810-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0001,13,"[""finance_minimal_pii_secure_verification""]",0.4121
finance,acs-a48df71a-2438-47ef-bdfc-d136134a0451-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0003,3,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",0.7025
finance,acs-049cbec3-d994-45d9-aa0c-e0a267afd6a5-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0004,5,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_fee_dispute_evidence_then_case""]",0.7856
finance,acs-0c1eac9f-9e8b-44aa-8c79-203f3941828d-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0005,4,"[""finance_minimal_pii_secure_verification"", ""finance_credit_loan_cautious_no_commitment""]",0.6725
finance,acs-80515c05-edee-43fe-8a4c-63a0231747f9-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0007,17,"[""finance_confirm_money_movement"", ""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",0.5727
finance,acs-1c0c7922-0698-4bb2-8f4c-92a0264f3bec-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0008,13,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation"", ""finance_fee_dispute_evidence_then_case"", ""finance_credit_loan_cautious_no_commitment""]",0.7244
finance,acs-5c77e96e-68fb-4457-af28-e6cc8012262f-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0009,0,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.5348
finance,acs-d7c9fedb-e5de-42ae-aa66-c5dabbfed93e-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0010,5,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification""]",0.5135
finance,acs-24576700-dce0-4de7-bd15-ae685d8c74df-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0011,16,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.5946
finance,acs-5a9d94c4-9c21-41db-8b9d-8847f4975846-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0012,27,"[""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.4975
finance,acs-b7224378-ac3c-4776-bb44-93b13021037f-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0013,19,"[""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.569
