probe_id,user_id,domain,probe_type,required_groups,best_resolved_groups,unresolved_groups_in_best_window,best_window_start_session,best_window_end_session,history_chars,window_char_budget
mdgo_v11_probe_000000,mdgo_v07_sof_user_0016,software,suggestion_rejection_pair,2,0,2,0,233,324189,140000
mdgo_v11_probe_000001,mdgo_v05_fin_user_0002,finance,reference_case_reconstruction,3,1,2,195,412,339141,140000
mdgo_v11_probe_000002,mdgo_v07_sof_user_0014,software,triple_asof_interleaved,3,0,3,0,231,326919,140000
mdgo_v11_probe_000003,mdgo_v05_fin_user_0006,finance,dual_asof_reversal,2,0,2,0,224,336433,140000
mdgo_v11_probe_000004,mdgo_v05_fin_user_0031,finance,triple_asof_interleaved,3,0,3,0,224,338178,140000
mdgo_v11_probe_000005,mdgo_v05_fin_user_0018,finance,triple_asof_interleaved,3,0,3,0,227,331045,140000
mdgo_v11_probe_000006,mdgo_v05_fin_user_0030,finance,triple_asof_interleaved,3,0,3,0,220,337818,140000
mdgo_v11_probe_000007,mdgo_v05_fin_user_0009,finance,suggestion_rejection_pair,2,0,2,0,216,341182,140000
mdgo_v11_probe_000008,mdgo_v07_sof_user_0012,software,surface_decoy_pair,2,0,2,0,236,321909,140000
mdgo_v11_probe_000009,mdgo_v05_fin_user_0030,finance,suggestion_rejection_pair,2,0,2,0,220,337818,140000
mdgo_v11_probe_000010,mdgo_v05_fin_user_0025,finance,surface_decoy_pair,2,0,2,0,232,338920,140000
mdgo_v11_probe_000011,mdgo_v07_sof_user_0010,software,triple_asof_interleaved,3,0,3,0,227,329153,140000
mdgo_v11_probe_000012,mdgo_v05_fin_user_0029,finance,suggestion_rejection_pair,2,0,2,0,227,332408,140000
mdgo_v11_probe_000013,mdgo_v05_fin_user_0035,finance,triple_asof_interleaved,3,0,3,0,230,332598,140000
mdgo_v11_probe_000014,mdgo_v05_sof_user_0008,software,dual_asof_reversal,2,0,2,0,239,318483,140000
mdgo_v11_probe_000015,mdgo_v05_sof_user_0008,software,triple_asof_interleaved,3,0,3,0,239,318483,140000
mdgo_v11_probe_000016,mdgo_v05_fin_user_0014,finance,suggestion_rejection_pair,2,0,2,0,223,339699,140000
mdgo_v11_probe_000017,mdgo_v05_sof_user_0008,software,dual_asof_reversal,2,0,2,0,239,318483,140000
mdgo_v11_probe_000018,mdgo_v05_fin_user_0002,finance,surface_decoy_pair,2,0,2,0,225,339141,140000
mdgo_v11_probe_000019,mdgo_v05_fin_user_0006,finance,suggestion_rejection_pair,2,0,2,0,224,336433,140000
mdgo_v11_probe_000020,mdgo_v05_fin_user_0016,finance,dual_asof_reversal,2,0,2,0,225,332320,140000
mdgo_v11_probe_000021,mdgo_v07_sof_user_0015,software,reference_case_reconstruction,3,1,2,182,412,313659,140000
mdgo_v11_probe_000022,mdgo_v07_sof_user_0015,software,dual_asof_reversal,2,0,2,0,242,313659,140000
mdgo_v11_probe_000023,mdgo_v05_fin_user_0006,finance,triple_asof_interleaved,3,0,3,0,224,336433,140000
mdgo_v11_probe_000024,mdgo_v05_fin_user_0008,finance,suggestion_rejection_pair,2,0,2,0,229,338243,140000
mdgo_v11_probe_000025,mdgo_v05_fin_user_0014,finance,triple_asof_interleaved,3,0,3,0,223,339699,140000
mdgo_v11_probe_000026,mdgo_v05_fin_user_0002,finance,surface_decoy_pair,2,0,2,0,225,339141,140000
mdgo_v11_probe_000027,mdgo_v05_fin_user_0028,finance,triple_asof_interleaved,3,0,3,0,219,335276,140000
mdgo_v11_probe_000028,mdgo_v05_sof_user_0003,software,triple_asof_interleaved,3,0,3,0,242,314399,140000
mdgo_v11_probe_000029,mdgo_v05_sof_user_0005,software,reference_case_reconstruction,3,1,2,184,413,318937,140000
mdgo_v11_probe_000030,mdgo_v05_fin_user_0030,finance,reference_case_reconstruction,3,1,2,125,344,337818,140000
mdgo_v11_probe_000031,mdgo_v05_fin_user_0031,finance,triple_asof_interleaved,3,0,3,0,224,338178,140000
mdgo_v11_probe_000032,mdgo_v05_fin_user_0035,finance,reference_case_reconstruction,3,1,2,121,344,332598,140000
mdgo_v11_probe_000033,mdgo_v07_sof_user_0015,software,surface_decoy_pair,2,0,2,0,242,313659,140000
mdgo_v11_probe_000034,mdgo_v05_fin_user_0010,finance,dual_asof_reversal,2,0,2,0,230,335012,140000
mdgo_v11_probe_000035,mdgo_v05_sof_user_0005,software,dual_asof_reversal,2,0,2,0,239,318937,140000
mdgo_v11_probe_000036,mdgo_v05_fin_user_0007,finance,surface_decoy_pair,2,0,2,0,227,337224,140000
mdgo_v11_probe_000037,mdgo_v07_sof_user_0011,software,scope_temporal_pair,2,0,2,0,238,325058,140000
mdgo_v11_probe_000038,mdgo_v05_fin_user_0027,finance,reference_case_reconstruction,3,1,2,129,344,342331,140000
mdgo_v11_probe_000039,mdgo_v05_sof_user_0007,software,triple_asof_interleaved,3,0,3,0,236,321840,140000
mdgo_v11_probe_000040,mdgo_v05_sof_user_0004,software,triple_asof_interleaved,3,0,3,0,236,322411,140000
mdgo_v11_probe_000041,mdgo_v05_fin_user_0011,finance,dual_asof_reversal,2,0,2,0,229,333048,140000
mdgo_v11_probe_000042,mdgo_v05_fin_user_0031,finance,triple_asof_interleaved,3,0,3,0,224,338178,140000
mdgo_v11_probe_000043,mdgo_v05_sof_user_0008,software,triple_asof_interleaved,3,0,3,0,239,318483,140000
mdgo_v11_probe_000044,mdgo_v07_sof_user_0010,software,surface_decoy_pair,2,0,2,0,227,329153,140000
mdgo_v11_probe_000045,mdgo_v05_fin_user_0004,finance,dual_asof_reversal,2,0,2,0,226,332730,140000
mdgo_v11_probe_000046,mdgo_v05_fin_user_0015,finance,triple_asof_interleaved,3,0,3,0,222,337230,140000
mdgo_v11_probe_000047,mdgo_v07_sof_user_0014,software,dual_asof_reversal,2,0,2,0,231,326919,140000
mdgo_v11_probe_000048,mdgo_v05_fin_user_0004,finance,dual_asof_reversal,2,0,2,0,226,332730,140000
mdgo_v11_probe_000049,mdgo_v05_fin_user_0022,finance,surface_decoy_pair,2,0,2,0,219,343225,140000
mdgo_v11_probe_000050,mdgo_v05_fin_user_0016,finance,provenance_weighted_triple,3,0,3,0,225,332320,140000
mdgo_v11_probe_000051,mdgo_v05_fin_user_0017,finance,reference_case_reconstruction,3,1,2,192,412,341010,140000
mdgo_v11_probe_000052,mdgo_v05_fin_user_0013,finance,triple_asof_interleaved,3,0,3,0,217,345552,140000
mdgo_v11_probe_000053,mdgo_v05_fin_user_0007,finance,dual_asof_reversal,2,0,2,0,227,337224,140000
mdgo_v11_probe_000054,mdgo_v05_fin_user_0001,finance,surface_decoy_pair,2,0,2,0,226,338269,140000
mdgo_v11_probe_000055,mdgo_v05_fin_user_0023,finance,reference_case_reconstruction,3,1,2,191,412,336961,140000
mdgo_v11_probe_000056,mdgo_v05_sof_user_0006,software,surface_decoy_pair,2,0,2,0,233,322287,140000
mdgo_v11_probe_000057,mdgo_v05_fin_user_0024,finance,triple_asof_interleaved,3,0,3,0,226,340270,140000
mdgo_v11_probe_000058,mdgo_v05_fin_user_0009,finance,triple_asof_interleaved,3,0,3,0,216,341182,140000
mdgo_v11_probe_000059,mdgo_v05_fin_user_0010,finance,surface_decoy_pair,2,0,2,0,230,335012,140000
mdgo_v11_probe_000060,mdgo_v05_fin_user_0000,finance,surface_decoy_pair,2,0,2,0,227,333457,140000
mdgo_v11_probe_000061,mdgo_v05_sof_user_0007,software,dual_asof_reversal,2,0,2,0,236,321840,140000
mdgo_v11_probe_000062,mdgo_v05_fin_user_0026,finance,surface_decoy_pair,2,0,2,0,231,330059,140000
mdgo_v11_probe_000063,mdgo_v05_fin_user_0035,finance,triple_asof_interleaved,3,0,3,0,230,332598,140000
mdgo_v11_probe_000064,mdgo_v05_sof_user_0000,software,surface_decoy_pair,2,0,2,0,239,311624,140000
mdgo_v11_probe_000065,mdgo_v05_fin_user_0011,finance,suggestion_rejection_pair,2,0,2,0,229,333048,140000
mdgo_v11_probe_000066,mdgo_v05_fin_user_0005,finance,suggestion_rejection_pair,2,0,2,0,231,328129,140000
mdgo_v11_probe_000067,mdgo_v05_sof_user_0007,software,provenance_weighted_triple,3,0,3,0,236,321840,140000
mdgo_v11_probe_000068,mdgo_v05_fin_user_0007,finance,triple_asof_interleaved,3,0,3,0,227,337224,140000
mdgo_v11_probe_000069,mdgo_v07_sof_user_0017,software,suggestion_rejection_pair,2,0,2,0,232,325699,140000
mdgo_v11_probe_000070,mdgo_v05_fin_user_0004,finance,reference_case_reconstruction,3,1,2,121,344,332730,140000
