session_id,user_id,domain,primary_source_conversation_id,source_intent,all_source_conversation_ids_json,style_exemplar_ids_json,usage_mode
mdgo_v05_fin_user_0000_s0001,mdgo_v05_fin_user_0000,finance,acs-25080c9a-b782-4e78-a59b-8e4cd9bc383f-1,balance,"[""acs-5b625fd0-31b1-4253-8d2d-71cfedd5156f-1"", ""acs-540d94eb-def6-4182-9033-44a81b7dd43d-1"", ""acs-1bc5e3fb-9da7-49b0-8854-7854cb38183c-1""]","[""acs-5b625fd0-31b1-4253-8d2d-71cfedd5156f-1"", ""acs-540d94eb-def6-4182-9033-44a81b7dd43d-1"", ""acs-1bc5e3fb-9da7-49b0-8854-7854cb38183c-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0002,mdgo_v05_fin_user_0000,finance,acs-43e98903-360e-46fa-8ca3-6b542761977b-1,address_change,"[""acs-39c2c1a7-56d7-4ca7-92e1-1eb444853d12-1"", ""acs-974f119c-4cfd-48e8-8c9b-e06a926c3c61-1"", ""acs-0b25eba5-9e54-48ee-a76c-fc82ae2288cb-1""]","[""acs-39c2c1a7-56d7-4ca7-92e1-1eb444853d12-1"", ""acs-974f119c-4cfd-48e8-8c9b-e06a926c3c61-1"", ""acs-0b25eba5-9e54-48ee-a76c-fc82ae2288cb-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0003,mdgo_v05_fin_user_0000,finance,acs-6131e40b-58d4-4029-ad7f-671ddf051584-1,address_change,"[""acs-2b576192-fe31-4eb3-a922-12b487dec98c-1"", ""acs-8c5b8fb8-2c1b-4556-87ba-fee97e95a867-1"", ""acs-d34bd767-960c-4a4d-a50e-65a19fb2ac6d-1""]","[""acs-2b576192-fe31-4eb3-a922-12b487dec98c-1"", ""acs-8c5b8fb8-2c1b-4556-87ba-fee97e95a867-1"", ""acs-d34bd767-960c-4a4d-a50e-65a19fb2ac6d-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0004,mdgo_v05_fin_user_0000,finance,acs-9352f9ad-bfa1-45bd-84a6-09de437c32ab-1,address_change,"[""acs-5045e826-b911-49dd-a195-0bcbd2d04ce6-1"", ""acs-86d69a9c-eba7-4ee7-bf44-596198b150fc-1"", ""acs-6641786e-5877-4bba-b13f-a40237e2a389-1""]","[""acs-5045e826-b911-49dd-a195-0bcbd2d04ce6-1"", ""acs-86d69a9c-eba7-4ee7-bf44-596198b150fc-1"", ""acs-6641786e-5877-4bba-b13f-a40237e2a389-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0005,mdgo_v05_fin_user_0000,finance,acs-214db8b5-e9fb-4e91-863f-671cb1421596-1,transfer,"[""acs-786f5547-749d-4b81-aa1c-df54abf13169-1"", ""acs-6a7a3098-17ea-4f34-9139-6bb997adc5c3-1""]","[""acs-786f5547-749d-4b81-aa1c-df54abf13169-1"", ""acs-6a7a3098-17ea-4f34-9139-6bb997adc5c3-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0006,mdgo_v05_fin_user_0000,finance,acs-e255f92a-83d8-41db-b421-b610b1d87a32-1,address_change,"[""acs-a7e7b00f-49ed-4fa7-afd7-eb8424f8fe0c-1"", ""acs-df38ad60-635b-4c36-9ef0-5d82862ea078-1""]","[""acs-a7e7b00f-49ed-4fa7-afd7-eb8424f8fe0c-1"", ""acs-df38ad60-635b-4c36-9ef0-5d82862ea078-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0007,mdgo_v05_fin_user_0000,finance,acs-d8bd13b2-55ea-46bd-9807-e52c5457f2c3-1,lost_card,"[""acs-6dba3999-d7d6-40f5-b3f1-1321dbd63321-1"", ""acs-a83bb1a6-ec78-4600-ae8c-854e6e4ee92a-1""]","[""acs-6dba3999-d7d6-40f5-b3f1-1321dbd63321-1"", ""acs-a83bb1a6-ec78-4600-ae8c-854e6e4ee92a-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0008,mdgo_v05_fin_user_0000,finance,acs-faf0412d-e391-4a46-9ef1-603cb8e73ebf-1,balance,"[""acs-6d8d6219-54cf-4a11-a20b-5e90bd74110d-1"", ""acs-8872bd08-9929-4c48-8899-1925856affff-1""]","[""acs-6d8d6219-54cf-4a11-a20b-5e90bd74110d-1"", ""acs-8872bd08-9929-4c48-8899-1925856affff-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0009,mdgo_v05_fin_user_0000,finance,acs-1d2f574e-2b11-427a-a380-7002af5693dd-1,address_change,"[""acs-6d9b8079-f3aa-452f-a755-f20e1fa0bfbe-1"", ""acs-b63b3c17-c8f1-46aa-bb51-1840be218ca8-1""]","[""acs-6d9b8079-f3aa-452f-a755-f20e1fa0bfbe-1"", ""acs-b63b3c17-c8f1-46aa-bb51-1840be218ca8-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0010,mdgo_v05_fin_user_0000,finance,acs-9950e94c-2749-43f3-9223-315e4e0b76de-1,lost_card,"[""acs-58ad4f71-bdbd-48cc-9fa9-41dd58ac7e17-1"", ""acs-f4e622ea-0f02-43c8-8a48-5d397433bd1a-1"", ""acs-6c6d1cb1-e1fa-463f-8066-e446e5efd851-1""]","[""acs-58ad4f71-bdbd-48cc-9fa9-41dd58ac7e17-1"", ""acs-f4e622ea-0f02-43c8-8a48-5d397433bd1a-1"", ""acs-6c6d1cb1-e1fa-463f-8066-e446e5efd851-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
