evidence_chain_id,probe_id,user_id,domain,decision_bundle_id,decision_unit_ids_json,session_id,session_index,timestamp,evidence_status,evidence_role,annotation_kind,habit_ids_json,pair_ref,case_ref,selected_ordinal,variant_id,gold_alignment,user_excerpt
mdgo_v12_echain_000000,mdgo_v11_probe_000000,mdgo_v07_sof_user_0016,software,mdgo_v13_db_daa4c20d3217a6b3,"[""mdgo_v13_du_7da74629b317df26"", ""mdgo_v13_du_8697cf8f8f61de7d""]",mdgo_v07_sof_user_0016_s0002,2,2021-01-16T13:00:00,temporal_context,baseline_ordered_shortlist,v11_baseline_candidate,"[""software_collect_diagnostics_before_fix""]",POLB-ember-quill-jdefen,,,,not_applicable,"Template Gallery fails in Seabird Office on macOS 15 with error DB-63; diagnose it. Open workflow review POLB-ember-quill-jdefen. I need an auditable shortlist rather than an assumed default. Keep exactly those two candidates, in that order, under POLB-ember-quill-jdefen. Rule out the other workflow routes for this review, but do not finalize the first-versus-second choice here."
mdgo_v12_echain_000000,mdgo_v11_probe_000000,mdgo_v07_sof_user_0016,software,mdgo_v13_db_daa4c20d3217a6b3,"[""mdgo_v13_du_7da74629b317df26"", ""mdgo_v13_du_8697cf8f8f61de7d""]",mdgo_v07_sof_user_0016_s0014,14,2021-02-21T16:00:00,temporal_context,baseline_ordered_shortlist,v11_baseline_candidate,"[""software_one_try_then_escalate""]",POLB-ember-workbook-hoiauy,,,,not_applicable,"The file preview issue in Seabird Office has survived the first check; move the case forward. Open workflow review POLB-ember-workbook-hoiauy. The outcome can wait. First preserve the two workflow candidates in their exact order. Keep exactly those two candidates, in that order, under POLB-ember-workbook-hoiauy. Rule out the other workflow routes for this review, but do not finalize the first-versus-second choice here."
mdgo_v12_echain_000000,mdgo_v11_probe_000000,mdgo_v07_sof_user_0016,software,mdgo_v13_db_daa4c20d3217a6b3,"[""mdgo_v13_du_7da74629b317df26"", ""mdgo_v13_du_8697cf8f8f61de7d""]",mdgo_v07_sof_user_0016_s0260,260,2023-02-28T14:00:00,temporal_context,baseline_ordinal_resolution,v11_baseline_resolution,"[""software_collect_diagnostics_before_fix""]",POLB-ember-quill-jdefen,,1,consented_diagnostic_bundle,not_applicable,"Seabird Office 10.0.1 closes when I use account dashboard in Chrome. Resolve the two-route decision linked to POLB-ember-quill-jdefen: make the first route the standing process. Preserve the date and reference because the wording of future cases may point toward the other safe route. For the Seabird Office account dashboard crash, preserve POLB-ember-quill-jdefen and its effective date. A later case that merely resembles this one must not switch to the other candidate."
mdgo_v12_echain_000000,mdgo_v11_probe_000000,mdgo_v07_sof_user_0016,software,mdgo_v13_db_daa4c20d3217a6b3,"[""mdgo_v13_du_7da74629b317df26"", ""mdgo_v13_du_8697cf8f8f61de7d""]",mdgo_v07_sof_user_0016_s0266,266,2023-03-19T17:00:00,temporal_context,baseline_ordinal_resolution,v11_baseline_resolution,"[""software_one_try_then_escalate""]",POLB-ember-workbook-hoiauy,,1,timeboxed_attempt_then_handoff,not_applicable,"The template gallery issue in Seabird Office has survived the first check; move the case forward. Return to the ordered shortlist in POLB-ember-workbook-hoiauy: make the first route the standing process. Do not infer the selection from today’s tooling; the earlier ordering controls what this reference means. For the unresolved template gallery issue, preserve POLB-ember-workbook-hoiauy and its effective date. A later case that merely resembles this one must not switch to the other candidate."
mdgo_v12_echain_000000,mdgo_v11_probe_000000,mdgo_v07_sof_user_0016,software,mdgo_v13_db_daa4c20d3217a6b3,"[""mdgo_v13_du_7da74629b317df26"", ""mdgo_v13_du_8697cf8f8f61de7d""]",mdgo_v07_sof_user_0016_s0276,276,2023-04-17T10:00:00,decisive,replacement_ordered_shortlist,v11_replacement_candidate,"[""software_collect_diagnostics_before_fix""]",POLR-ember-quill-jdefen,,,,not_applicable,"File Preview fails in Seabird Office on macOS 15 with error E-307; diagnose it. Open workflow review POLR-ember-quill-jdefen. Use this case to record the two routes still under consideration. Keep exactly those two candidates, in that order, under POLR-ember-quill-jdefen. Rule out the other workflow routes for this review, but do not finalize the first-versus-second choice here."
mdgo_v12_echain_000000,mdgo_v11_probe_000000,mdgo_v07_sof_user_0016,software,mdgo_v13_db_daa4c20d3217a6b3,"[""mdgo_v13_du_7da74629b317df26"", ""mdgo_v13_du_8697cf8f8f61de7d""]",mdgo_v07_sof_user_0016_s0280,280,2023-04-30T11:00:00,decisive,replacement_ordered_shortlist,v11_replacement_candidate,"[""software_one_try_then_escalate""]",POLR-ember-workbook-hoiauy,,,,not_applicable,"Error AUTH-29 is reproducible in Seabird Office; decide the next support step. Open workflow review POLR-ember-workbook-hoiauy. Use this case to record the two routes still under consideration. Keep exactly those two candidates, in that order, under POLR-ember-workbook-hoiauy. Rule out the other workflow routes for this review, but do not finalize the first-versus-second choice here."
mdgo_v12_echain_000000,mdgo_v11_probe_000000,mdgo_v07_sof_user_0016,software,mdgo_v13_db_daa4c20d3217a6b3,"[""mdgo_v13_du_7da74629b317df26"", ""mdgo_v13_du_8697cf8f8f61de7d""]",mdgo_v07_sof_user_0016_s0366,366,2024-01-12T14:00:00,nonbinding_interference,one_case_exception_nonbinding,v11_oneoff_decoy,"[""software_collect_diagnostics_before_fix""]",,LOCAL-ember-quill-jdefen,,environment_error_repro,counter_variant_to_gold,"Notification Rules fails in Seabird Office on macOS 15 with error E-502; diagnose it. For this record only, use the route where you collect version, operating system, exact error, and reproduction path first because this single incident needs a temporary handoff path. The handling in LOCAL-ember-quill-jdefen for the notification rules failure with E-502 must not change the ordered decision record or become evidence of a new default."
mdgo_v12_echain_000000,mdgo_v11_probe_000000,mdgo_v07_sof_user_0016,software,mdgo_v13_db_daa4c20d3217a6b3,"[""mdgo_v13_du_7da74629b317df26"", ""mdgo_v13_du_8697cf8f8f61de7d""]",mdgo_v07_sof_user_0016_s0378,378,2024-02-18T15:00:00,nonbinding_interference,one_case_exception_nonbinding,v11_oneoff_decoy,"[""software_one_try_then_escalate""]",,LOCAL-ember-workbook-hoiauy,,two_distinct_attempts_then_ticket,counter_variant_to_gold,"The PDF export issue in Seabird Office has survived the first check; move the case forward. For this record only, use the route where you allow two non-redundant focused attempts before escalation because today’s deadline makes a reversible fallback useful. The handling in LOCAL-ember-workbook-hoiauy for the unresolved PDF export issue must not change the ordered decision record or become evidence of a new default."
mdgo_v12_echain_000000,mdgo_v11_probe_000000,mdgo_v07_sof_user_0016,software,mdgo_v13_db_daa4c20d3217a6b3,"[""mdgo_v13_du_7da74629b317df26"", ""mdgo_v13_du_8697cf8f8f61de7d""]",mdgo_v07_sof_user_0016_s0430,430,2024-07-23T11:00:00,nonbinding_interference,assistant_suggestion_rejected,v11_rejected_decoy,"[""software_collect_diagnostics_before_fix""]",,SUG-ember-quill-jdefen,,last_known_good_comparison,counter_variant_to_gold,Account Dashboard fails in Seabird Office on macOS 15 with error DB-63; diagnose it. The current tools make several safe workflows possible. Keep that proposal unchosen in SUG-ember-quill-jdefen. Do not let the assistant-originated suggestion override the workflow I ratified elsewhere.
mdgo_v12_echain_000000,mdgo_v11_probe_000000,mdgo_v07_sof_user_0016,software,mdgo_v13_db_daa4c20d3217a6b3,"[""mdgo_v13_du_7da74629b317df26"", ""mdgo_v13_du_8697cf8f8f61de7d""]",mdgo_v07_sof_user_0016_s0442,442,2024-08-27T11:00:00,nonbinding_interference,assistant_suggestion_rejected,v11_rejected_decoy,"[""software_one_try_then_escalate""]",,SUG-ember-workbook-hoiauy,,two_distinct_attempts_then_ticket,counter_variant_to_gold,The client portal issue in Seabird Office has survived the first check; move the case forward. The current tools make several safe workflows possible. Keep that proposal unchosen in SUG-ember-workbook-hoiauy. Do not let the assistant-originated suggestion override the workflow I ratified elsewhere.
mdgo_v12_echain_000000,mdgo_v11_probe_000000,mdgo_v07_sof_user_0016,software,mdgo_v13_db_daa4c20d3217a6b3,"[""mdgo_v13_du_7da74629b317df26"", ""mdgo_v13_du_8697cf8f8f61de7d""]",mdgo_v07_sof_user_0016_s0532,532,2025-05-24T17:00:00,decisive,replacement_ordinal_resolution,v11_replacement_resolution,"[""software_collect_diagnostics_before_fix""]",POLR-ember-quill-jdefen,,2,clean_profile_reproduction,not_applicable,"Seabird Office 9.3.4 closes when I use notification rules in Chrome. Resolve the two-route decision linked to POLR-ember-quill-jdefen: adopt the latter of the two routes as the recurring workflow. Preserve the date and reference because the wording of future cases may point toward the other safe route. For the Seabird Office notification rules crash, preserve POLR-ember-quill-jdefen and its effective date. A later case that merely resembles this one must not switch to the other candidate."
mdgo_v12_echain_000000,mdgo_v11_probe_000000,mdgo_v07_sof_user_0016,software,mdgo_v13_db_daa4c20d3217a6b3,"[""mdgo_v13_du_7da74629b317df26"", ""mdgo_v13_du_8697cf8f8f61de7d""]",mdgo_v07_sof_user_0016_s0534,534,2025-05-30T10:00:00,decisive,replacement_ordinal_resolution,v11_replacement_resolution,"[""software_one_try_then_escalate""]",POLR-ember-workbook-hoiauy,,2,reproducible_blocker_immediate_escalation,not_applicable,"The report builder issue in Seabird Office has survived the first check; move the case forward. Resolve the two-route decision linked to POLR-ember-workbook-hoiauy: make the second route the standing process. Preserve the date and reference because the wording of future cases may point toward the other safe route. For the unresolved report builder issue, preserve POLR-ember-workbook-hoiauy and its effective date. A later case that merely resembles this one must not switch to the other candidate."
mdgo_v12_echain_000001,mdgo_v11_probe_000001,mdgo_v05_fin_user_0002,finance,mdgo_v13_db_1712e67bbdb46571,"[""mdgo_v13_du_a4e3a4b4b2b906e6"", ""mdgo_v13_du_60316aea2c8cfa37""]",mdgo_v05_fin_user_0002_s0014,14,2021-02-23T15:00:00,decisive,baseline_ordered_shortlist,v11_baseline_candidate,"[""finance_minimal_pii_secure_verification""]",POLB-indigo-map-adsszw,,,,not_applicable,"Restore access to checking ending 4154 after a device change. Open workflow review POLB-indigo-map-adsszw. Treat this as a workflow review, not as final authorization of either route. Keep exactly those two candidates, in that order, under POLB-indigo-map-adsszw. Rule out the other workflow routes for this review, but do not finalize the first-versus-second choice here."
mdgo_v12_echain_000001,mdgo_v11_probe_000001,mdgo_v05_fin_user_0002,finance,mdgo_v13_db_1712e67bbdb46571,"[""mdgo_v13_du_a4e3a4b4b2b906e6"", ""mdgo_v13_du_60316aea2c8cfa37""]",mdgo_v05_fin_user_0002_s0020,20,2021-03-12T16:00:00,decisive,baseline_ordered_shortlist,v11_baseline_candidate,"[""finance_balance_statement_summary_first""]",POLB-winter-relay-gbskkz,,,,not_applicable,"Review the October 19 statement for checking ending 4154 and explain the change. Open workflow review POLB-winter-relay-gbskkz. I want to narrow the recurring process before I make it permanent. Keep exactly those two candidates, in that order, under POLB-winter-relay-gbskkz. Rule out the other workflow routes for this review, but do not finalize the first-versus-second choice here."
mdgo_v12_echain_000001,mdgo_v11_probe_000001,mdgo_v05_fin_user_0002,finance,mdgo_v13_db_1712e67bbdb46571,"[""mdgo_v13_du_a4e3a4b4b2b906e6"", ""mdgo_v13_du_60316aea2c8cfa37""]",mdgo_v05_fin_user_0002_s0266,266,2023-03-21T14:00:00,decisive,baseline_ordinal_resolution,v11_baseline_resolution,"[""finance_minimal_pii_secure_verification""]",POLB-indigo-map-adsszw,,1,authenticated_app_callback,not_applicable,"Recover the secure profile tied to savings ending 7348. Return to the ordered shortlist in POLB-indigo-map-adsszw: use the first-listed candidate whenever the same condition recurs. Do not infer the selection from today’s tooling; the earlier ordering controls what this reference means. For secure recovery for savings ending 7348, preserve POLB-indigo-map-adsszw and its effective date. A later case that merely resembles this one must not switch to the other candidate."
