decision_unit_id,user_id,domain,habit_id,decision_evidence_session_ids_json,reuse_count,probe_ids_json
mdgo_v13_du_00a970055d2e1e49,mdgo_v05_fin_user_0022,finance,finance_minimal_pii_secure_verification,"[""mdgo_v05_fin_user_0022_s0020"", ""mdgo_v05_fin_user_0022_s0269""]",11,"[""mdgo_v11_probe_000435"", ""mdgo_v11_probe_000462"", ""mdgo_v11_probe_000667"", ""mdgo_v11_probe_000717"", ""mdgo_v11_probe_000879"", ""mdgo_v11_probe_000950"", ""mdgo_v11_probe_001386"", ""mdgo_v11_probe_001394"", ""mdgo_v11_probe_001490"", ""mdgo_v11_probe_001621"", ""mdgo_v11_probe_001725""]"
mdgo_v13_du_00b244ab265e5de8,mdgo_v05_fin_user_0019,finance,finance_balance_statement_summary_first,"[""mdgo_v05_fin_user_0019_s0026"", ""mdgo_v05_fin_user_0019_s0272""]",6,"[""mdgo_v11_probe_000086"", ""mdgo_v11_probe_000137"", ""mdgo_v11_probe_000513"", ""mdgo_v11_probe_000752"", ""mdgo_v11_probe_001485"", ""mdgo_v11_probe_002026""]"
mdgo_v13_du_01b81ca064bae6a5,mdgo_v07_sof_user_0017,software,software_secure_login_password_flow,"[""mdgo_v07_sof_user_0017_s0284"", ""mdgo_v07_sof_user_0017_s0536""]",5,"[""mdgo_v11_probe_000184"", ""mdgo_v11_probe_000499"", ""mdgo_v11_probe_000623"", ""mdgo_v11_probe_000910"", ""mdgo_v11_probe_001221""]"
mdgo_v13_du_02906a0085af610f,mdgo_v05_fin_user_0006,finance,finance_balance_statement_summary_first,"[""mdgo_v05_fin_user_0006_s0278"", ""mdgo_v05_fin_user_0006_s0533""]",29,"[""mdgo_v11_probe_000019"", ""mdgo_v11_probe_000023"", ""mdgo_v11_probe_000133"", ""mdgo_v11_probe_000274"", ""mdgo_v11_probe_000276"", ""mdgo_v11_probe_000293"", ""mdgo_v11_probe_000304"", ""mdgo_v11_probe_000313"", ""mdgo_v11_probe_000378"", ""mdgo_v11_probe_000505"", ""mdgo_v11_probe_000529"", ""mdgo_v11_probe_000541"", ""mdgo_v11_probe_000773"", ""mdgo_v11_probe_000787"", ""mdgo_v11_probe_000815"", ""mdgo_v11_probe_000926"", ""mdgo_v11_probe_000985"", ""mdgo_v11_probe_001078"", ""mdgo_v11_probe_001085"", ""mdgo_v11_probe_001223"", ""mdgo_v11_probe_001225"", ""mdgo_v11_probe_001230"", ""mdgo_v11_probe_001307"", ""mdgo_v11_probe_001675"", ""mdgo_v11_probe_001704"", ""mdgo_v11_probe_001842"", ""mdgo_v11_probe_001928"", ""mdgo_v11_probe_001952"", ""mdgo_v11_probe_001958""]"
mdgo_v13_du_037efe88f03d3b73,mdgo_v05_fin_user_0001,finance,finance_balance_statement_summary_first,"[""mdgo_v05_fin_user_0001_s0026"", ""mdgo_v05_fin_user_0001_s0272""]",12,"[""mdgo_v11_probe_000572"", ""mdgo_v11_probe_000874"", ""mdgo_v11_probe_000922"", ""mdgo_v11_probe_001040"", ""mdgo_v11_probe_001042"", ""mdgo_v11_probe_001128"", ""mdgo_v11_probe_001198"", ""mdgo_v11_probe_001332"", ""mdgo_v11_probe_001467"", ""mdgo_v11_probe_001711"", ""mdgo_v11_probe_001825"", ""mdgo_v11_probe_002041""]"
mdgo_v13_du_03e9394381f77f99,mdgo_v05_fin_user_0011,finance,finance_fee_dispute_evidence_then_case,"[""mdgo_v05_fin_user_0011_s0286"", ""mdgo_v05_fin_user_0011_s0537""]",16,"[""mdgo_v11_probe_000041"", ""mdgo_v11_probe_000065"", ""mdgo_v11_probe_000119"", ""mdgo_v11_probe_000334"", ""mdgo_v11_probe_000455"", ""mdgo_v11_probe_000520"", ""mdgo_v11_probe_000581"", ""mdgo_v11_probe_000632"", ""mdgo_v11_probe_000777"", ""mdgo_v11_probe_000977"", ""mdgo_v11_probe_000998"", ""mdgo_v11_probe_001348"", ""mdgo_v11_probe_001439"", ""mdgo_v11_probe_001556"", ""mdgo_v11_probe_001691"", ""mdgo_v11_probe_001963""]"
mdgo_v13_du_04cdca5b0340eb62,mdgo_v05_sof_user_0007,software,software_platform_specific_steps,"[""mdgo_v05_sof_user_0007_s0032"", ""mdgo_v05_sof_user_0007_s0275""]",11,"[""mdgo_v11_probe_000061"", ""mdgo_v11_probe_000350"", ""mdgo_v11_probe_000536"", ""mdgo_v11_probe_000638"", ""mdgo_v11_probe_000860"", ""mdgo_v11_probe_000864"", ""mdgo_v11_probe_001006"", ""mdgo_v11_probe_001350"", ""mdgo_v11_probe_001414"", ""mdgo_v11_probe_001447"", ""mdgo_v11_probe_001453""]"
mdgo_v13_du_04f9a4eb6e1870cf,mdgo_v07_sof_user_0010,software,software_collect_diagnostics_before_fix,"[""mdgo_v07_sof_user_0010_s0278"", ""mdgo_v07_sof_user_0010_s0533""]",14,"[""mdgo_v11_probe_000011"", ""mdgo_v11_probe_000044"", ""mdgo_v11_probe_000425"", ""mdgo_v11_probe_000444"", ""mdgo_v11_probe_000704"", ""mdgo_v11_probe_000885"", ""mdgo_v11_probe_000913"", ""mdgo_v11_probe_001152"", ""mdgo_v11_probe_001306"", ""mdgo_v11_probe_001329"", ""mdgo_v11_probe_001417"", ""mdgo_v11_probe_001592"", ""mdgo_v11_probe_001831"", ""mdgo_v11_probe_001846""]"
mdgo_v13_du_0677f3f662a0c7f5,mdgo_v05_fin_user_0032,finance,finance_confirm_money_movement,"[""mdgo_v05_fin_user_0032_s0014"", ""mdgo_v05_fin_user_0032_s0266""]",11,"[""mdgo_v11_probe_000185"", ""mdgo_v11_probe_000192"", ""mdgo_v11_probe_000437"", ""mdgo_v11_probe_000463"", ""mdgo_v11_probe_000476"", ""mdgo_v11_probe_000869"", ""mdgo_v11_probe_001021"", ""mdgo_v11_probe_001293"", ""mdgo_v11_probe_001325"", ""mdgo_v11_probe_001638"", ""mdgo_v11_probe_001641""]"
mdgo_v13_du_07328f039b85173e,mdgo_v07_sof_user_0011,software,software_one_try_then_escalate,"[""mdgo_v07_sof_user_0011_s0282"", ""mdgo_v07_sof_user_0011_s0535""]",8,"[""mdgo_v11_probe_000037"", ""mdgo_v11_probe_000135"", ""mdgo_v11_probe_000501"", ""mdgo_v11_probe_000722"", ""mdgo_v11_probe_001201"", ""mdgo_v11_probe_001645"", ""mdgo_v11_probe_001929"", ""mdgo_v11_probe_001965""]"
