category,turns,unique_exact,exact_duplicate_turn_rate,exact_excess_rate,high_frequency_ngram_mass,high_frequency_ngrams,max_exact_frequency
all_user,46250,44560,0.06274594594594594,0.03654054054054054,0.9395027027027028,32328,54
first_user,29160,28939,0.012277091906721537,0.007578875171467764,0.9793895747599451,25842,21
all_assistant,46250,45726,0.016324324324324326,0.01132972972972973,0.986745945945946,37379,11
assistant_audit_acknowledgment,1255,1255,0.0,0.0,1.0,118,1
assistant_policy_acknowledgment,323,323,0.0,0.0,0.6006191950464397,73,1
assistant_scope_acknowledgment,3111,3111,0.0,0.0,1.0,475,1
assistant_suggestion,323,60,0.9876160990712074,0.8142414860681114,1.0,519,11
case_scope_note,2788,2788,0.0,0.0,1.0,1597,1
case_state_update,108,88,0.3148148148148148,0.18518518518518517,1.0,60,3
clarification,12117,10777,0.19584055459272098,0.11058842947924404,0.8081208219856401,4448,8
clarification_response,12117,12108,0.0014855162168853676,0.0007427581084426838,0.946934059585706,8462,2
closure_acknowledgment,169,118,0.3609467455621302,0.30177514792899407,0.9230769230769231,144,10
controlled habit or persona session preserved from v0.7|assistant,144,120,0.2222222222222222,0.16666666666666666,0.7847222222222222,93,9
controlled habit or persona session preserved from v0.7|user,144,126,0.2222222222222222,0.125,0.8125,50,3
habit_evidence_tentative,63,2,1.0,0.9682539682539683,1.0,32,54
habit_revision,70,62,0.12857142857142856,0.11428571428571428,0.9714285714285714,66,9
multi_task_request,108,108,0.0,0.0,1.0,89,1
policy_shortlist_or_resolution,932,932,0.0,0.0,1.0,108,1
policy_status_note,323,323,0.0,0.0,1.0,128,1
task_followup,61,30,0.7377049180327869,0.5081967213114754,0.7704918032786885,64,6
task_request,28953,28735,0.012157634787414084,0.007529444271750768,0.9793803750906642,25740,21
task_response,28738,28608,0.008281717586470875,0.004523627253114343,0.9815923167930962,23074,4
user_local_exception,323,323,0.0,0.0,1.0,89,1
user_rejection,323,323,0.0,0.0,1.0,6,1
