group_field,group,n,accuracy,avg_retrieved_tokens_est,avg_stored_items_est,baseline,elapsed_sec
overall,overall,90,0.4556,29.21,932.22,official_graphiti_full_llm_episode_kuzu,
probe_type,boundary,20,0.3,30.15,931.1,official_graphiti_full_llm_episode_kuzu,
probe_type,direct_use,16,0.5625,26.88,941.31,official_graphiti_full_llm_episode_kuzu,
probe_type,drift,8,1.0,25.5,934.62,official_graphiti_full_llm_episode_kuzu,
probe_type,exception,24,0.375,30.5,934.46,official_graphiti_full_llm_episode_kuzu,
probe_type,explicit_retrieval,14,0.6429,29.5,929.0,official_graphiti_full_llm_episode_kuzu,
probe_type,privacy,8,0.0,30.88,913.38,official_graphiti_full_llm_episode_kuzu,
capability_group,counterevidence_exception,24,0.375,30.5,934.46,official_graphiti_full_llm_episode_kuzu,
capability_group,explicit_fact_preference_retrieval,14,0.6429,29.5,929.0,official_graphiti_full_llm_episode_kuzu,
capability_group,false_personalization_privacy,8,0.0,30.88,913.38,official_graphiti_full_llm_episode_kuzu,
capability_group,habit_boundary_false_personalization,20,0.3,30.15,931.1,official_graphiti_full_llm_episode_kuzu,
capability_group,habit_direct_use,16,0.5625,26.88,941.31,official_graphiti_full_llm_episode_kuzu,
capability_group,habit_drift,8,1.0,25.5,934.62,official_graphiti_full_llm_episode_kuzu,
habit_family,coding_review,10,0.4,26.5,935.6,official_graphiti_full_llm_episode_kuzu,
habit_family,content_constraints,10,0.4,35.5,928.0,official_graphiti_full_llm_episode_kuzu,
habit_family,drift_seasonality,10,1.0,26.1,937.6,official_graphiti_full_llm_episode_kuzu,
habit_family,format_style,10,0.6,29.2,947.1,official_graphiti_full_llm_episode_kuzu,
habit_family,meeting_prep,10,0.3,27.9,932.8,official_graphiti_full_llm_episode_kuzu,
habit_family,planning_defaults,10,0.5,29.7,940.2,official_graphiti_full_llm_episode_kuzu,
habit_family,privacy_consent,10,0.2,30.4,919.4,official_graphiti_full_llm_episode_kuzu,
habit_family,risk_threshold,10,0.4,30.6,909.4,official_graphiti_full_llm_episode_kuzu,
habit_family,tool_action,10,0.3,27.0,939.9,official_graphiti_full_llm_episode_kuzu,
stress_variant,original_balanced,50,0.54,28.94,928.94,official_graphiti_full_llm_episode_kuzu,
stress_variant,unseen_paraphrase,40,0.35,29.55,936.33,official_graphiti_full_llm_episode_kuzu,
