group_field,group,n,accuracy,avg_retrieved_tokens_est,avg_stored_items_est,baseline,elapsed_sec
overall,overall,90,0.5333,49.14,3815.0,official_mem0_full_llm_openai,
probe_type,boundary,20,0.2,51.8,3815.0,official_mem0_full_llm_openai,
probe_type,direct_use,16,0.5625,45.44,3815.0,official_mem0_full_llm_openai,
probe_type,drift,8,1.0,44.12,3815.0,official_mem0_full_llm_openai,
probe_type,exception,24,0.625,51.12,3815.0,official_mem0_full_llm_openai,
probe_type,explicit_retrieval,14,0.8571,46.5,3815.0,official_mem0_full_llm_openai,
probe_type,privacy,8,0.0,53.62,3815.0,official_mem0_full_llm_openai,
capability_group,counterevidence_exception,24,0.625,51.12,3815.0,official_mem0_full_llm_openai,
capability_group,explicit_fact_preference_retrieval,14,0.8571,46.5,3815.0,official_mem0_full_llm_openai,
capability_group,false_personalization_privacy,8,0.0,53.62,3815.0,official_mem0_full_llm_openai,
capability_group,habit_boundary_false_personalization,20,0.2,51.8,3815.0,official_mem0_full_llm_openai,
capability_group,habit_direct_use,16,0.5625,45.44,3815.0,official_mem0_full_llm_openai,
capability_group,habit_drift,8,1.0,44.12,3815.0,official_mem0_full_llm_openai,
habit_family,coding_review,10,0.8,48.8,3815.0,official_mem0_full_llm_openai,
habit_family,content_constraints,10,0.4,50.4,3815.0,official_mem0_full_llm_openai,
habit_family,drift_seasonality,10,1.0,44.5,3815.0,official_mem0_full_llm_openai,
habit_family,format_style,10,0.6,50.2,3815.0,official_mem0_full_llm_openai,
habit_family,meeting_prep,10,0.9,52.9,3815.0,official_mem0_full_llm_openai,
habit_family,planning_defaults,10,0.3,47.6,3815.0,official_mem0_full_llm_openai,
habit_family,privacy_consent,10,0.2,53.2,3815.0,official_mem0_full_llm_openai,
habit_family,risk_threshold,10,0.3,48.5,3815.0,official_mem0_full_llm_openai,
habit_family,tool_action,10,0.3,46.2,3815.0,official_mem0_full_llm_openai,
stress_variant,original_balanced,50,0.64,49.26,3815.0,official_mem0_full_llm_openai,
stress_variant,unseen_paraphrase,40,0.4,49.0,3815.0,official_mem0_full_llm_openai,
