group_field,group,n,accuracy,baseline,elapsed_sec
overall,overall,161,0.3975,no_memory_lexical,0.008
probe_type,boundary,36,0.6667,no_memory_lexical,0.008
probe_type,direct_use,36,0.2222,no_memory_lexical,0.008
probe_type,drift,8,0.0,no_memory_lexical,0.008
probe_type,exception,36,0.5833,no_memory_lexical,0.008
probe_type,explicit_retrieval,36,0.3056,no_memory_lexical,0.008
probe_type,privacy,9,0.0,no_memory_lexical,0.008
capability_group,counterevidence_exception,36,0.5833,no_memory_lexical,0.008
capability_group,explicit_fact_preference_retrieval,36,0.3056,no_memory_lexical,0.008
capability_group,false_personalization_privacy,9,0.0,no_memory_lexical,0.008
capability_group,habit_boundary_false_personalization,36,0.6667,no_memory_lexical,0.008
capability_group,habit_direct_use,36,0.2222,no_memory_lexical,0.008
capability_group,habit_drift,8,0.0,no_memory_lexical,0.008
habit_family,coding_review,14,0.4286,no_memory_lexical,0.008
habit_family,content_constraints,15,0.8667,no_memory_lexical,0.008
habit_family,drift_seasonality,25,0.2,no_memory_lexical,0.008
habit_family,format_style,14,0.4286,no_memory_lexical,0.008
habit_family,meeting_prep,17,0.0588,no_memory_lexical,0.008
habit_family,planning_defaults,16,0.4375,no_memory_lexical,0.008
habit_family,privacy_consent,29,0.3793,no_memory_lexical,0.008
habit_family,risk_threshold,13,0.3846,no_memory_lexical,0.008
habit_family,tool_action,18,0.5556,no_memory_lexical,0.008
overall,overall,161,0.6646,full_history_segment_retrieval,0.19
probe_type,boundary,36,0.7222,full_history_segment_retrieval,0.19
probe_type,direct_use,36,0.5833,full_history_segment_retrieval,0.19
probe_type,drift,8,0.5,full_history_segment_retrieval,0.19
probe_type,exception,36,0.75,full_history_segment_retrieval,0.19
probe_type,explicit_retrieval,36,0.8056,full_history_segment_retrieval,0.19
probe_type,privacy,9,0.0,full_history_segment_retrieval,0.19
capability_group,counterevidence_exception,36,0.75,full_history_segment_retrieval,0.19
capability_group,explicit_fact_preference_retrieval,36,0.8056,full_history_segment_retrieval,0.19
capability_group,false_personalization_privacy,9,0.0,full_history_segment_retrieval,0.19
capability_group,habit_boundary_false_personalization,36,0.7222,full_history_segment_retrieval,0.19
capability_group,habit_direct_use,36,0.5833,full_history_segment_retrieval,0.19
capability_group,habit_drift,8,0.5,full_history_segment_retrieval,0.19
habit_family,coding_review,14,0.7143,full_history_segment_retrieval,0.19
habit_family,content_constraints,15,0.6667,full_history_segment_retrieval,0.19
habit_family,drift_seasonality,25,0.84,full_history_segment_retrieval,0.19
habit_family,format_style,14,0.7857,full_history_segment_retrieval,0.19
habit_family,meeting_prep,17,1.0,full_history_segment_retrieval,0.19
habit_family,planning_defaults,16,0.875,full_history_segment_retrieval,0.19
habit_family,privacy_consent,29,0.3793,full_history_segment_retrieval,0.19
habit_family,risk_threshold,13,0.2308,full_history_segment_retrieval,0.19
habit_family,tool_action,18,0.5556,full_history_segment_retrieval,0.19
overall,overall,161,0.4845,mem0_like_fact_memory,0.1
probe_type,boundary,36,0.3611,mem0_like_fact_memory,0.1
probe_type,direct_use,36,0.6667,mem0_like_fact_memory,0.1
probe_type,drift,8,0.0,mem0_like_fact_memory,0.1
probe_type,exception,36,0.1389,mem0_like_fact_memory,0.1
probe_type,explicit_retrieval,36,0.9722,mem0_like_fact_memory,0.1
probe_type,privacy,9,0.1111,mem0_like_fact_memory,0.1
capability_group,counterevidence_exception,36,0.1389,mem0_like_fact_memory,0.1
capability_group,explicit_fact_preference_retrieval,36,0.9722,mem0_like_fact_memory,0.1
capability_group,false_personalization_privacy,9,0.1111,mem0_like_fact_memory,0.1
capability_group,habit_boundary_false_personalization,36,0.3611,mem0_like_fact_memory,0.1
capability_group,habit_direct_use,36,0.6667,mem0_like_fact_memory,0.1
capability_group,habit_drift,8,0.0,mem0_like_fact_memory,0.1
habit_family,coding_review,14,0.5714,mem0_like_fact_memory,0.1
habit_family,content_constraints,15,0.6667,mem0_like_fact_memory,0.1
habit_family,drift_seasonality,25,0.36,mem0_like_fact_memory,0.1
habit_family,format_style,14,0.4286,mem0_like_fact_memory,0.1
habit_family,meeting_prep,17,0.5882,mem0_like_fact_memory,0.1
habit_family,planning_defaults,16,0.375,mem0_like_fact_memory,0.1
habit_family,privacy_consent,29,0.3793,mem0_like_fact_memory,0.1
habit_family,risk_threshold,13,0.5385,mem0_like_fact_memory,0.1
habit_family,tool_action,18,0.6111,mem0_like_fact_memory,0.1
overall,overall,161,0.4969,zep_like_temporal_graph,0.122
probe_type,boundary,36,0.4167,zep_like_temporal_graph,0.122
probe_type,direct_use,36,0.6389,zep_like_temporal_graph,0.122
probe_type,drift,8,0.0,zep_like_temporal_graph,0.122
probe_type,exception,36,0.2222,zep_like_temporal_graph,0.122
probe_type,explicit_retrieval,36,0.9444,zep_like_temporal_graph,0.122
probe_type,privacy,9,0.0,zep_like_temporal_graph,0.122
capability_group,counterevidence_exception,36,0.2222,zep_like_temporal_graph,0.122
capability_group,explicit_fact_preference_retrieval,36,0.9444,zep_like_temporal_graph,0.122
capability_group,false_personalization_privacy,9,0.0,zep_like_temporal_graph,0.122
capability_group,habit_boundary_false_personalization,36,0.4167,zep_like_temporal_graph,0.122
capability_group,habit_direct_use,36,0.6389,zep_like_temporal_graph,0.122
capability_group,habit_drift,8,0.0,zep_like_temporal_graph,0.122
habit_family,coding_review,14,0.5714,zep_like_temporal_graph,0.122
habit_family,content_constraints,15,0.6667,zep_like_temporal_graph,0.122
habit_family,drift_seasonality,25,0.48,zep_like_temporal_graph,0.122
habit_family,format_style,14,0.4286,zep_like_temporal_graph,0.122
habit_family,meeting_prep,17,0.5882,zep_like_temporal_graph,0.122
habit_family,planning_defaults,16,0.375,zep_like_temporal_graph,0.122
habit_family,privacy_consent,29,0.3103,zep_like_temporal_graph,0.122
habit_family,risk_threshold,13,0.4615,zep_like_temporal_graph,0.122
habit_family,tool_action,18,0.7222,zep_like_temporal_graph,0.122
overall,overall,161,0.6584,a_mem_like_note_linking,0.2
probe_type,boundary,36,0.7222,a_mem_like_note_linking,0.2
probe_type,direct_use,36,0.5833,a_mem_like_note_linking,0.2
probe_type,drift,8,0.375,a_mem_like_note_linking,0.2
probe_type,exception,36,0.75,a_mem_like_note_linking,0.2
probe_type,explicit_retrieval,36,0.8056,a_mem_like_note_linking,0.2
probe_type,privacy,9,0.0,a_mem_like_note_linking,0.2
capability_group,counterevidence_exception,36,0.75,a_mem_like_note_linking,0.2
capability_group,explicit_fact_preference_retrieval,36,0.8056,a_mem_like_note_linking,0.2
capability_group,false_personalization_privacy,9,0.0,a_mem_like_note_linking,0.2
capability_group,habit_boundary_false_personalization,36,0.7222,a_mem_like_note_linking,0.2
capability_group,habit_direct_use,36,0.5833,a_mem_like_note_linking,0.2
capability_group,habit_drift,8,0.375,a_mem_like_note_linking,0.2
habit_family,coding_review,14,0.7143,a_mem_like_note_linking,0.2
habit_family,content_constraints,15,0.6667,a_mem_like_note_linking,0.2
habit_family,drift_seasonality,25,0.8,a_mem_like_note_linking,0.2
habit_family,format_style,14,0.7857,a_mem_like_note_linking,0.2
habit_family,meeting_prep,17,1.0,a_mem_like_note_linking,0.2
habit_family,planning_defaults,16,0.875,a_mem_like_note_linking,0.2
habit_family,privacy_consent,29,0.3793,a_mem_like_note_linking,0.2
habit_family,risk_threshold,13,0.2308,a_mem_like_note_linking,0.2
habit_family,tool_action,18,0.5556,a_mem_like_note_linking,0.2
overall,overall,161,0.5963,secom_like_segment_memory,0.271
probe_type,boundary,36,0.7778,secom_like_segment_memory,0.271
probe_type,direct_use,36,0.3333,secom_like_segment_memory,0.271
probe_type,drift,8,1.0,secom_like_segment_memory,0.271
probe_type,exception,36,0.6111,secom_like_segment_memory,0.271
probe_type,explicit_retrieval,36,0.7222,secom_like_segment_memory,0.271
probe_type,privacy,9,0.0,secom_like_segment_memory,0.271
capability_group,counterevidence_exception,36,0.6111,secom_like_segment_memory,0.271
capability_group,explicit_fact_preference_retrieval,36,0.7222,secom_like_segment_memory,0.271
capability_group,false_personalization_privacy,9,0.0,secom_like_segment_memory,0.271
capability_group,habit_boundary_false_personalization,36,0.7778,secom_like_segment_memory,0.271
capability_group,habit_direct_use,36,0.3333,secom_like_segment_memory,0.271
capability_group,habit_drift,8,1.0,secom_like_segment_memory,0.271
