group_field,group,n,accuracy,avg_retrieved_tokens_est,avg_stored_items_est,baseline,elapsed_sec
overall,overall,286,0.3986,0.0,0.0,no_memory_lexical,0.04
probe_type,boundary,72,0.6667,0.0,0.0,no_memory_lexical,0.04
probe_type,direct_use,72,0.3194,0.0,0.0,no_memory_lexical,0.04
probe_type,drift,16,0.0,0.0,0.0,no_memory_lexical,0.04
probe_type,exception,72,0.4444,0.0,0.0,no_memory_lexical,0.04
probe_type,explicit_retrieval,36,0.3056,0.0,0.0,no_memory_lexical,0.04
probe_type,privacy,18,0.0,0.0,0.0,no_memory_lexical,0.04
capability_group,counterevidence_exception,72,0.4444,0.0,0.0,no_memory_lexical,0.04
capability_group,explicit_fact_preference_retrieval,36,0.3056,0.0,0.0,no_memory_lexical,0.04
capability_group,false_personalization_privacy,18,0.0,0.0,0.0,no_memory_lexical,0.04
capability_group,habit_boundary_false_personalization,72,0.6667,0.0,0.0,no_memory_lexical,0.04
capability_group,habit_direct_use,72,0.3194,0.0,0.0,no_memory_lexical,0.04
capability_group,habit_drift,16,0.0,0.0,0.0,no_memory_lexical,0.04
habit_family,coding_review,24,0.4167,0.0,0.0,no_memory_lexical,0.04
habit_family,content_constraints,25,0.84,0.0,0.0,no_memory_lexical,0.04
habit_family,drift_seasonality,45,0.2667,0.0,0.0,no_memory_lexical,0.04
habit_family,format_style,25,0.44,0.0,0.0,no_memory_lexical,0.04
habit_family,meeting_prep,29,0.3103,0.0,0.0,no_memory_lexical,0.04
habit_family,planning_defaults,29,0.4828,0.0,0.0,no_memory_lexical,0.04
habit_family,privacy_consent,54,0.3333,0.0,0.0,no_memory_lexical,0.04
habit_family,risk_threshold,23,0.2174,0.0,0.0,no_memory_lexical,0.04
habit_family,tool_action,32,0.4375,0.0,0.0,no_memory_lexical,0.04
stress_variant,original_reviewed,161,0.3975,0.0,0.0,no_memory_lexical,0.04
stress_variant,unseen_paraphrase,125,0.4,0.0,0.0,no_memory_lexical,0.04
overall,overall,286,0.6119,817.35,56.78,full_history_segment_retrieval,0.916
probe_type,boundary,72,0.6111,817.83,56.75,full_history_segment_retrieval,0.916
probe_type,direct_use,72,0.5417,818.11,56.78,full_history_segment_retrieval,0.916
probe_type,drift,16,0.4375,812.12,57.0,full_history_segment_retrieval,0.916
probe_type,exception,72,0.7778,821.39,56.69,full_history_segment_retrieval,0.916
probe_type,explicit_retrieval,36,0.8056,818.11,56.78,full_history_segment_retrieval,0.916
probe_type,privacy,18,0.0,799.33,57.0,full_history_segment_retrieval,0.916
capability_group,counterevidence_exception,72,0.7778,821.39,56.69,full_history_segment_retrieval,0.916
capability_group,explicit_fact_preference_retrieval,36,0.8056,818.11,56.78,full_history_segment_retrieval,0.916
capability_group,false_personalization_privacy,18,0.0,799.33,57.0,full_history_segment_retrieval,0.916
capability_group,habit_boundary_false_personalization,72,0.6111,817.83,56.75,full_history_segment_retrieval,0.916
capability_group,habit_direct_use,72,0.5417,818.11,56.78,full_history_segment_retrieval,0.916
capability_group,habit_drift,16,0.4375,812.12,57.0,full_history_segment_retrieval,0.916
habit_family,coding_review,24,0.6667,845.96,56.83,full_history_segment_retrieval,0.916
habit_family,content_constraints,25,0.72,839.2,56.56,full_history_segment_retrieval,0.916
habit_family,drift_seasonality,45,0.7556,814.91,56.84,full_history_segment_retrieval,0.916
habit_family,format_style,25,0.68,817.72,56.96,full_history_segment_retrieval,0.916
habit_family,meeting_prep,29,0.7931,786.52,56.69,full_history_segment_retrieval,0.916
habit_family,planning_defaults,29,0.7931,818.52,56.66,full_history_segment_retrieval,0.916
habit_family,privacy_consent,54,0.4259,798.31,57.07,full_history_segment_retrieval,0.916
habit_family,risk_threshold,23,0.2174,835.78,56.3,full_history_segment_retrieval,0.916
habit_family,tool_action,32,0.5,827.72,56.69,full_history_segment_retrieval,0.916
stress_variant,original_reviewed,161,0.6646,817.43,56.78,full_history_segment_retrieval,0.916
stress_variant,unseen_paraphrase,125,0.544,817.24,56.78,full_history_segment_retrieval,0.916
overall,overall,286,0.4021,102.52,11.86,mem0_like_fact_memory,0.382
probe_type,boundary,72,0.3472,102.21,11.78,mem0_like_fact_memory,0.382
probe_type,direct_use,72,0.6667,103.54,12.08,mem0_like_fact_memory,0.382
probe_type,drift,16,0.0,102.31,11.25,mem0_like_fact_memory,0.382
probe_type,exception,72,0.0833,103.14,12.56,mem0_like_fact_memory,0.382
probe_type,explicit_retrieval,36,0.9722,101.64,12.08,mem0_like_fact_memory,0.382
probe_type,privacy,18,0.0556,99.11,8.67,mem0_like_fact_memory,0.382
capability_group,counterevidence_exception,72,0.0833,103.14,12.56,mem0_like_fact_memory,0.382
capability_group,explicit_fact_preference_retrieval,36,0.9722,101.64,12.08,mem0_like_fact_memory,0.382
capability_group,false_personalization_privacy,18,0.0556,99.11,8.67,mem0_like_fact_memory,0.382
capability_group,habit_boundary_false_personalization,72,0.3472,102.21,11.78,mem0_like_fact_memory,0.382
capability_group,habit_direct_use,72,0.6667,103.54,12.08,mem0_like_fact_memory,0.382
capability_group,habit_drift,16,0.0,102.31,11.25,mem0_like_fact_memory,0.382
habit_family,coding_review,24,0.5,118.88,13.12,mem0_like_fact_memory,0.382
habit_family,content_constraints,25,0.6,111.4,14.96,mem0_like_fact_memory,0.382
habit_family,drift_seasonality,45,0.2889,101.11,11.6,mem0_like_fact_memory,0.382
habit_family,format_style,25,0.36,104.28,12.24,mem0_like_fact_memory,0.382
habit_family,meeting_prep,29,0.5172,80.83,11.69,mem0_like_fact_memory,0.382
habit_family,planning_defaults,29,0.3103,97.86,11.41,mem0_like_fact_memory,0.382
habit_family,privacy_consent,54,0.3519,100.98,8.63,mem0_like_fact_memory,0.382
habit_family,risk_threshold,23,0.4348,102.61,13.65,mem0_like_fact_memory,0.382
habit_family,tool_action,32,0.4062,110.31,13.31,mem0_like_fact_memory,0.382
stress_variant,original_reviewed,161,0.4845,102.29,11.89,mem0_like_fact_memory,0.382
stress_variant,unseen_paraphrase,125,0.296,102.82,11.83,mem0_like_fact_memory,0.382
overall,overall,286,0.4196,104.28,11.86,zep_like_temporal_graph,0.352
