group_field,group,n,accuracy,avg_retrieved_tokens_est,avg_stored_items_est,baseline,elapsed_sec
overall,overall,286,0.5385,114.94,56.78,official_amem_search_agentic_no_evolution,
probe_type,boundary,72,0.3056,112.97,56.75,official_amem_search_agentic_no_evolution,
probe_type,direct_use,72,0.7778,115.78,56.78,official_amem_search_agentic_no_evolution,
probe_type,drift,16,0.25,113.38,57.0,official_amem_search_agentic_no_evolution,
probe_type,exception,72,0.3889,114.03,56.69,official_amem_search_agentic_no_evolution,
probe_type,explicit_retrieval,36,0.9444,116.06,56.78,official_amem_search_agentic_no_evolution,
probe_type,privacy,18,0.5556,122.28,57.0,official_amem_search_agentic_no_evolution,
capability_group,counterevidence_exception,72,0.3889,114.03,56.69,official_amem_search_agentic_no_evolution,
capability_group,explicit_fact_preference_retrieval,36,0.9444,116.06,56.78,official_amem_search_agentic_no_evolution,
capability_group,false_personalization_privacy,18,0.5556,122.28,57.0,official_amem_search_agentic_no_evolution,
capability_group,habit_boundary_false_personalization,72,0.3056,112.97,56.75,official_amem_search_agentic_no_evolution,
capability_group,habit_direct_use,72,0.7778,115.78,56.78,official_amem_search_agentic_no_evolution,
capability_group,habit_drift,16,0.25,113.38,57.0,official_amem_search_agentic_no_evolution,
habit_family,coding_review,24,0.5833,111.83,56.83,official_amem_search_agentic_no_evolution,
habit_family,content_constraints,25,0.6,128.28,56.56,official_amem_search_agentic_no_evolution,
habit_family,drift_seasonality,45,0.5556,111.4,56.84,official_amem_search_agentic_no_evolution,
habit_family,format_style,25,0.64,116.28,56.96,official_amem_search_agentic_no_evolution,
habit_family,meeting_prep,29,0.6207,93.79,56.69,official_amem_search_agentic_no_evolution,
habit_family,planning_defaults,29,0.3103,121.72,56.66,official_amem_search_agentic_no_evolution,
habit_family,privacy_consent,54,0.5741,116.41,57.07,official_amem_search_agentic_no_evolution,
habit_family,risk_threshold,23,0.4783,112.91,56.3,official_amem_search_agentic_no_evolution,
habit_family,tool_action,32,0.4688,122.78,56.69,official_amem_search_agentic_no_evolution,
stress_variant,original_reviewed,161,0.6087,115.26,56.78,official_amem_search_agentic_no_evolution,
stress_variant,unseen_paraphrase,125,0.448,114.53,56.78,official_amem_search_agentic_no_evolution,
