group_field,group,n,accuracy,avg_retrieved_tokens_est,avg_stored_items_est,baseline,elapsed_sec
overall,overall,286,0.5594,115.77,56.78,official_mem0_infer_false_hf_qdrant,
probe_type,boundary,72,0.3194,113.33,56.75,official_mem0_infer_false_hf_qdrant,
probe_type,direct_use,72,0.7778,116.65,56.78,official_mem0_infer_false_hf_qdrant,
probe_type,drift,16,0.25,113.38,57.0,official_mem0_infer_false_hf_qdrant,
probe_type,exception,72,0.4306,114.88,56.69,official_mem0_infer_false_hf_qdrant,
probe_type,explicit_retrieval,36,0.9722,117.97,56.78,official_mem0_infer_false_hf_qdrant,
probe_type,privacy,18,0.6111,123.22,57.0,official_mem0_infer_false_hf_qdrant,
capability_group,counterevidence_exception,72,0.4306,114.88,56.69,official_mem0_infer_false_hf_qdrant,
capability_group,explicit_fact_preference_retrieval,36,0.9722,117.97,56.78,official_mem0_infer_false_hf_qdrant,
capability_group,false_personalization_privacy,18,0.6111,123.22,57.0,official_mem0_infer_false_hf_qdrant,
capability_group,habit_boundary_false_personalization,72,0.3194,113.33,56.75,official_mem0_infer_false_hf_qdrant,
capability_group,habit_direct_use,72,0.7778,116.65,56.78,official_mem0_infer_false_hf_qdrant,
capability_group,habit_drift,16,0.25,113.38,57.0,official_mem0_infer_false_hf_qdrant,
habit_family,coding_review,24,0.7083,118.21,56.83,official_mem0_infer_false_hf_qdrant,
habit_family,content_constraints,25,0.6,128.28,56.56,official_mem0_infer_false_hf_qdrant,
habit_family,drift_seasonality,45,0.5556,111.4,56.84,official_mem0_infer_false_hf_qdrant,
habit_family,format_style,25,0.64,117.0,56.96,official_mem0_infer_false_hf_qdrant,
habit_family,meeting_prep,29,0.6552,94.76,56.69,official_mem0_infer_false_hf_qdrant,
habit_family,planning_defaults,29,0.3103,121.72,56.66,official_mem0_infer_false_hf_qdrant,
habit_family,privacy_consent,54,0.5926,117.11,57.07,official_mem0_infer_false_hf_qdrant,
habit_family,risk_threshold,23,0.5217,112.87,56.3,official_mem0_infer_false_hf_qdrant,
habit_family,tool_action,32,0.4688,122.78,56.69,official_mem0_infer_false_hf_qdrant,
stress_variant,original_reviewed,161,0.6273,116.41,56.78,official_mem0_infer_false_hf_qdrant,
stress_variant,unseen_paraphrase,125,0.472,114.94,56.78,official_mem0_infer_false_hf_qdrant,
