group_field,group,n,accuracy,avg_retrieved_tokens_est,avg_stored_items_est,baseline,elapsed_sec
overall,overall,286,0.528,351.83,56.78,official_omem_retrieval_injected_memory,
probe_type,boundary,72,0.5556,322.69,56.75,official_omem_retrieval_injected_memory,
probe_type,direct_use,72,0.6806,363.69,56.78,official_omem_retrieval_injected_memory,
probe_type,drift,16,0.6875,351.06,57.0,official_omem_retrieval_injected_memory,
probe_type,exception,72,0.3472,382.6,56.69,official_omem_retrieval_injected_memory,
probe_type,explicit_retrieval,36,0.6667,324.97,56.78,official_omem_retrieval_injected_memory,
probe_type,privacy,18,0.1111,352.28,57.0,official_omem_retrieval_injected_memory,
capability_group,counterevidence_exception,72,0.3472,382.6,56.69,official_omem_retrieval_injected_memory,
capability_group,explicit_fact_preference_retrieval,36,0.6667,324.97,56.78,official_omem_retrieval_injected_memory,
capability_group,false_personalization_privacy,18,0.1111,352.28,57.0,official_omem_retrieval_injected_memory,
capability_group,habit_boundary_false_personalization,72,0.5556,322.69,56.75,official_omem_retrieval_injected_memory,
capability_group,habit_direct_use,72,0.6806,363.69,56.78,official_omem_retrieval_injected_memory,
capability_group,habit_drift,16,0.6875,351.06,57.0,official_omem_retrieval_injected_memory,
habit_family,coding_review,24,0.625,333.67,56.83,official_omem_retrieval_injected_memory,
habit_family,content_constraints,25,0.6,368.12,56.56,official_omem_retrieval_injected_memory,
habit_family,drift_seasonality,45,0.6667,329.93,56.84,official_omem_retrieval_injected_memory,
habit_family,format_style,25,0.24,340.08,56.96,official_omem_retrieval_injected_memory,
habit_family,meeting_prep,29,0.5517,347.07,56.69,official_omem_retrieval_injected_memory,
habit_family,planning_defaults,29,0.6552,383.17,56.66,official_omem_retrieval_injected_memory,
habit_family,privacy_consent,54,0.463,336.87,57.07,official_omem_retrieval_injected_memory,
habit_family,risk_threshold,23,0.5217,333.65,56.3,official_omem_retrieval_injected_memory,
habit_family,tool_action,32,0.4062,406.94,56.69,official_omem_retrieval_injected_memory,
stress_variant,original_reviewed,161,0.5714,349.9,56.78,official_omem_retrieval_injected_memory,
stress_variant,unseen_paraphrase,125,0.472,354.32,56.78,official_omem_retrieval_injected_memory,
