group_field,group,n,accuracy,avg_retrieved_tokens_est,avg_stored_items_est,baseline,elapsed_sec
overall,overall,286,0.6783,248.45,56.78,official_secom_bm25_session,
probe_type,boundary,72,0.5694,242.51,56.75,official_secom_bm25_session,
probe_type,direct_use,72,0.7639,262.32,56.78,official_secom_bm25_session,
probe_type,drift,16,0.5625,255.19,57.0,official_secom_bm25_session,
probe_type,exception,72,0.8194,245.42,56.69,official_secom_bm25_session,
probe_type,explicit_retrieval,36,0.8333,254.86,56.78,official_secom_bm25_session,
probe_type,privacy,18,0.0,210.11,57.0,official_secom_bm25_session,
capability_group,counterevidence_exception,72,0.8194,245.42,56.69,official_secom_bm25_session,
capability_group,explicit_fact_preference_retrieval,36,0.8333,254.86,56.78,official_secom_bm25_session,
capability_group,false_personalization_privacy,18,0.0,210.11,57.0,official_secom_bm25_session,
capability_group,habit_boundary_false_personalization,72,0.5694,242.51,56.75,official_secom_bm25_session,
capability_group,habit_direct_use,72,0.7639,262.32,56.78,official_secom_bm25_session,
capability_group,habit_drift,16,0.5625,255.19,57.0,official_secom_bm25_session,
habit_family,coding_review,24,0.6667,255.88,56.83,official_secom_bm25_session,
habit_family,content_constraints,25,0.64,268.92,56.56,official_secom_bm25_session,
habit_family,drift_seasonality,45,0.6889,252.04,56.84,official_secom_bm25_session,
habit_family,format_style,25,0.76,260.6,56.96,official_secom_bm25_session,
habit_family,meeting_prep,29,0.8966,232.03,56.69,official_secom_bm25_session,
habit_family,planning_defaults,29,0.8621,238.21,56.66,official_secom_bm25_session,
habit_family,privacy_consent,54,0.537,234.39,57.07,official_secom_bm25_session,
habit_family,risk_threshold,23,0.6957,248.39,56.3,official_secom_bm25_session,
habit_family,tool_action,32,0.5,260.31,56.69,official_secom_bm25_session,
stress_variant,original_reviewed,161,0.7019,247.16,56.78,official_secom_bm25_session,
stress_variant,unseen_paraphrase,125,0.648,250.12,56.78,official_secom_bm25_session,
