review_id,public_probe_id,probe_id,user_id,split,probe_type,habit_family,stress_variant,query,choices_json,proposed_gold_choice_id,proposed_gold_action,evidence_preview_json,auto_validation_status,reviewer_decision,reviewer_notes
review_tm2_planning_user_0000_habit_business_travel_early_buffer_p00_direct_use,taskmaster_planning_v01_probe_14203a89ee478dd6,tm2_planning_user_0000_habit_business_travel_early_buffer_p00_direct_use,tm2_planning_user_0000,dev,direct_use,planning_defaults,taskmaster_seeded_direct,Pick the default travel option for a client meeting next Thursday using the user's established planning preference.,"[{""choice_id"": ""A"", ""text"": ""Choose the latest departure because shorter travel days are always best.""}, {""choice_id"": ""B"", ""text"": ""Choose the cheapest option even if it arrives right before the meeting.""}, {""choice_id"": ""C"", ""text"": ""Ask the user to restate their preference despite repeated prior evidence.""}, {""choice_id"": ""D"", ""text"": ""Choose the option that arrives early and leaves about a 90-minute buffer before the meeting.""}]",D,apply_scoped_habit,"[{""session_id"": ""tm2_planning_user_0000_s0008"", ""session_index"": 8, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""hotels"", ""user"": ""For work travel, I want the option with enough breathing room before the meeting. Prior travel-search context from Taskmaster-2 hotels: I'd like to find a hotel. Please help."", ""assistant"": ""For a business meeting, the safer default is the earlier option with a meeting buffer."", ""feedback"": ""Exactly. For work travel, reliability matters more than shaving off a little cost.""}, {""session_id"": ""tm2_planning_user_0000_s0010"", ""session_index"": 10, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""flights"", ""user"": ""I am heading to a meeting; build in a real buffer instead of cutting it close. Prior travel-search context from Taskmaster-2 flights: Hi, I am looking for a flight to New York round trip from New York City to Jamaica."", ""assistant"": ""I would avoid the tight arrival and preserve a 90-minute cushion before work starts."", ""feedback"": ""That is the right default for client trips: early arrival and breathing room.""}, {""session_id"": ""tm2_planning_user_0000_s0012"", ""session_index"": 12, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""flights"", ""user"": ""I am heading to a meeting; build in a real buffer instead of cutting it close. Prior travel-search context from Taskmaster-2 flights: The cheapest flights, please, and make sure they have Hot spot and Wi-Fi."", ""assistant"": ""I would avoid the tight arrival and preserve a 90-minute cushion before work starts."", ""feedback"": ""Good call. I do not want to land and rush straight into a meeting.""}, {""session_id"": ""tm2_planning_user_0000_s0017"", ""session_index"": 17, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""flights"", ""user"": ""For client visits, I prefer predictable timing over the absolute cheapest itinerary. Prior travel-search context from Taskmaster-2 flights: Hello there. I need help finding a flight to Raleigh, North Carolina."", ""assistant"": ""I would choose the earlier arrival and leave about a 90-minute buffer before the meeting."", ""feedback"": ""That is the right default for client trips: early arrival and breathing room.""}]",pass,,
review_tm2_planning_user_0000_habit_business_travel_early_buffer_p01_boundary,taskmaster_planning_v01_probe_52b08b80e4b912e8,tm2_planning_user_0000_habit_business_travel_early_buffer_p01_boundary,tm2_planning_user_0000,dev,boundary,planning_defaults,taskmaster_seeded_boundary,Plan a relaxed weekend vacation where there is no meeting or appointment to protect.,"[{""choice_id"": ""A"", ""text"": ""Optimize only for the cheapest arrival and ignore comfort.""}, {""choice_id"": ""B"", ""text"": ""Refuse to help because the user has a business travel habit.""}, {""choice_id"": ""C"", ""text"": ""Force an early arrival and a 90-minute meeting buffer anyway.""}, {""choice_id"": ""D"", ""text"": ""Do not apply the business-travel timing rule; optimize for comfort and ask about leisure priorities.""}]",D,do_not_apply_out_of_scope,"[{""session_id"": ""tm2_planning_user_0000_s0025"", ""session_index"": 25, ""signal_type"": ""boundary_counterexample"", ""domain"": ""travel"", ""source_domain"": ""hotels"", ""user"": ""This is a leisure trip with no meetings; optimize for comfort and a relaxed pace. Related travel context: I need help finding a hotel in St. Louis, Missouri."", ""assistant"": ""Because this is leisure travel, I would optimize for comfort and timing preference rather than defaulting to an early business arrival."", ""feedback"": ""Right, this is not a work trip, so the business buffer should not drive the plan.""}, {""session_id"": ""tm2_planning_user_0000_s0026"", ""session_index"": 26, ""signal_type"": ""boundary_counterexample"", ""domain"": ""travel"", ""source_domain"": ""hotels"", ""user"": ""Help me compare vacation options where arrival time is flexible and there is no appointment. Related travel context: Hello. Looking for a hotel in New Orleans."", ""assistant"": ""Because this is leisure travel, I would optimize for comfort and timing preference rather than defaulting to an early business arrival."", ""feedback"": ""Right, this is not a work trip, so the business buffer should not drive the plan.""}]",pass,,
review_tm2_planning_user_0000_habit_business_travel_early_buffer_p02_exception,taskmaster_planning_v01_probe_96ac798fd8a996d9,tm2_planning_user_0000_habit_business_travel_early_buffer_p02_exception,tm2_planning_user_0000,dev,exception,planning_defaults,taskmaster_seeded_exception,Plan a personal trip that the user explicitly says is flexible and not tied to a meeting.,"[{""choice_id"": ""A"", ""text"": ""Treat this as an exception and avoid assuming the early-arrival business buffer.""}, {""choice_id"": ""B"", ""text"": ""Say there is no way to plan without deleting the user's travel preference.""}, {""choice_id"": ""C"", ""text"": ""Apply the business-travel buffer because it is the most frequent prior pattern.""}, {""choice_id"": ""D"", ""text"": ""Pick the tightest itinerary solely because it is cheap.""}]",A,apply_exception,"[{""session_id"": ""tm2_planning_user_0000_s0029"", ""session_index"": 29, ""signal_type"": ""exception"", ""domain"": ""travel"", ""source_domain"": ""flights"", ""user"": ""For this vacation day, there is no meeting clock to protect, so do not force an early arrival. Use this travel context if useful: Hello, looking for a commercial air flight please, round trip."", ""assistant"": ""Since you explicitly marked this trip as flexible, I will not force the early-arrival business default."", ""feedback"": ""Yes, this is an exception to my usual business travel timing.""}]",pass,,
review_tm2_planning_user_0000_habit_business_travel_early_buffer_p03_explicit_retrieval,taskmaster_planning_v01_probe_1e906e5404a16204,tm2_planning_user_0000_habit_business_travel_early_buffer_p03_explicit_retrieval,tm2_planning_user_0000,dev,explicit_retrieval,planning_defaults,taskmaster_seeded_explicit,Which travel planning preference has the user repeatedly reinforced for business or client-meeting trips?,"[{""choice_id"": ""A"", ""text"": ""For vacations, always force the earliest possible arrival.""}, {""choice_id"": ""B"", ""text"": ""For business travel, prefer early arrivals and leave about a 90-minute buffer before meetings.""}, {""choice_id"": ""C"", ""text"": ""The user has not shown any recurring business-travel timing preference.""}, {""choice_id"": ""D"", ""text"": ""For every trip, always choose the cheapest possible arrival.""}]",B,retrieve_explicit_preference_from_support,"[{""session_id"": ""tm2_planning_user_0000_s0008"", ""session_index"": 8, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""hotels"", ""user"": ""For work travel, I want the option with enough breathing room before the meeting. Prior travel-search context from Taskmaster-2 hotels: I'd like to find a hotel. Please help."", ""assistant"": ""For a business meeting, the safer default is the earlier option with a meeting buffer."", ""feedback"": ""Exactly. For work travel, reliability matters more than shaving off a little cost.""}, {""session_id"": ""tm2_planning_user_0000_s0010"", ""session_index"": 10, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""flights"", ""user"": ""I am heading to a meeting; build in a real buffer instead of cutting it close. Prior travel-search context from Taskmaster-2 flights: Hi, I am looking for a flight to New York round trip from New York City to Jamaica."", ""assistant"": ""I would avoid the tight arrival and preserve a 90-minute cushion before work starts."", ""feedback"": ""That is the right default for client trips: early arrival and breathing room.""}, {""session_id"": ""tm2_planning_user_0000_s0012"", ""session_index"": 12, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""flights"", ""user"": ""I am heading to a meeting; build in a real buffer instead of cutting it close. Prior travel-search context from Taskmaster-2 flights: The cheapest flights, please, and make sure they have Hot spot and Wi-Fi."", ""assistant"": ""I would avoid the tight arrival and preserve a 90-minute cushion before work starts."", ""feedback"": ""Good call. I do not want to land and rush straight into a meeting.""}, {""session_id"": ""tm2_planning_user_0000_s0017"", ""session_index"": 17, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""flights"", ""user"": ""For client visits, I prefer predictable timing over the absolute cheapest itinerary. Prior travel-search context from Taskmaster-2 flights: Hello there. I need help finding a flight to Raleigh, North Carolina."", ""assistant"": ""I would choose the earlier arrival and leave about a 90-minute buffer before the meeting."", ""feedback"": ""That is the right default for client trips: early arrival and breathing room.""}]",pass,,
review_tm2_planning_user_0001_habit_business_travel_early_buffer_p00_direct_use,taskmaster_planning_v01_probe_a40fd79e08dc29e6,tm2_planning_user_0001_habit_business_travel_early_buffer_p00_direct_use,tm2_planning_user_0001,dev,direct_use,planning_defaults,taskmaster_seeded_direct,Pick the default travel option for a client meeting next Thursday using the user's established planning preference.,"[{""choice_id"": ""A"", ""text"": ""Choose the option that arrives early and leaves about a 90-minute buffer before the meeting.""}, {""choice_id"": ""B"", ""text"": ""Choose the cheapest option even if it arrives right before the meeting.""}, {""choice_id"": ""C"", ""text"": ""Ask the user to restate their preference despite repeated prior evidence.""}, {""choice_id"": ""D"", ""text"": ""Choose the latest departure because shorter travel days are always best.""}]",A,apply_scoped_habit,"[{""session_id"": ""tm2_planning_user_0001_s0006"", ""session_index"": 6, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""hotels"", ""user"": ""I am heading to a meeting; build in a real buffer instead of cutting it close. Prior travel-search context from Taskmaster-2 hotels: Hello. Can you help me in finding a hotel in San Francisco?"", ""assistant"": ""I would avoid the tight arrival and preserve a 90-minute cushion before work starts."", ""feedback"": ""Exactly. For work travel, reliability matters more than shaving off a little cost.""}, {""session_id"": ""tm2_planning_user_0001_s0010"", ""session_index"": 10, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""flights"", ""user"": ""When this is a business trip, please default to the safer arrival window. Prior travel-search context from Taskmaster-2 flights: Hi, I need help finding a round-trip commercial airline. Can you help me?"", ""assistant"": ""I would choose the earlier arrival and leave about a 90-minute buffer before the meeting."", ""feedback"": ""Good call. I do not want to land and rush straight into a meeting.""}, {""session_id"": ""tm2_planning_user_0001_s0013"", ""session_index"": 13, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""hotels"", ""user"": ""When this is a business trip, please default to the safer arrival window. Prior travel-search context from Taskmaster-2 hotels: I'd like help finding a hotel in New Orleans."", ""assistant"": ""I would avoid the tight arrival and preserve a 90-minute cushion before work starts."", ""feedback"": ""Good call. I do not want to land and rush straight into a meeting.""}, {""session_id"": ""tm2_planning_user_0001_s0016"", ""session_index"": 16, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""hotels"", ""user"": ""For client visits, I prefer predictable timing over the absolute cheapest itinerary. Prior travel-search context from Taskmaster-2 hotels: Hi, I was wanting to request a hotel for dates from April 1st through April 3rd and there'll be tw..."", ""assistant"": ""I would avoid the tight arrival and preserve a 90-minute cushion before work starts."", ""feedback"": ""Exactly. For work travel, reliability matters more than shaving off a little cost.""}]",pass,,
review_tm2_planning_user_0001_habit_business_travel_early_buffer_p01_boundary,taskmaster_planning_v01_probe_77a31521b832e1f3,tm2_planning_user_0001_habit_business_travel_early_buffer_p01_boundary,tm2_planning_user_0001,dev,boundary,planning_defaults,taskmaster_seeded_boundary,Plan a relaxed weekend vacation where there is no meeting or appointment to protect.,"[{""choice_id"": ""A"", ""text"": ""Do not apply the business-travel timing rule; optimize for comfort and ask about leisure priorities.""}, {""choice_id"": ""B"", ""text"": ""Force an early arrival and a 90-minute meeting buffer anyway.""}, {""choice_id"": ""C"", ""text"": ""Optimize only for the cheapest arrival and ignore comfort.""}, {""choice_id"": ""D"", ""text"": ""Refuse to help because the user has a business travel habit.""}]",A,do_not_apply_out_of_scope,"[{""session_id"": ""tm2_planning_user_0001_s0022"", ""session_index"": 22, ""signal_type"": ""boundary_counterexample"", ""domain"": ""travel"", ""source_domain"": ""hotels"", ""user"": ""This is a leisure trip with no meetings; optimize for comfort and a relaxed pace. Related travel context: I'm looking for a hotel in St. Louis, Missouri."", ""assistant"": ""Because this is leisure travel, I would optimize for comfort and timing preference rather than defaulting to an early business arrival."", ""feedback"": ""Right, this is not a work trip, so the business buffer should not drive the plan.""}, {""session_id"": ""tm2_planning_user_0001_s0030"", ""session_index"": 30, ""signal_type"": ""boundary_counterexample"", ""domain"": ""travel"", ""source_domain"": ""hotels"", ""user"": ""Help me compare vacation options where arrival time is flexible and there is no appointment. Related travel context: I would like help finding a hotel in New York City."", ""assistant"": ""Because this is leisure travel, I would optimize for comfort and timing preference rather than defaulting to an early business arrival."", ""feedback"": ""Right, this is not a work trip, so the business buffer should not drive the plan.""}]",pass,,
review_tm2_planning_user_0001_habit_business_travel_early_buffer_p02_exception,taskmaster_planning_v01_probe_7eaa545757c7ec0d,tm2_planning_user_0001_habit_business_travel_early_buffer_p02_exception,tm2_planning_user_0001,dev,exception,planning_defaults,taskmaster_seeded_exception,Plan a personal trip that the user explicitly says is flexible and not tied to a meeting.,"[{""choice_id"": ""A"", ""text"": ""Pick the tightest itinerary solely because it is cheap.""}, {""choice_id"": ""B"", ""text"": ""Treat this as an exception and avoid assuming the early-arrival business buffer.""}, {""choice_id"": ""C"", ""text"": ""Say there is no way to plan without deleting the user's travel preference.""}, {""choice_id"": ""D"", ""text"": ""Apply the business-travel buffer because it is the most frequent prior pattern.""}]",B,apply_exception,"[{""session_id"": ""tm2_planning_user_0001_s0027"", ""session_index"": 27, ""signal_type"": ""exception"", ""domain"": ""travel"", ""source_domain"": ""hotels"", ""user"": ""Plan this as a personal trip where the timing can be looser than my business travel default. Use this travel context if useful: Hello. I would like help in finding a hotel in Nashville, Tennessee."", ""assistant"": ""Since you explicitly marked this trip as flexible, I will not force the early-arrival business default."", ""feedback"": ""Yes, this is an exception to my usual business travel timing.""}]",pass,,
review_tm2_planning_user_0001_habit_business_travel_early_buffer_p03_explicit_retrieval,taskmaster_planning_v01_probe_d5502506838f590f,tm2_planning_user_0001_habit_business_travel_early_buffer_p03_explicit_retrieval,tm2_planning_user_0001,dev,explicit_retrieval,planning_defaults,taskmaster_seeded_explicit,Which travel planning preference has the user repeatedly reinforced for business or client-meeting trips?,"[{""choice_id"": ""A"", ""text"": ""For vacations, always force the earliest possible arrival.""}, {""choice_id"": ""B"", ""text"": ""The user has not shown any recurring business-travel timing preference.""}, {""choice_id"": ""C"", ""text"": ""For every trip, always choose the cheapest possible arrival.""}, {""choice_id"": ""D"", ""text"": ""For business travel, prefer early arrivals and leave about a 90-minute buffer before meetings.""}]",D,retrieve_explicit_preference_from_support,"[{""session_id"": ""tm2_planning_user_0001_s0006"", ""session_index"": 6, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""hotels"", ""user"": ""I am heading to a meeting; build in a real buffer instead of cutting it close. Prior travel-search context from Taskmaster-2 hotels: Hello. Can you help me in finding a hotel in San Francisco?"", ""assistant"": ""I would avoid the tight arrival and preserve a 90-minute cushion before work starts."", ""feedback"": ""Exactly. For work travel, reliability matters more than shaving off a little cost.""}, {""session_id"": ""tm2_planning_user_0001_s0010"", ""session_index"": 10, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""flights"", ""user"": ""When this is a business trip, please default to the safer arrival window. Prior travel-search context from Taskmaster-2 flights: Hi, I need help finding a round-trip commercial airline. Can you help me?"", ""assistant"": ""I would choose the earlier arrival and leave about a 90-minute buffer before the meeting."", ""feedback"": ""Good call. I do not want to land and rush straight into a meeting.""}, {""session_id"": ""tm2_planning_user_0001_s0013"", ""session_index"": 13, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""hotels"", ""user"": ""When this is a business trip, please default to the safer arrival window. Prior travel-search context from Taskmaster-2 hotels: I'd like help finding a hotel in New Orleans."", ""assistant"": ""I would avoid the tight arrival and preserve a 90-minute cushion before work starts."", ""feedback"": ""Good call. I do not want to land and rush straight into a meeting.""}, {""session_id"": ""tm2_planning_user_0001_s0016"", ""session_index"": 16, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""hotels"", ""user"": ""For client visits, I prefer predictable timing over the absolute cheapest itinerary. Prior travel-search context from Taskmaster-2 hotels: Hi, I was wanting to request a hotel for dates from April 1st through April 3rd and there'll be tw..."", ""assistant"": ""I would avoid the tight arrival and preserve a 90-minute cushion before work starts."", ""feedback"": ""Exactly. For work travel, reliability matters more than shaving off a little cost.""}]",pass,,
review_tm2_planning_user_0002_habit_business_travel_early_buffer_p00_direct_use,taskmaster_planning_v01_probe_df9f11c60f350249,tm2_planning_user_0002_habit_business_travel_early_buffer_p00_direct_use,tm2_planning_user_0002,test,direct_use,planning_defaults,taskmaster_seeded_direct,Pick the default travel option for a client meeting next Thursday using the user's established planning preference.,"[{""choice_id"": ""A"", ""text"": ""Ask the user to restate their preference despite repeated prior evidence.""}, {""choice_id"": ""B"", ""text"": ""Choose the cheapest option even if it arrives right before the meeting.""}, {""choice_id"": ""C"", ""text"": ""Choose the latest departure because shorter travel days are always best.""}, {""choice_id"": ""D"", ""text"": ""Choose the option that arrives early and leaves about a 90-minute buffer before the meeting.""}]",D,apply_scoped_habit,"[{""session_id"": ""tm2_planning_user_0002_s0008"", ""session_index"": 8, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""flights"", ""user"": ""For client visits, I prefer predictable timing over the absolute cheapest itinerary. Prior travel-search context from Taskmaster-2 flights: I'd like to book a first-class plane to San Francisco."", ""assistant"": ""For a business meeting, the safer default is the earlier option with a meeting buffer."", ""feedback"": ""That is the right default for client trips: early arrival and breathing room.""}, {""session_id"": ""tm2_planning_user_0002_s0011"", ""session_index"": 11, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""flights"", ""user"": ""This is for a client meeting, so choose timing that keeps me from rushing. Prior travel-search context from Taskmaster-2 flights: Hello. I would like help finding a flight to France."", ""assistant"": ""I would avoid the tight arrival and preserve a 90-minute cushion before work starts."", ""feedback"": ""That is the right default for client trips: early arrival and breathing room.""}, {""session_id"": ""tm2_planning_user_0002_s0014"", ""session_index"": 14, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""hotels"", ""user"": ""I am heading to a meeting; build in a real buffer instead of cutting it close. Prior travel-search context from Taskmaster-2 hotels: I would like to find a hotel for my summer vacation."", ""assistant"": ""I would choose the earlier arrival and leave about a 90-minute buffer before the meeting."", ""feedback"": ""Good call. I do not want to land and rush straight into a meeting.""}, {""session_id"": ""tm2_planning_user_0002_s0015"", ""session_index"": 15, ""signal_type"": ""support"", ""domain"": ""travel"", ""source_domain"": ""flights"", ""user"": ""I am heading to a meeting; build in a real buffer instead of cutting it close. Prior travel-search context from Taskmaster-2 flights: Hi, I'm looking for a flight to London, please."", ""assistant"": ""I would choose the earlier arrival and leave about a 90-minute buffer before the meeting."", ""feedback"": ""Yes, that buffer is exactly what I need for business travel.""}]",pass,,
review_tm2_planning_user_0002_habit_business_travel_early_buffer_p01_boundary,taskmaster_planning_v01_probe_0abde5300163c42e,tm2_planning_user_0002_habit_business_travel_early_buffer_p01_boundary,tm2_planning_user_0002,test,boundary,planning_defaults,taskmaster_seeded_boundary,Plan a relaxed weekend vacation where there is no meeting or appointment to protect.,"[{""choice_id"": ""A"", ""text"": ""Refuse to help because the user has a business travel habit.""}, {""choice_id"": ""B"", ""text"": ""Do not apply the business-travel timing rule; optimize for comfort and ask about leisure priorities.""}, {""choice_id"": ""C"", ""text"": ""Optimize only for the cheapest arrival and ignore comfort.""}, {""choice_id"": ""D"", ""text"": ""Force an early arrival and a 90-minute meeting buffer anyway.""}]",B,do_not_apply_out_of_scope,"[{""session_id"": ""tm2_planning_user_0002_s0017"", ""session_index"": 17, ""signal_type"": ""boundary_counterexample"", ""domain"": ""travel"", ""source_domain"": ""hotels"", ""user"": ""Plan a relaxed weekend getaway where I can sleep in and wander without a fixed schedule. Related travel context: I need help in finding a hotel in St. Louis, Missouri."", ""assistant"": ""Because this is leisure travel, I would optimize for comfort and timing preference rather than defaulting to an early business arrival."", ""feedback"": ""Right, this is not a work trip, so the business buffer should not drive the plan.""}, {""session_id"": ""tm2_planning_user_0002_s0023"", ""session_index"": 23, ""signal_type"": ""boundary_counterexample"", ""domain"": ""travel"", ""source_domain"": ""hotels"", ""user"": ""Help me compare vacation options where arrival time is flexible and there is no appointment. Related travel context: I need help in finding a hotel in Nashville Tennessee."", ""assistant"": ""Because this is leisure travel, I would optimize for comfort and timing preference rather than defaulting to an early business arrival."", ""feedback"": ""Right, this is not a work trip, so the business buffer should not drive the plan.""}]",pass,,
