group_field,group,n,accuracy,avg_retrieved_tokens_est,avg_stored_items_est,baseline,elapsed_sec
overall,overall,120,0.55,1956.44,36.0,official_amem_search_agentic_no_evolution,
probe_type,boundary,30,0.6333,2021.6,36.0,official_amem_search_agentic_no_evolution,
probe_type,direct_use,30,0.4667,1868.07,36.0,official_amem_search_agentic_no_evolution,
probe_type,exception,30,0.5,1905.23,36.0,official_amem_search_agentic_no_evolution,
probe_type,explicit_retrieval,30,0.6,2030.87,36.0,official_amem_search_agentic_no_evolution,
capability_group,counterevidence_exception,30,0.5,1905.23,36.0,official_amem_search_agentic_no_evolution,
capability_group,explicit_fact_preference_retrieval,30,0.6,2030.87,36.0,official_amem_search_agentic_no_evolution,
capability_group,habit_boundary_false_personalization,30,0.6333,2021.6,36.0,official_amem_search_agentic_no_evolution,
capability_group,habit_direct_use,30,0.4667,1868.07,36.0,official_amem_search_agentic_no_evolution,
habit_family,planning_defaults,120,0.55,1956.44,36.0,official_amem_search_agentic_no_evolution,
stress_variant,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,120,0.55,1956.44,36.0,official_amem_search_agentic_no_evolution,
