group_field,group,n,accuracy,avg_retrieved_tokens_est,avg_stored_items_est,baseline,elapsed_sec
overall,overall,120,0.4167,7911.29,36.0,official_omem_retrieval_injected_memory,
probe_type,boundary,30,0.4333,7978.1,36.0,official_omem_retrieval_injected_memory,
probe_type,direct_use,30,0.4,7868.33,36.0,official_omem_retrieval_injected_memory,
probe_type,exception,30,0.3,7847.67,36.0,official_omem_retrieval_injected_memory,
probe_type,explicit_retrieval,30,0.5333,7951.07,36.0,official_omem_retrieval_injected_memory,
capability_group,counterevidence_exception,30,0.3,7847.67,36.0,official_omem_retrieval_injected_memory,
capability_group,explicit_fact_preference_retrieval,30,0.5333,7951.07,36.0,official_omem_retrieval_injected_memory,
capability_group,habit_boundary_false_personalization,30,0.4333,7978.1,36.0,official_omem_retrieval_injected_memory,
capability_group,habit_direct_use,30,0.4,7868.33,36.0,official_omem_retrieval_injected_memory,
habit_family,planning_defaults,120,0.4167,7911.29,36.0,official_omem_retrieval_injected_memory,
stress_variant,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,120,0.4167,7911.29,36.0,official_omem_retrieval_injected_memory,
