group_field,group,n,accuracy,avg_retrieved_tokens_est,avg_stored_items_est,baseline,elapsed_sec
overall,overall,120,0.5417,3761.51,36.0,official_secom_bm25_session,
probe_type,boundary,30,0.6667,3851.73,36.0,official_secom_bm25_session,
probe_type,direct_use,30,0.5333,3705.4,36.0,official_secom_bm25_session,
probe_type,exception,30,0.3667,3732.8,36.0,official_secom_bm25_session,
probe_type,explicit_retrieval,30,0.6,3756.1,36.0,official_secom_bm25_session,
capability_group,counterevidence_exception,30,0.3667,3732.8,36.0,official_secom_bm25_session,
capability_group,explicit_fact_preference_retrieval,30,0.6,3756.1,36.0,official_secom_bm25_session,
capability_group,habit_boundary_false_personalization,30,0.6667,3851.73,36.0,official_secom_bm25_session,
capability_group,habit_direct_use,30,0.5333,3705.4,36.0,official_secom_bm25_session,
habit_family,planning_defaults,120,0.5417,3761.51,36.0,official_secom_bm25_session,
stress_variant,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,120,0.5417,3761.51,36.0,official_secom_bm25_session,
