review_id,public_probe_id,probe_id,user_id,split,probe_type,habit_family,stress_variant,query,choices_json,proposed_gold_choice_id,proposed_gold_action,evidence_preview_json,auto_validation_status,reviewer_decision,reviewer_notes
review_tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p00_direct_use,taskmaster_planning_v02_probe_8fdb8626a7948b3c,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p00_direct_use,tm2_planning_v02_user_0000,dev,direct_use,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"I’m flying to Chicago for a client onsite kickoff. The first session is Monday at 2:00 p.m. downtown, and the airport-to-office transfer is usually 35–50 minutes. Which itinerary is the best recommendation?","[{""choice_id"": ""A"", ""text"": ""Book the 8:15 a.m. one-stop arriving at 11:20 a.m. with a 38-minute connection, then stay at a midrange hotel near the airport.""}, {""choice_id"": ""B"", ""text"": ""Book the 7:30 a.m. nonstop arriving at 9:10 a.m., then stay at the hotel a 10-minute walk from the client office; it costs $160 more than the cheapest option.""}, {""choice_id"": ""C"", ""text"": ""Book the 10:45 a.m. nonstop arriving at 12:25 p.m., then stay at a less expensive hotel 30 minutes from the office; it saves about $160.""}, {""choice_id"": ""D"", ""text"": ""Book the 6:05 a.m. flight with a long connection arriving at 10:55 a.m., then stay at the cheapest suburban hotel; it saves $90 but adds a longer commute.""}]",B,apply_scoped_habit,"[{""session_id"": ""tm2_planning_v02_user_0000_s0004"", ""session_index"": 4, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need help sorting out flights from Sacramento to Houston for a client visit. I have to go today and return five days from now. For both directions I’d like... | assistant: Sure. Which Houston airport works best for you, IAH or Hobby? And do you have any fixed commitments after you land today? | user: IAH is better because the client’s office is north of downtown. I have an onsite prep with their operations lead at 3:30 this afternoon, then a larger kickof... | assistant: Got it. Since there’s a same-day client commitment, I’ll look for options that arrive with enough time before 3:30, not just the lowest fare. Do you have a b... | user: No hard airline preference. I can justify a higher fare if it keeps the landing time from being too close. I’d rather not be in a cab from the airport while...""}, {""session_id"": ""tm2_planning_v02_user_0000_s0005"", ""session_index"": 5, ""signal_type"": ""support"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: Can you help me set up a hotel in San Francisco for a client visit next month? | assistant: Sure. What dates, neighborhood, and any budget or amenities you care about? | user: I’ll be there May 13 to May 15. The client is near Embarcadero Center, and I have to be onsite by 9:00 AM on the 14th for a kickoff. | assistant: Got it. Do you need parking, breakfast, a gym, or a specific star level? | user: No parking. Breakfast is nice but not required. I mostly want something reliable, quiet, and close enough that I’m not worrying about traffic or a long ride...""}, {""session_id"": ""tm2_planning_v02_user_0000_s0020"", ""session_index"": 20, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need help comparing round-trip flights to Athens for a client onsite. I’ll be leaving from New York, preferably JFK, and I need to be at the client’s offic... | assistant: Absolutely. What are the travel dates, and what time is the Wednesday commitment? | user: The first client session starts at 10:00 a.m. Wednesday, May 14. There’s also a meet-and-greet dinner Tuesday at 7:00 p.m., which I should really attend. I c... | assistant: Got it. Do you want economy, premium economy, or business class? Also, are Newark or LaGuardia acceptable if the schedule is better? | user: Premium economy is fine if the price isn’t ridiculous. JFK is easiest, but Newark is okay for a nonstop. I care more about the arrival timing than saving a c...""}]",pass,accept,"accept: The in-scope business onsite request clearly calls for the protected arrival-buffer default, and choice B is the uniquely safest itinerary despite higher cost."
review_tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p01_boundary,taskmaster_planning_v02_probe_d8585b8d8e2532ab,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p01_boundary,tm2_planning_v02_user_0000,dev,boundary,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"You are helping plan a relaxed personal vacation to Lisbon. The traveler has no work meetings, tours, dinner reservations, or other commitments on arrival day, and the hotel allows late check-in. The first planned activity is brunch the next morning. Which flight plan is the best fit?","[{""choice_id"": ""A"", ""text"": ""Book the cheaper nonstop evening flight that lands at 8:30 PM, since arrival day is flexible and there are no same-day commitments.""}, {""choice_id"": ""B"", ""text"": ""Book the morning flight that lands at 11:00 AM for $185 more, mainly to preserve a large arrival cushion that is not needed for any scheduled plan.""}, {""choice_id"": ""C"", ""text"": ""Book the cheapest two-connection itinerary landing at 12:40 AM, even though it saves only $25 and adds a higher risk of delays.""}, {""choice_id"": ""D"", ""text"": ""Fly in one full day earlier and add an extra hotel night to create a prep buffer before the vacation activities begin.""}]",A,do_not_apply_out_of_scope,"[{""session_id"": ""tm2_planning_v02_user_0000_s0006"", ""session_index"": 6, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""flights"", ""messages_preview"": ""user: Can you help me find a round trip from San Francisco to Miami? I want to leave tonight if possible and come back four days from now. | assistant: Sure. Is this for work or personal travel, and do you have any fixed plans right after landing that I should plan around? | user: Personal trip. My cousin is already there and I’m just joining for a few beach days. No dinner reservation or anything tonight, so arriving late is fine. | assistant: Got it. Do you prefer nonstop flights, lower fare, or certain departure times? | user: Evening departures both ways would be ideal. I’d rather not pay a lot extra for nonstop unless the timing is much better.""}, {""session_id"": ""tm2_planning_v02_user_0000_s0024"", ""session_index"": 24, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I'm planning a relaxed trip from Los Angeles to Amsterdam, round trip. It's just me, probably in late May, and I'm trying not to spend a fortune. | assistant: Sure, I can help narrow it down. Do you have exact dates yet, and are you looking for economy only? Also, do you prefer nonstop flights, or are one-stop opti... | user: Economy is fine. I was thinking leaving LAX on May 21 and coming back May 29. One stop is okay. This is vacation, no work meetings or anything. | assistant: Got it: LAX to Amsterdam, May 21 to May 29, economy, leisure trip, one stop acceptable. Any limits on layover length or arrival time? Some cheaper fares arri... | user: I'm not picky. I booked the first night already but the hotel has late check-in, and I don't have plans that day besides maybe walking around if I'm awake.""}]",pass,accept,"accept: Boundary query is clearly out of scope for the business-arrival-buffer default, with coherent evidence and a unique plausible gold choice choosing the flexible cheaper evening nonstop."
review_tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p02_exception,taskmaster_planning_v02_probe_d2f4ac6e4cc4a2e0,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p02_exception,tm2_planning_v02_user_0000,dev,exception,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"I'm booking travel to Salem for a client onsite. I often pay more to arrive well ahead of client commitments, but this time the client moved the kickoff from Monday afternoon to Tuesday at 1:00 p.m., and Monday is only a travel day. I said I'd prefer not to spend extra just to sit in town another half day. Which itinerary should the assistant recommend?","[{""choice_id"": ""A"", ""text"": ""Take the $280 Monday late-night flight to a farther airport and book the cheapest hotel 50 minutes away to reduce airfare and lodging costs.""}, {""choice_id"": ""B"", ""text"": ""Take the $295 Monday afternoon flight that lands at 6:30 p.m. and stay at the nearby hotel, leaving a normal overnight cushion before Tuesday's 1:00 p.m. kickoff.""}, {""choice_id"": ""C"", ""text"": ""Take the $255 Tuesday morning flight that lands at 11:20 a.m. and go straight to the 1:00 p.m. kickoff to minimize hotel nights.""}, {""choice_id"": ""D"", ""text"": ""Take the $410 Sunday evening flight and a hotel near the client so Monday morning is fully protected for prep.""}]",B,apply_current_trip_constraint,"[{""session_id"": ""tm2_planning_v02_user_0000_s0035"", ""session_index"": 35, ""signal_type"": ""exception"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: Hi. I need help finding a hotel in Salem, Oregon for a work trip. | assistant: Sure. What dates are you traveling, and do you need to be near a specific office or neighborhood? | user: Check in Monday, May 13, and check out Thursday. It’s for an onsite client workshop near the state offices on Capitol Street. On similar client trips to Sacr... | assistant: Understood. Since there is no Monday client commitment, we can compare options without forcing an early arrival. Are you flying into Portland, and do you car... | user: Yes, PDX. Flights are either landing at 12:25 for $352 or landing at 5:05 for $229. I’d normally take the first for a client visit, but with the Tuesday star...""}]",pass,accept,accept: The exception is coherent and B uniquely follows the current-trip relaxation by keeping a normal overnight buffer without overpaying for an unnecessary early arrival.
review_tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p03_explicit_retrieval,taskmaster_planning_v02_probe_d038b662fb4cac6f,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p03_explicit_retrieval,tm2_planning_v02_user_0000,dev,explicit_retrieval,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"When arranging business or client onsite travel with meeting-dependent commitments, which repeated planning preference best matches this user’s past choices?","[{""choice_id"": ""A"", ""text"": ""Prioritize the lowest airfare whenever the destination and arrival date are correct, even if arrival is close to the meeting time.""}, {""choice_id"": ""B"", ""text"": ""Choose an earlier arrival with meaningful buffer before client commitments, even if a cheaper itinerary arrives tighter.""}, {""choice_id"": ""C"", ""text"": ""Favor longer layovers to earn more airline miles, even when they reduce prep time before onsite meetings.""}, {""choice_id"": ""D"", ""text"": ""Book later flights for personal comfort and rely on an airport hotel to reduce ground-transfer uncertainty.""}]",B,retrieve_supported_preference,"[{""session_id"": ""tm2_planning_v02_user_0000_s0004"", ""session_index"": 4, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need help sorting out flights from Sacramento to Houston for a client visit. I have to go today and return five days from now. For both directions I’d like... | assistant: Sure. Which Houston airport works best for you, IAH or Hobby? And do you have any fixed commitments after you land today? | user: IAH is better because the client’s office is north of downtown. I have an onsite prep with their operations lead at 3:30 this afternoon, then a larger kickof... | assistant: Got it. Since there’s a same-day client commitment, I’ll look for options that arrive with enough time before 3:30, not just the lowest fare. Do you have a b... | user: No hard airline preference. I can justify a higher fare if it keeps the landing time from being too close. I’d rather not be in a cab from the airport while...""}, {""session_id"": ""tm2_planning_v02_user_0000_s0005"", ""session_index"": 5, ""signal_type"": ""support"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: Can you help me set up a hotel in San Francisco for a client visit next month? | assistant: Sure. What dates, neighborhood, and any budget or amenities you care about? | user: I’ll be there May 13 to May 15. The client is near Embarcadero Center, and I have to be onsite by 9:00 AM on the 14th for a kickoff. | assistant: Got it. Do you need parking, breakfast, a gym, or a specific star level? | user: No parking. Breakfast is nice but not required. I mostly want something reliable, quiet, and close enough that I’m not worrying about traffic or a long ride...""}, {""session_id"": ""tm2_planning_v02_user_0000_s0020"", ""session_index"": 20, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need help comparing round-trip flights to Athens for a client onsite. I’ll be leaving from New York, preferably JFK, and I need to be at the client’s offic... | assistant: Absolutely. What are the travel dates, and what time is the Wednesday commitment? | user: The first client session starts at 10:00 a.m. Wednesday, May 14. There’s also a meet-and-greet dinner Tuesday at 7:00 p.m., which I should really attend. I c... | assistant: Got it. Do you want economy, premium economy, or business class? Also, are Newark or LaGuardia acceptable if the schedule is better? | user: Premium economy is fine if the price isn’t ridiculous. JFK is easiest, but Newark is okay for a nonstop. I care more about the arrival timing than saving a c...""}]",pass,accept,"accept: The query is a supported explicit retrieval of the scoped business-travel arrival-buffer preference, with a unique correct choice and plausible distractors."
review_tm2_planning_v02_user_0001_habit_tight_schedule_nonstop_priority_p00_direct_use,taskmaster_planning_v02_probe_364982e55081df5a,tm2_planning_v02_user_0001_habit_tight_schedule_nonstop_priority_p00_direct_use,tm2_planning_v02_user_0001,dev,direct_use,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,I need to fly from Seattle to Denver next Thursday for a client kickoff that starts at 1:00 p.m. the same day. Which itinerary should I choose?,"[{""choice_id"": ""A"", ""text"": ""7:10 a.m. nonstop, arriving at 10:45 a.m., for $365""}, {""choice_id"": ""B"", ""text"": ""9:15 a.m. nonstop, arriving at 12:50 p.m., for $330""}, {""choice_id"": ""C"", ""text"": ""6:25 a.m. flight with a 45-minute connection in Salt Lake City, arriving at 11:05 a.m., for $295""}, {""choice_id"": ""D"", ""text"": ""8:30 a.m. flight with a 2-hour connection in Phoenix, arriving at 1:10 p.m., for $245""}]",A,apply_scoped_habit,"[{""session_id"": ""tm2_planning_v02_user_0001_s0000"", ""session_index"": 0, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need help booking flights to Rome for a work trip next month. I'm leaving from Boston and I have to be in Rome for a client session the morning after I arr... | assistant: Sure. What dates are you looking at, and do you have a preferred arrival time or airline? | user: Leave Boston on Monday, April 14, and return Friday, April 18. The client session starts Tuesday at 10:30 AM near Termini, so I really don't want anything th... | assistant: Understood. For Boston to Rome, I see a nonstop overnight flight arriving Tuesday at 7:15 AM for about $1,180 in economy. There are also one-stop options thr... | user: The cheaper ones are tempting, but landing at 9:30 with a connection before a 10:30 meeting is too tight. What is the nonstop schedule?""}, {""session_id"": ""tm2_planning_v02_user_0001_s0010"", ""session_index"": 10, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need to get to Paris next month for a client presentation. Can you help me compare flights? | assistant: Absolutely. What city are you departing from, what dates, and do you have a latest acceptable arrival time in Paris? | user: New York, either JFK or Newark. I need to be in Paris on Tuesday, June 18. The presentation is at 11:00 a.m. in La Défense, so I need enough cushion after la... | assistant: Got it. One traveler. Do you want economy, premium economy, or business? And are you checking a bag? | user: Just me, one checked bag. Economy is fine, premium economy if the price difference is reasonable. I care more about arriving reliably than having extra space.""}, {""session_id"": ""tm2_planning_v02_user_0001_s0014"", ""session_index"": 14, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need a round trip from Los Angeles to Chicago, leaving this morning and coming back four days from now. I have to be downtown for a client check-in right a... | assistant: Got it. Are you starting from LAX, and do you prefer O'Hare or Midway? Also, what cabin and how many bags? | user: LAX is fine, O'Hare is better because the office is near River North. Economy is fine, carry-on only. I care more about getting there reliably than shaving a... | assistant: I see a few same-day options. The earliest practical nonstop is a United flight from LAX to ORD leaving around 6:05 AM and arriving about 12:10 PM. There's a... | user: Let's not do Denver. That connection makes me nervous, and I don't have much slack if there is a delay. Please focus on nonstop or the fewest stops possible.""}]",pass,accept,accept: In-scope same-day client meeting makes the nonstop with adequate cushion uniquely consistent with the supported preference for reliable low-transfer itineraries.
review_tm2_planning_v02_user_0001_habit_tight_schedule_nonstop_priority_p01_boundary,taskmaster_planning_v02_probe_2e6dc620bf417b5b,tm2_planning_v02_user_0001_habit_tight_schedule_nonstop_priority_p01_boundary,tm2_planning_v02_user_0001,dev,boundary,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"You’re planning a relaxed weeklong vacation to Denver. There are no plans on arrival day, your schedule is flexible, and you said you’d rather keep airfare low if a layover is reasonable. Which itinerary should the assistant recommend?","[{""choice_id"": ""A"", ""text"": ""Book the $455 nonstop flight arriving midafternoon to minimize any chance of connection delays.""}, {""choice_id"": ""B"", ""text"": ""Book the $240 two-stop flight with a 38-minute connection because it is the absolute lowest fare.""}, {""choice_id"": ""C"", ""text"": ""Book the $285 one-stop flight with a 2-hour layover, arriving in the evening, because it saves $170 and the timing is flexible.""}, {""choice_id"": ""D"", ""text"": ""Book the $520 refundable nonstop flight in case the vacation dates change later.""}]",C,do_not_apply_out_of_scope,"[{""session_id"": ""tm2_planning_v02_user_0001_s0008"", ""session_index"": 8, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I want to get from San Francisco to Los Angeles tomorrow and come back three days later. It is just a casual visit with my cousin, so I don't need the fastes... | assistant: Sure. Are you set on SFO to LAX, or can you use Oakland, San Jose, Burbank, or Long Beach? Also, any time of day you want to avoid? | user: SFO to LAX is easiest for rides on both ends. I can leave any time after 9 in the morning tomorrow. Coming back, I just need to be home before bedtime. No ch... | assistant: Got it: SFO to LAX, tomorrow departure after 9 a.m., return three days later, carry-on only. Do you want me to focus on the lowest fare, shortest travel time... | user: Lowest fare within reason. For work I usually avoid connections because delays can ruin the day, but this is not that kind of trip. If a stop saves real mone...""}, {""session_id"": ""tm2_planning_v02_user_0001_s0012"", ""session_index"": 12, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""flights"", ""messages_preview"": ""user: Hi, can you help me look for flights to Paris for a vacation? | assistant: Of course. What city will you be leaving from, and do you have dates in mind? | user: Leaving from San Francisco. I’m thinking May 6 to May 16, but I can shift by a day or two if it saves money. | assistant: Got it. Is this a tight trip with anything scheduled right after you land, or is the arrival time flexible? | user: Totally flexible. No meetings this time, just a vacation. If I arrive in the afternoon instead of the morning, that’s fine.""}]",pass,accept,"accept: Boundary query clearly falls outside the tight-schedule reliability condition, evidence supports choosing a reasonable cheaper layover option, and gold C is unique among plausible travel tradeoffs."
review_tm2_planning_v02_user_0001_habit_tight_schedule_nonstop_priority_p02_exception,taskmaster_planning_v02_probe_29ec1155aff64789,tm2_planning_v02_user_0001_habit_tight_schedule_nonstop_priority_p02_exception,tm2_planning_v02_user_0001,dev,exception,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"For an upcoming same-day client trip, you note that the meeting time is flexible if delays occur, but this booking must stay under $300 out of pocket and should use your saved airline miles if possible. Which flight should be chosen?","[{""choice_id"": ""A"", ""text"": ""Book the $520 nonstop that arrives earliest and gives the largest schedule cushion.""}, {""choice_id"": ""B"", ""text"": ""Book the $240 two-stop itinerary that arrives much later, even though it cannot use your miles.""}, {""choice_id"": ""C"", ""text"": ""Book the $270 one-stop itinerary on another airline with a 35-minute connection, since it is the cheapest cash fare.""}, {""choice_id"": ""D"", ""text"": ""Book the $285 one-stop itinerary on the airline where you can apply miles, with a reasonable 75-minute connection.""}]",D,apply_current_trip_constraint,"[{""session_id"": ""tm2_planning_v02_user_0001_s0001"", ""session_index"": 1, ""signal_type"": ""exception"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: I'd like help finding a hotel in San Diego, and I may need flights too. | assistant: Sure. What dates are you traveling, where in San Diego do you need to be, and do you have any hotel or flight constraints? | user: Arrive Thursday, May 16, leave Sunday, May 19. I need to be near the convention center, but this is not like my usual work trips where I land and go straight... | assistant: Got it. For hotels near the convention center, are you aiming for walking distance, a specific star level, or a budget range? | user: Walking distance would be great, but keep it under about $260 a night if possible. I don't need luxury, just clean, safe, and not too far from the Gaslamp area.""}]",pass,revise,"revise: The exception query and gold are coherent, but the supplied evidence preview is hotel-focused and does not substantiate the flight/nonstop default."
review_tm2_planning_v02_user_0001_habit_tight_schedule_nonstop_priority_p03_explicit_retrieval,taskmaster_planning_v02_probe_08b241e7a2c20107,tm2_planning_v02_user_0001_habit_tight_schedule_nonstop_priority_p03_explicit_retrieval,tm2_planning_v02_user_0001,dev,explicit_retrieval,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"When a trip includes a same-day meeting or tight arrival window, which flight-planning preference best matches the user's past choices?","[{""choice_id"": ""A"", ""text"": ""Choose the cheapest fare available, even if it requires multiple connections and a tighter arrival.""}, {""choice_id"": ""B"", ""text"": ""Choose flights mainly to maximize airline miles or loyalty status, even when timing becomes less reliable.""}, {""choice_id"": ""C"", ""text"": ""Choose a longer layover on a connecting itinerary to save a modest amount, unless the trip is a vacation.""}, {""choice_id"": ""D"", ""text"": ""Choose a nonstop or lowest-transfer itinerary, even if it costs somewhat more, to reduce delay risk.""}]",D,retrieve_supported_preference,"[{""session_id"": ""tm2_planning_v02_user_0001_s0000"", ""session_index"": 0, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need help booking flights to Rome for a work trip next month. I'm leaving from Boston and I have to be in Rome for a client session the morning after I arr... | assistant: Sure. What dates are you looking at, and do you have a preferred arrival time or airline? | user: Leave Boston on Monday, April 14, and return Friday, April 18. The client session starts Tuesday at 10:30 AM near Termini, so I really don't want anything th... | assistant: Understood. For Boston to Rome, I see a nonstop overnight flight arriving Tuesday at 7:15 AM for about $1,180 in economy. There are also one-stop options thr... | user: The cheaper ones are tempting, but landing at 9:30 with a connection before a 10:30 meeting is too tight. What is the nonstop schedule?""}, {""session_id"": ""tm2_planning_v02_user_0001_s0010"", ""session_index"": 10, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need to get to Paris next month for a client presentation. Can you help me compare flights? | assistant: Absolutely. What city are you departing from, what dates, and do you have a latest acceptable arrival time in Paris? | user: New York, either JFK or Newark. I need to be in Paris on Tuesday, June 18. The presentation is at 11:00 a.m. in La Défense, so I need enough cushion after la... | assistant: Got it. One traveler. Do you want economy, premium economy, or business? And are you checking a bag? | user: Just me, one checked bag. Economy is fine, premium economy if the price difference is reasonable. I care more about arriving reliably than having extra space.""}, {""session_id"": ""tm2_planning_v02_user_0001_s0014"", ""session_index"": 14, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need a round trip from Los Angeles to Chicago, leaving this morning and coming back four days from now. I have to be downtown for a client check-in right a... | assistant: Got it. Are you starting from LAX, and do you prefer O'Hare or Midway? Also, what cabin and how many bags? | user: LAX is fine, O'Hare is better because the office is near River North. Economy is fine, carry-on only. I care more about getting there reliably than shaving a... | assistant: I see a few same-day options. The earliest practical nonstop is a United flight from LAX to ORD leaving around 6:05 AM and arriving about 12:10 PM. There's a... | user: Let's not do Denver. That connection makes me nervous, and I don't have much slack if there is a delay. Please focus on nonstop or the fewest stops possible.""}]",pass,accept,"accept: The explicit retrieval query is supported by multiple history examples, matches the scoped tight-schedule condition, and has a unique plausible gold choice of preferring nonstop or lowest-transfer flights."
review_tm2_planning_v02_user_0002_habit_uncertain_trip_refundable_fare_p00_direct_use,taskmaster_planning_v02_probe_6259b7cb92ac2f85,tm2_planning_v02_user_0002_habit_uncertain_trip_refundable_fare_p00_direct_use,tm2_planning_v02_user_0002,test,direct_use,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"I’m booking flights for an upcoming work trip to Denver for a client planning session. The client has not finalized the agenda yet, and my manager said approval should come through soon but the exact travel days may still shift by a day or two. I found these options. Which should I choose?","[{""choice_id"": ""A"", ""text"": ""Book the cheapest nonrefundable fare and add a hotel with free cancellation to reduce only the lodging risk.""}, {""choice_id"": ""B"", ""text"": ""Book the cheapest nonrefundable basic fare now, since it saves about $140 and the trip is likely to happen.""}, {""choice_id"": ""C"", ""text"": ""Book the refundable or flexible fare, even though it costs more, so the reservation can be changed or canceled if the plans move.""}, {""choice_id"": ""D"", ""text"": ""Wait until the agenda and approval are fully finalized before booking anything, even if the fares rise.""}]",C,apply_scoped_habit,"[{""session_id"": ""tm2_planning_v02_user_0002_s0002"", ""session_index"": 2, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need help looking at round-trip flights from Los Angeles to Salt Lake City for a work meeting next month. | assistant: Absolutely. Which Los Angeles-area airport do you prefer, and what dates are you considering? | user: LAX is easiest. The meeting is supposed to be Tuesday the 14th, but the client has already moved it once. I’d probably fly in Monday the 13th and come back W... | assistant: Got it: LAX to Salt Lake City, leaving Monday the 13th and returning Wednesday the 15th, with some chance the timing changes. Do you have preferred travel ti... | user: For the outbound, late morning or early afternoon would be ideal. I don’t want a 6 a.m. flight if I can avoid it. Return can be after lunch on Wednesday.""}, {""session_id"": ""tm2_planning_v02_user_0002_s0007"", ""session_index"": 7, ""signal_type"": ""support"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: Hi, can you help me sort out a hotel for a possible work trip to Chicago? | assistant: Sure. What dates are you looking at, and do you have a preferred neighborhood or budget range? | user: The meeting is supposed to be April 15 through 17, but it is not fully approved yet. I would arrive on the 14th and leave the 17th if it happens. The office... | assistant: Got it: three nights, April 14 to 17, near the Loop or River North. Since the trip is still awaiting approval, should I focus on rooms with free cancellation... | user: Please focus on free cancellation. You can show me a prepaid option if it is useful for comparison, but I do not want to book something rigid for a work trip...""}, {""session_id"": ""tm2_planning_v02_user_0002_s0010"", ""session_index"": 10, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need help finding a flight from Seattle to Chicago for a work visit. It would be outbound today if possible, and I would come back three mornings from now. | assistant: Sure. Are you leaving from SEA, and do you prefer O'Hare or Midway? Also, how early can you realistically get to the airport today? | user: SEA is right. O'Hare is better for the office. I can get to the airport by about 10:30 this morning, but the meeting schedule is still being sorted out. | assistant: I can look at options after 12:00 PM today into ORD and returning in the morning three days from now. Is this one traveler, economy? | user: Yes, one traveler, economy. Please pay attention to fare rules too. The client has not confirmed whether the Thursday workshop will stay on the calendar.""}]",pass,accept,accept: The current request is clearly an in-scope tentative work trip and choice C uniquely applies the supported flexible/refundable fare default without leakage.
review_tm2_planning_v02_user_0002_habit_uncertain_trip_refundable_fare_p01_boundary,taskmaster_planning_v02_probe_9e59fed95619d968,tm2_planning_v02_user_0002_habit_uncertain_trip_refundable_fare_p01_boundary,tm2_planning_v02_user_0002,test,boundary,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"A user is booking a personal trip to Madison for a family reunion. The reunion dates are fixed, their time off is already approved, and they say their top priority is keeping the airfare as low as possible. Which fare should you recommend?","[{""choice_id"": ""A"", ""text"": ""Book the lowest-priced nonrefundable economy fare that matches the fixed dates.""}, {""choice_id"": ""B"", ""text"": ""Choose a more expensive flexible fare with no change fees, even though the dates are confirmed.""}, {""choice_id"": ""C"", ""text"": ""Pay extra for a fully refundable fare in case the reunion schedule changes.""}, {""choice_id"": ""D"", ""text"": ""Select a mid-priced fare with a travel credit option, despite the user prioritizing the lowest upfront cost.""}]",A,do_not_apply_out_of_scope,"[{""session_id"": ""tm2_planning_v02_user_0002_s0001"", ""session_index"": 1, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: Hi, can you help me find a hotel in Madison, Wisconsin? | assistant: Sure. What dates, how many guests, and do you want to be near downtown, the university, or somewhere with easier parking? | user: It's a personal trip for my niece's graduation weekend. The dates are confirmed: check in Friday May 16 and check out Monday May 19. Two adults, one room, ki... | assistant: Got it. For graduation weekend, rooms near campus can fill quickly. Will you have a car, and is walking distance to campus important? | user: We'll drive from Chicago, so parking matters. We'd like to be close enough to walk to State Street or campus if the weather is decent. Budget target is under...""}, {""session_id"": ""tm2_planning_v02_user_0002_s0021"", ""session_index"": 21, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: Hi, I need help picking a hotel in Palm Springs, California. | assistant: Sure, I can help with that. What dates are you staying, and how many guests will there be? | user: Two adults, May 16 to May 19. It’s for our anniversary. Flights into PSP are already booked and we have tickets for a show Saturday night, so the dates are set. | assistant: Got it: three nights, two adults, fixed anniversary weekend. What matters most for the hotel: price, pool, walkability, parking, resort feel, or something qu... | user: A pool is important, and I’d like to be close enough to downtown that we can Uber cheaply or walk to dinner. I don’t want a huge party hotel. King bed if pos...""}]",pass,revise,"revise: The boundary gold is correct, but the query and distractor wording make the lowest-fare answer too obvious rather than testing scoped non-application of the flexible-fare default."
