review_id,public_probe_id,probe_id,user_id,split,probe_type,habit_family,stress_variant,query,choices_json,proposed_gold_choice_id,proposed_gold_action,evidence_preview_json,auto_validation_status,reviewer_decision,reviewer_notes
review_tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p00_direct_use,taskmaster_planning_v02_probe_8fdb8626a7948b3c,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p00_direct_use,tm2_planning_v02_user_0000,dev,direct_use,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"I’m flying to Chicago for a client onsite kickoff. The first session is Monday at 2:00 p.m. downtown, and the airport-to-office transfer is usually 35–50 minutes. Which itinerary is the best recommendation?","[{""choice_id"": ""A"", ""text"": ""Book the 8:15 a.m. one-stop arriving at 11:20 a.m. with a 38-minute connection, then stay at a midrange hotel near the airport.""}, {""choice_id"": ""B"", ""text"": ""Book the 7:30 a.m. nonstop arriving at 9:10 a.m., then stay at the hotel a 10-minute walk from the client office; it costs $160 more than the cheapest option.""}, {""choice_id"": ""C"", ""text"": ""Book the 10:45 a.m. nonstop arriving at 12:25 p.m., then stay at a less expensive hotel 30 minutes from the office; it saves about $160.""}, {""choice_id"": ""D"", ""text"": ""Book the 6:05 a.m. flight with a long connection arriving at 10:55 a.m., then stay at the cheapest suburban hotel; it saves $90 but adds a longer commute.""}]",B,apply_scoped_habit,"[{""session_id"": ""tm2_planning_v02_user_0000_s0004"", ""session_index"": 4, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need help sorting out flights from Sacramento to Houston for a client visit. I have to go today and return five days from now. For both directions I’d like... | assistant: Sure. Which Houston airport works best for you, IAH or Hobby? And do you have any fixed commitments after you land today? | user: IAH is better because the client’s office is north of downtown. I have an onsite prep with their operations lead at 3:30 this afternoon, then a larger kickof... | assistant: Got it. Since there’s a same-day client commitment, I’ll look for options that arrive with enough time before 3:30, not just the lowest fare. Do you have a b... | user: No hard airline preference. I can justify a higher fare if it keeps the landing time from being too close. I’d rather not be in a cab from the airport while...""}, {""session_id"": ""tm2_planning_v02_user_0000_s0005"", ""session_index"": 5, ""signal_type"": ""support"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: Can you help me set up a hotel in San Francisco for a client visit next month? | assistant: Sure. What dates, neighborhood, and any budget or amenities you care about? | user: I’ll be there May 13 to May 15. The client is near Embarcadero Center, and I have to be onsite by 9:00 AM on the 14th for a kickoff. | assistant: Got it. Do you need parking, breakfast, a gym, or a specific star level? | user: No parking. Breakfast is nice but not required. I mostly want something reliable, quiet, and close enough that I’m not worrying about traffic or a long ride...""}, {""session_id"": ""tm2_planning_v02_user_0000_s0020"", ""session_index"": 20, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need help comparing round-trip flights to Athens for a client onsite. I’ll be leaving from New York, preferably JFK, and I need to be at the client’s offic... | assistant: Absolutely. What are the travel dates, and what time is the Wednesday commitment? | user: The first client session starts at 10:00 a.m. Wednesday, May 14. There’s also a meet-and-greet dinner Tuesday at 7:00 p.m., which I should really attend. I c... | assistant: Got it. Do you want economy, premium economy, or business class? Also, are Newark or LaGuardia acceptable if the schedule is better? | user: Premium economy is fine if the price isn’t ridiculous. JFK is easiest, but Newark is okay for a nonstop. I care more about the arrival timing than saving a c...""}]",pass,,
review_tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p01_boundary,taskmaster_planning_v02_probe_d8585b8d8e2532ab,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p01_boundary,tm2_planning_v02_user_0000,dev,boundary,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"You are helping plan a relaxed personal vacation to Lisbon. The traveler has no work meetings, tours, dinner reservations, or other commitments on arrival day, and the hotel allows late check-in. The first planned activity is brunch the next morning. Which flight plan is the best fit?","[{""choice_id"": ""A"", ""text"": ""Book the cheaper nonstop evening flight that lands at 8:30 PM, since arrival day is flexible and there are no same-day commitments.""}, {""choice_id"": ""B"", ""text"": ""Book the morning flight that lands at 11:00 AM for $185 more, mainly to preserve a large arrival cushion that is not needed for any scheduled plan.""}, {""choice_id"": ""C"", ""text"": ""Book the cheapest two-connection itinerary landing at 12:40 AM, even though it saves only $25 and adds a higher risk of delays.""}, {""choice_id"": ""D"", ""text"": ""Fly in one full day earlier and add an extra hotel night to create a prep buffer before the vacation activities begin.""}]",A,do_not_apply_out_of_scope,"[{""session_id"": ""tm2_planning_v02_user_0000_s0006"", ""session_index"": 6, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""flights"", ""messages_preview"": ""user: Can you help me find a round trip from San Francisco to Miami? I want to leave tonight if possible and come back four days from now. | assistant: Sure. Is this for work or personal travel, and do you have any fixed plans right after landing that I should plan around? | user: Personal trip. My cousin is already there and I’m just joining for a few beach days. No dinner reservation or anything tonight, so arriving late is fine. | assistant: Got it. Do you prefer nonstop flights, lower fare, or certain departure times? | user: Evening departures both ways would be ideal. I’d rather not pay a lot extra for nonstop unless the timing is much better.""}, {""session_id"": ""tm2_planning_v02_user_0000_s0024"", ""session_index"": 24, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I'm planning a relaxed trip from Los Angeles to Amsterdam, round trip. It's just me, probably in late May, and I'm trying not to spend a fortune. | assistant: Sure, I can help narrow it down. Do you have exact dates yet, and are you looking for economy only? Also, do you prefer nonstop flights, or are one-stop opti... | user: Economy is fine. I was thinking leaving LAX on May 21 and coming back May 29. One stop is okay. This is vacation, no work meetings or anything. | assistant: Got it: LAX to Amsterdam, May 21 to May 29, economy, leisure trip, one stop acceptable. Any limits on layover length or arrival time? Some cheaper fares arri... | user: I'm not picky. I booked the first night already but the hotel has late check-in, and I don't have plans that day besides maybe walking around if I'm awake.""}]",pass,,
review_tm2_planning_v02_user_0001_habit_tight_schedule_nonstop_priority_p02_exception,taskmaster_planning_v02_probe_29ec1155aff64789,tm2_planning_v02_user_0001_habit_tight_schedule_nonstop_priority_p02_exception,tm2_planning_v02_user_0001,dev,exception,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"For an upcoming same-day client trip, you note that the meeting time is flexible if delays occur, but this booking must stay under $300 out of pocket and should use your saved airline miles if possible. Which flight should be chosen?","[{""choice_id"": ""A"", ""text"": ""Book the $520 nonstop that arrives earliest and gives the largest schedule cushion.""}, {""choice_id"": ""B"", ""text"": ""Book the $240 two-stop itinerary that arrives much later, even though it cannot use your miles.""}, {""choice_id"": ""C"", ""text"": ""Book the $270 one-stop itinerary on another airline with a 35-minute connection, since it is the cheapest cash fare.""}, {""choice_id"": ""D"", ""text"": ""Book the $285 one-stop itinerary on the airline where you can apply miles, with a reasonable 75-minute connection.""}]",D,apply_current_trip_constraint,"[{""session_id"": ""tm2_planning_v02_user_0001_s0001"", ""session_index"": 1, ""signal_type"": ""exception"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: I'd like help finding a hotel in San Diego, and I may need flights too. | assistant: Sure. What dates are you traveling, where in San Diego do you need to be, and do you have any hotel or flight constraints? | user: Arrive Thursday, May 16, leave Sunday, May 19. I need to be near the convention center, but this is not like my usual work trips where I land and go straight... | assistant: Got it. For hotels near the convention center, are you aiming for walking distance, a specific star level, or a budget range? | user: Walking distance would be great, but keep it under about $260 a night if possible. I don't need luxury, just clean, safe, and not too far from the Gaslamp area.""}]",pass,,
review_tm2_planning_v02_user_0001_habit_tight_schedule_nonstop_priority_p03_explicit_retrieval,taskmaster_planning_v02_probe_08b241e7a2c20107,tm2_planning_v02_user_0001_habit_tight_schedule_nonstop_priority_p03_explicit_retrieval,tm2_planning_v02_user_0001,dev,explicit_retrieval,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"When a trip includes a same-day meeting or tight arrival window, which flight-planning preference best matches the user's past choices?","[{""choice_id"": ""A"", ""text"": ""Choose the cheapest fare available, even if it requires multiple connections and a tighter arrival.""}, {""choice_id"": ""B"", ""text"": ""Choose flights mainly to maximize airline miles or loyalty status, even when timing becomes less reliable.""}, {""choice_id"": ""C"", ""text"": ""Choose a longer layover on a connecting itinerary to save a modest amount, unless the trip is a vacation.""}, {""choice_id"": ""D"", ""text"": ""Choose a nonstop or lowest-transfer itinerary, even if it costs somewhat more, to reduce delay risk.""}]",D,retrieve_supported_preference,"[{""session_id"": ""tm2_planning_v02_user_0001_s0000"", ""session_index"": 0, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need help booking flights to Rome for a work trip next month. I'm leaving from Boston and I have to be in Rome for a client session the morning after I arr... | assistant: Sure. What dates are you looking at, and do you have a preferred arrival time or airline? | user: Leave Boston on Monday, April 14, and return Friday, April 18. The client session starts Tuesday at 10:30 AM near Termini, so I really don't want anything th... | assistant: Understood. For Boston to Rome, I see a nonstop overnight flight arriving Tuesday at 7:15 AM for about $1,180 in economy. There are also one-stop options thr... | user: The cheaper ones are tempting, but landing at 9:30 with a connection before a 10:30 meeting is too tight. What is the nonstop schedule?""}, {""session_id"": ""tm2_planning_v02_user_0001_s0010"", ""session_index"": 10, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need to get to Paris next month for a client presentation. Can you help me compare flights? | assistant: Absolutely. What city are you departing from, what dates, and do you have a latest acceptable arrival time in Paris? | user: New York, either JFK or Newark. I need to be in Paris on Tuesday, June 18. The presentation is at 11:00 a.m. in La Défense, so I need enough cushion after la... | assistant: Got it. One traveler. Do you want economy, premium economy, or business? And are you checking a bag? | user: Just me, one checked bag. Economy is fine, premium economy if the price difference is reasonable. I care more about arriving reliably than having extra space.""}, {""session_id"": ""tm2_planning_v02_user_0001_s0014"", ""session_index"": 14, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need a round trip from Los Angeles to Chicago, leaving this morning and coming back four days from now. I have to be downtown for a client check-in right a... | assistant: Got it. Are you starting from LAX, and do you prefer O'Hare or Midway? Also, what cabin and how many bags? | user: LAX is fine, O'Hare is better because the office is near River North. Economy is fine, carry-on only. I care more about getting there reliably than shaving a... | assistant: I see a few same-day options. The earliest practical nonstop is a United flight from LAX to ORD leaving around 6:05 AM and arriving about 12:10 PM. There's a... | user: Let's not do Denver. That connection makes me nervous, and I don't have much slack if there is a delay. Please focus on nonstop or the fewest stops possible.""}]",pass,,
review_tm2_planning_v02_user_0002_habit_uncertain_trip_refundable_fare_p01_boundary,taskmaster_planning_v02_probe_9e59fed95619d968,tm2_planning_v02_user_0002_habit_uncertain_trip_refundable_fare_p01_boundary,tm2_planning_v02_user_0002,test,boundary,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"A user is booking a personal trip to Madison for a family reunion. The reunion dates are fixed, their time off is already approved, and they say their top priority is keeping the airfare as low as possible. Which fare should you recommend?","[{""choice_id"": ""A"", ""text"": ""Book the lowest-priced nonrefundable economy fare that matches the fixed dates.""}, {""choice_id"": ""B"", ""text"": ""Choose a more expensive flexible fare with no change fees, even though the dates are confirmed.""}, {""choice_id"": ""C"", ""text"": ""Pay extra for a fully refundable fare in case the reunion schedule changes.""}, {""choice_id"": ""D"", ""text"": ""Select a mid-priced fare with a travel credit option, despite the user prioritizing the lowest upfront cost.""}]",A,do_not_apply_out_of_scope,"[{""session_id"": ""tm2_planning_v02_user_0002_s0001"", ""session_index"": 1, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: Hi, can you help me find a hotel in Madison, Wisconsin? | assistant: Sure. What dates, how many guests, and do you want to be near downtown, the university, or somewhere with easier parking? | user: It's a personal trip for my niece's graduation weekend. The dates are confirmed: check in Friday May 16 and check out Monday May 19. Two adults, one room, ki... | assistant: Got it. For graduation weekend, rooms near campus can fill quickly. Will you have a car, and is walking distance to campus important? | user: We'll drive from Chicago, so parking matters. We'd like to be close enough to walk to State Street or campus if the weather is decent. Budget target is under...""}, {""session_id"": ""tm2_planning_v02_user_0002_s0021"", ""session_index"": 21, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: Hi, I need help picking a hotel in Palm Springs, California. | assistant: Sure, I can help with that. What dates are you staying, and how many guests will there be? | user: Two adults, May 16 to May 19. It’s for our anniversary. Flights into PSP are already booked and we have tickets for a show Saturday night, so the dates are set. | assistant: Got it: three nights, two adults, fixed anniversary weekend. What matters most for the hotel: price, pool, walkability, parking, resort feel, or something qu... | user: A pool is important, and I’d like to be close enough to downtown that we can Uber cheaply or walk to dinner. I don’t want a huge party hotel. King bed if pos...""}]",pass,,
review_tm2_planning_v02_user_0004_habit_quiet_hotel_for_work_p00_direct_use,taskmaster_planning_v02_probe_e9111e4887239b12,tm2_planning_v02_user_0004_habit_quiet_hotel_for_work_p00_direct_use,tm2_planning_v02_user_0004,test,direct_use,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,I'm booking a hotel for a three-night trip to Seattle for a client workshop. I arrive the evening before and may need to prepare materials between sessions. Which option should I choose?,"[{""choice_id"": ""A"", ""text"": ""A lower-priced airport hotel with free shuttle service, but a long commute to the workshop and limited workspace in the rooms.""}, {""choice_id"": ""B"", ""text"": ""A stylish hotel in the main nightlife district with a rooftop bar, late-night restaurant, and energetic lobby scene.""}, {""choice_id"": ""C"", ""text"": ""A resort-style property with a pool, spa, and several restaurants, but mixed comments about room noise and internet consistency.""}, {""choice_id"": ""D"", ""text"": ""A well-reviewed hotel near the workshop site with dependable Wi-Fi, a proper in-room desk, and rooms away from busy bar streets.""}]",D,apply_scoped_habit,"[{""session_id"": ""tm2_planning_v02_user_0004_s0016"", ""session_index"": 16, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need help lining up a Delta trip to Seattle for next month. It is for a client workshop, so I also need a hotel that will let me get real work done. | assistant: Sure. What city are you flying from, what dates, and do you have any timing constraints for the flights? | user: Leaving from Atlanta on Monday, May 13, returning Thursday, May 16. I need to be in Seattle by midafternoon Monday because I have prep calls that evening. | assistant: I can look for Delta options arriving before midafternoon. Do you prefer nonstop if available, or are you open to one connection for a lower fare? | user: Nonstop if it is not wildly more expensive. For this trip the schedule matters more than shaving off a little money.""}, {""session_id"": ""tm2_planning_v02_user_0004_s0017"", ""session_index"": 17, ""signal_type"": ""support"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: Hi, I need help picking a hotel in Seattle for a work trip next month. | assistant: Sure. What dates, budget, and part of Seattle are you considering? | user: June 11 to 13, just me. I have vendor meetings near the Convention Center and I’ll need to finish a slide deck at night. I’d rather not end up somewhere loud. | assistant: Got it. Do you want to be walking distance to the Convention Center, or is a short rideshare okay? | user: Walking distance would be nice, but not if it means staying above bars or a clubby lobby. I need decent Wi-Fi, a real desk, and quiet enough for a couple of...""}, {""session_id"": ""tm2_planning_v02_user_0004_s0018"", ""session_index"": 18, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need to arrange a round trip flight from Austin to Seattle for a client workshop next month, and probably a hotel too. | assistant: Sure. What dates are you traveling, and do you have any time or airline preferences? | user: Leave Monday, May 13, and come back Thursday evening, May 16. I need to be in Bellevue by 2 pm Monday, so a morning arrival would be best. | assistant: I found a few reasonable round-trip options. The strongest fit is a 7:10 am departure from Austin with one stop in Denver, landing in Seattle at 11:35 am. Re... | user: Let’s keep the buffer. I’ll have materials to review when I land, so I don’t want to be rushing straight into the room.""}]",pass,,
review_tm2_planning_v02_user_0004_habit_quiet_hotel_for_work_p02_exception,taskmaster_planning_v02_probe_d2045c64c5c44535,tm2_planning_v02_user_0004_habit_quiet_hotel_for_work_p02_exception,tm2_planning_v02_user_0004,test,exception,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"For an upcoming Houston client trip, the traveler says the group specifically wants a lively hotel with an energetic bar or lobby scene for evening socializing after meetings, even if it is not the quietest place to work. Which option should you recommend?","[{""choice_id"": ""A"", ""text"": ""A downtown hotel known for a buzzing lobby bar, rooftop scene, and easy access to group nightlife, accepting some extra noise""}, {""choice_id"": ""B"", ""text"": ""A suite-style extended-stay property with a kitchenette, desk space, and laundry for solo productivity""}, {""choice_id"": ""C"", ""text"": ""An airport hotel with shuttle service, free breakfast, and quick transfers, but little evening atmosphere""}, {""choice_id"": ""D"", ""text"": ""A quiet business hotel in a corporate district with strong Wi-Fi, soundproof rooms, and minimal on-site nightlife""}]",A,apply_current_trip_constraint,"[{""session_id"": ""tm2_planning_v02_user_0004_s0024"", ""session_index"": 24, ""signal_type"": ""exception"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I'm lining up travel for the next few months. First is Denver for a client workshop, Tuesday through Friday, leaving from SFO. | assistant: Sure. Do you want me to focus on flight timing first, or combine flights with a hotel shortlist? | user: Combine them. It's a heavy prep week, with evening calls and a deck to finish. Please steer me toward a calm hotel with a real desk, not a place built around... | assistant: For Denver, I'd use a nonstop morning flight into DEN and stay near the convention center or Union Station on a quieter floor. Hyatt Regency or Le Meridien w... | user: That sounds right. I can expense up to $260 a night if breakfast is easy and the Wi-Fi is reliable.""}]",pass,,
review_tm2_planning_v02_user_0007_habit_short_trip_no_checked_bag_p01_boundary,taskmaster_planning_v02_probe_f52b5678234166c7,tm2_planning_v02_user_0007_habit_short_trip_no_checked_bag_p01_boundary,tm2_planning_v02_user_0007,test,boundary,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,You’re helping plan an eight-day Chicago trade show trip. The traveler needs several days of business clothes plus a collapsible booth banner and product samples. Which plan is most appropriate?,"[{""choice_id"": ""A"", ""text"": ""Book the cheapest basic-economy fare and limit packing to a small roller so the traveler can avoid the baggage counter entirely.""}, {""choice_id"": ""B"", ""text"": ""Recommend shipping all work materials separately and booking a personal-item-only fare, even if delivery timing is uncertain.""}, {""choice_id"": ""C"", ""text"": ""Pick a short layover on a budget carrier and try to fit the banner and samples into overhead-bin space to save time on arrival.""}, {""choice_id"": ""D"", ""text"": ""Choose a nonstop or low-connection flight on an airline fare that includes a checked bag, prepay any oversized-item fee if needed, and arrange ground transport with room for the booth materials.""}]",D,do_not_apply_out_of_scope,"[{""session_id"": ""tm2_planning_v02_user_0007_s0006"", ""session_index"": 6, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""flights"", ""messages_preview"": ""user: Hi, I need help sorting out a round trip from Seattle to Houston. I have to leave this evening if possible and come back on August 15. It’s a work trip with... | assistant: Sure. Are you leaving from SEA, and do you prefer Houston Intercontinental or Hobby? Also, how late tonight can you depart, and do you need nonstop? | user: SEA is right. IAH is better because the meetings are north of downtown, but Hobby is okay if it saves a lot. I can leave after 5 p.m. A nonstop would be nice... | assistant: Got it: Seattle to Houston tonight after 5 p.m., returning August 15, IAH preferred, nonstop preferred. Any airline preference, budget range, or baggage need... | user: Budget is around $600 if that’s realistic. I’ll likely check one bag because I need dress clothes and printed materials for several client visits.""}, {""session_id"": ""tm2_planning_v02_user_0007_s0023"", ""session_index"": 23, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: I need help putting together a New York trip. I’ll be there March 13 through March 20 for a trade show, and I’d like a hotel really close to Times Square if... | assistant: Sure. For seven nights near Times Square at that budget, I’ll look for practical options rather than luxury. Do you need any particular amenities, like break... | user: Extra space matters more than style. I’m bringing two sample cases and a collapsible display stand, so I don’t want a tiny pod-style room. | assistant: Got it. Since you’ll have larger luggage and trade show gear, I’ll avoid the very compact hotels even if they’re cheaper. Are you arriving by train or flying... | user: Flying from Chicago. I haven’t booked that part either. I’ll need to check at least one oversized case, maybe two.""}]",pass,,
review_tm2_planning_v02_user_0009_habit_red_eye_avoidance_p02_exception,taskmaster_planning_v02_probe_2039fac96ec1a3cd,tm2_planning_v02_user_0009_habit_red_eye_avoidance_p02_exception,tm2_planning_v02_user_0009,stress,exception,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"A traveler is booking Honolulu (HNL) to Los Angeles (LAX). They say: “For this trip, I need to keep all of Sunday daytime free and attend an evening event ending around 9:30 p.m. Please look for a red-eye that leaves after 10 p.m. and gets me back Monday morning.” Which itinerary best matches the request?","[{""choice_id"": ""A"", ""text"": ""Take a Sunday 2:15 p.m. nonstop arriving Sunday night; it is the lowest fare and avoids overnight travel, but it uses most of Sunday afternoon.""}, {""choice_id"": ""B"", ""text"": ""Take a Sunday 8:45 p.m. one-stop itinerary arriving Monday 10:50 a.m.; it is cheaper than the late nonstop, but it leaves before the event ends and arrives later.""}, {""choice_id"": ""C"", ""text"": ""Take a Monday 9:00 a.m. nonstop arriving Monday evening; it is comfortable and reasonably priced, but it does not get back Monday morning.""}, {""choice_id"": ""D"", ""text"": ""Take a Sunday 11:20 p.m. nonstop red-eye arriving Monday 7:35 a.m.; it costs $95 more but preserves Sunday and returns Monday morning.""}]",D,apply_current_trip_constraint,"[{""session_id"": ""tm2_planning_v02_user_0009_s0020"", ""session_index"": 20, ""signal_type"": ""exception"", ""source_domain"": ""flights"", ""messages_preview"": ""user: Can you help me sort out Seattle to New York for a Monday in May? I saw an 11:50 p.m. flight, but overnight flights leave me wrecked unless they save a lot. | assistant: Sure. What day are you returning, and are you trying to stay nonstop? | user: Return Friday. Nonstop if possible. If the overnight is only like $40 cheaper, skip it. | assistant: I see a 7:20 a.m. for $396, a 3:35 p.m. for $382, and the 11:50 p.m. red-eye for $337. All are nonstop. | user: Take the 3:35 p.m. Paying a little more is worth not arriving like a zombie.""}]",pass,,
review_tm2_planning_v02_user_0013_habit_tight_schedule_nonstop_priority_p00_direct_use,taskmaster_planning_v02_probe_422ca21daf99334d,tm2_planning_v02_user_0013_habit_tight_schedule_nonstop_priority_p00_direct_use,tm2_planning_v02_user_0013,test,direct_use,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"I’m booking an outbound flight from Denver to Seattle for next Tuesday. I land the same day as a 1:30 p.m. client kickoff downtown, and I’ll have a carry-on only. Which option should I recommend?","[{""choice_id"": ""A"", ""text"": ""Take the $420 nonstop that arrives at SEA at 10:10 a.m., leaving a good buffer before the meeting.""}, {""choice_id"": ""B"", ""text"": ""Take the $260 flight into Paine Field that arrives at 9:55 a.m., then plan on a longer ground transfer to downtown Seattle.""}, {""choice_id"": ""C"", ""text"": ""Take the $290 one-stop itinerary that arrives at SEA at 12:20 p.m. with a longer layover.""}, {""choice_id"": ""D"", ""text"": ""Take the $315 one-stop itinerary that arrives at SEA at 11:05 a.m. but has a 45-minute connection.""}]",A,apply_scoped_habit,"[{""session_id"": ""tm2_planning_v02_user_0013_s0001"", ""session_index"": 1, ""signal_type"": ""support"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: I need help setting up a quick work trip to West Palm Beach next month. It is mostly about the hotel, but I also need the flight to make sense. | assistant: Sure. What dates are you traveling, where will your meetings be, and what kind of hotel budget should I keep in mind? | user: I fly in Tuesday, May 14, and come back Wednesday night. The meeting is at a client office near downtown West Palm Beach, close to Clematis Street. I need to... | assistant: Understood. For the hotel, would you rather stay downtown within a short ride of the client office, or closer to Palm Beach International Airport for easier... | user: Downtown is better. I can take a rideshare to the airport after the Wednesday meeting. For Tuesday, though, the flight timing is the thing I am worried about.""}, {""session_id"": ""tm2_planning_v02_user_0013_s0005"", ""session_index"": 5, ""signal_type"": ""support"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: I need to put together a quick work trip to Santa Fe, New Mexico. Mainly I need a hotel, but the flight timing may matter too. | assistant: Sure. What dates are you traveling, and do you want to stay near a particular part of Santa Fe? | user: I need to be there Wednesday, June 12, and check out Friday the 14th. My client meeting starts at 1:00 pm on Wednesday near the Plaza, so I can't have a mess... | assistant: Got it. For hotels near the Plaza, I can look at walkable options with business-friendly amenities. Are you flying in from Denver as usual, or from somewhere... | user: From Denver. Please look at the flight too. I know there are cheaper ways through Dallas or by flying into Albuquerque, but I really need to land with time t...""}, {""session_id"": ""tm2_planning_v02_user_0013_s0008"", ""session_index"": 8, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need help booking a flight, please. | assistant: Sure. What cities are you traveling between, and what dates do you have in mind? | user: I’m flying from Boston to Atlanta next Tuesday, returning Wednesday evening. I have a client meeting in Midtown at 1:30 Tuesday, so I need to land with room... | assistant: Got it. Do you prefer morning departure, and are there any airlines or airports you want to avoid? | user: Morning is fine, Logan to ATL. I’m not picky on airline, but I don’t want a risky connection. This is one of those trips where a delay would ruin the day.""}]",pass,,
