review_id,public_probe_id,probe_id,user_id,split,probe_type,habit_family,stress_variant,query,choices_json,proposed_gold_choice_id,proposed_gold_action,evidence_preview_json,auto_validation_status,reviewer_decision,reviewer_notes
review_tm2_planning_v02_user_0003_habit_work_hotel_near_venue_p00_direct_use,taskmaster_planning_v02_probe_b1b7983e73f43bc5,tm2_planning_v02_user_0003_habit_work_hotel_near_venue_p00_direct_use,tm2_planning_v02_user_0003,test,direct_use,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"I'm booking a hotel for a three-day work conference at the Austin Convention Center. All of these fit the travel policy, and I haven't picked a preferred neighborhood or strict budget target. Which option should I choose?","[{""choice_id"": ""A"", ""text"": ""A Lady Bird Lake hotel, $260/night; larger rooms and a pool; about a 25-minute walk or short rideshare to the convention center.""}, {""choice_id"": ""B"", ""text"": ""An East Austin boutique hotel, $225/night; better restaurant options nearby; about a 20-minute rideshare to the convention center.""}, {""choice_id"": ""C"", ""text"": ""A downtown hotel, $285/night; standard rooms and basic amenities; about a 5-minute walk to the convention center.""}, {""choice_id"": ""D"", ""text"": ""An airport-area hotel, $175/night; included breakfast and an airport shuttle; about a 35–45-minute ride to the convention center.""}]",C,apply_scoped_habit,"[{""session_id"": ""tm2_planning_v02_user_0003_s0006"", ""session_index"": 6, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need to set up a round trip from Seattle to Chicago for a work conference next month, and probably a hotel too. | assistant: Sure. What dates are you traveling, and which Chicago airport do you prefer if you have one? | user: I need to arrive Monday, May 12, and come back Thursday evening, May 15. I’m leaving from SEA. Either ORD or Midway is okay, but the conference is at McCormi... | assistant: Got it. Do you want nonstop flights, or are you open to a connection if it lowers the fare? | user: Nonstop if the timing is reasonable. I don’t want to lose half a day on connections for a three-day work trip.""}, {""session_id"": ""tm2_planning_v02_user_0003_s0011"", ""session_index"": 11, ""signal_type"": ""support"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: Hi, I need help picking a hotel in St. Louis for a two-day client workshop. | assistant: Sure. What dates are you traveling, and where will the workshop be held? | user: Checking in Monday, April 14 and out Wednesday, April 16. The sessions are at the Cortex Innovation Community, near Duncan Avenue. | assistant: Got it. Are you looking for a certain nightly price range, hotel class, or amenities like parking, breakfast, or a gym? | user: Company travel policy says under about $260 before taxes is fine. I need Wi-Fi, a desk, and ideally breakfast. Parking is nice but I may use rideshare.""}, {""session_id"": ""tm2_planning_v02_user_0003_s0020"", ""session_index"": 20, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: Hi, I need to set up a work trip from Los Angeles to London. It is for client workshops near Canary Wharf, so I need a round trip flight and a hotel. | assistant: Sure, I can help with that. What dates are you traveling, and do you have any airline, cabin, or hotel requirements? | user: I would leave LAX on April 14, arrive in London on April 15, and return to Los Angeles on April 19. Economy is fine, premium economy only if it is not a big ... | assistant: Got it. For flights, would you prefer nonstop even if it costs more, or are one-stop options okay? Also, do you want to fly into Heathrow, Gatwick, or whiche... | user: Heathrow is best. Nonstop is preferred going there because I need to land reasonably rested. Coming back, I can handle one stop if the timing is not awful.""}]",pass,,
review_tm2_planning_v02_user_0003_habit_work_hotel_near_venue_p02_exception,taskmaster_planning_v02_probe_d5e33858375740f5,tm2_planning_v02_user_0003_habit_work_hotel_near_venue_p02_exception,tm2_planning_v02_user_0003,test,exception,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"You’re selecting a hotel for a Boston work conference at the Seaport Convention Center. The traveler notes: “I’d like this stay to be in Back Bay or Fenway, and I’m okay with a longer ride to the conference for that.” Which option best fits this trip?","[{""choice_id"": ""A"", ""text"": ""A Cambridge boutique hotel with strong amenities, about 35 minutes to the convention center by transit, with a midrange nightly rate and a location outside Back Bay/Fenway.""}, {""choice_id"": ""B"", ""text"": ""An airport-area hotel with the lowest nightly rate, about 45 minutes to the convention center by transit, with convenient airport access and a location outside Back Bay/Fenway.""}, {""choice_id"": ""C"", ""text"": ""A Back Bay hotel near Copley Square, about 25 minutes to the convention center by transit, with a midrange nightly rate and a location within the requested area.""}, {""choice_id"": ""D"", ""text"": ""A Seaport hotel two blocks from the convention center, about a five-minute walk to the meeting, with a higher nightly rate and a location outside Back Bay/Fenway.""}]",C,apply_current_trip_constraint,"[{""session_id"": ""tm2_planning_v02_user_0003_s0024"", ""session_index"": 24, ""signal_type"": ""exception"", ""source_domain"": ""flights"", ""messages_preview"": ""user: Hi, I'd like help sorting out some travel. I'll be leaving from New York, and there are a couple of work trips coming up. | assistant: Sure, I can help with flights and hotels. Which trip should we start with? | user: First is a client review in Chicago next month. The meeting is at 233 South Wacker Drive, and I'd rather not deal with cabs in the morning. Can you look for ... | assistant: Yes. For that address, I would focus on the Loop or immediately around Willis Tower. There are cheaper hotels farther north or west, but the closest practica... | user: Exactly. For client days I care more about being nearby than saving fifty dollars. Please hold a refundable room if there is one with breakfast.""}]",pass,,
review_tm2_planning_v02_user_0004_habit_quiet_hotel_for_work_p00_direct_use,taskmaster_planning_v02_probe_e9111e4887239b12,tm2_planning_v02_user_0004_habit_quiet_hotel_for_work_p00_direct_use,tm2_planning_v02_user_0004,test,direct_use,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"I'm booking a three-night hotel in Seattle for a client workshop. Days will be full, and most evenings I'll likely handle email follow-ups, a short call, and deck edits from the room. Which hotel is the best fit?","[{""choice_id"": ""A"", ""text"": ""A conference-center hotel connected to the workshop venue, with a two-minute indoor walk and a busy lobby restaurant; rooms have compact tables and guests describe the Wi-Fi as adequate for messages.""}, {""choice_id"": ""B"", ""text"": ""A boutique hotel in a dining-and-nightlife area, with spacious rooms and a rooftop lounge; reviews praise the location for evenings out and note street noise on weekends.""}, {""choice_id"": ""C"", ""text"": ""A full-service hotel a short rideshare away, with a pool, gym, breakfast package, and staffed business center; room reviews are mixed on desk size and Wi-Fi stability.""}, {""choice_id"": ""D"", ""text"": ""A smaller business-oriented hotel about a 10-minute walk from the workshop, with dependable Wi-Fi, full in-room desks, and quiet rooms; on-site dining and evening scene are limited.""}]",D,apply_scoped_habit,"[{""session_id"": ""tm2_planning_v02_user_0004_s0016"", ""session_index"": 16, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need help lining up a Delta trip to Seattle for next month. It is for a client workshop, so I also need a hotel that will let me get real work done. | assistant: Sure. What city are you flying from, what dates, and do you have any timing constraints for the flights? | user: Leaving from Atlanta on Monday, May 13, returning Thursday, May 16. I need to be in Seattle by midafternoon Monday because I have prep calls that evening. | assistant: I can look for Delta options arriving before midafternoon. Do you prefer nonstop if available, or are you open to one connection for a lower fare? | user: Nonstop if it is not wildly more expensive. For this trip the schedule matters more than shaving off a little money.""}, {""session_id"": ""tm2_planning_v02_user_0004_s0017"", ""session_index"": 17, ""signal_type"": ""support"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: Hi, I need help picking a hotel in Seattle for a work trip next month. | assistant: Sure. What dates, budget, and part of Seattle are you considering? | user: June 11 to 13, just me. I have vendor meetings near the Convention Center and I’ll need to finish a slide deck at night. I’d rather not end up somewhere loud. | assistant: Got it. Do you want to be walking distance to the Convention Center, or is a short rideshare okay? | user: Walking distance would be nice, but not if it means staying above bars or a clubby lobby. I need decent Wi-Fi, a real desk, and quiet enough for a couple of ...""}, {""session_id"": ""tm2_planning_v02_user_0004_s0018"", ""session_index"": 18, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need to arrange a round trip flight from Austin to Seattle for a client workshop next month, and probably a hotel too. | assistant: Sure. What dates are you traveling, and do you have any time or airline preferences? | user: Leave Monday, May 13, and come back Thursday evening, May 16. I need to be in Bellevue by 2 pm Monday, so a morning arrival would be best. | assistant: I found a few reasonable round-trip options. The strongest fit is a 7:10 am departure from Austin with one stop in Denver, landing in Seattle at 11:35 am. Re... | user: Let’s keep the buffer. I’ll have materials to review when I land, so I don’t want to be rushing straight into the room.""}]",pass,,
review_tm2_planning_v02_user_0007_habit_short_trip_no_checked_bag_p00_direct_use,taskmaster_planning_v02_probe_d69e07f0613bacf9,tm2_planning_v02_user_0007_habit_short_trip_no_checked_bag_p00_direct_use,tm2_planning_v02_user_0007,test,direct_use,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"I’m booking a one-night work visit to Chicago for a Tuesday afternoon client meeting, returning Wednesday evening. Which itinerary would you recommend?","[{""choice_id"": ""A"", ""text"": ""Choose the cheapest basic-economy connection both ways and a downtown hotel near the meeting; it saves about $140, adds one stop each direction, and includes only a personal item unless extra baggage is purchased.""}, {""choice_id"": ""B"", ""text"": ""Use the lower-priced regional-jet connection that lands earlier and stay two blocks from the client office; it saves about $75, has a short layover, and full-size rollers are commonly gate-checked on that aircraft.""}, {""choice_id"": ""C"", ""text"": ""Take the late-morning nonstop and stay at an O’Hare-area hotel; it keeps the airfare low and includes a checked-bag bundle, while leaving about 80 minutes before the meeting and a longer ride into the city.""}, {""choice_id"": ""D"", ""text"": ""Book main-cabin nonstop flights both ways and the hotel two blocks from the client office; it costs about $90 more and requires an earlier outbound, with standard overhead-bin access for a roller and laptop bag.""}]",D,apply_scoped_habit,"[{""session_id"": ""tm2_planning_v02_user_0007_s0000"", ""session_index"": 0, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need to get to San Diego next Tuesday for a client demo and come back Wednesday night. Can you help me sort out flights from Portland? | assistant: Sure. What time do you need to arrive in San Diego on Tuesday, and how late can you return on Wednesday? | user: The demo is at 2:30 Tuesday, so I want to land by noon if possible. Wednesday I can leave after 5. It's just one night, so I want to keep it simple. | assistant: I found a few workable choices: a 7:10 AM nonstop arriving 9:45 AM, a 9:30 AM one-stop arriving 1:10 PM, and an 8:05 AM basic fare that is cheaper but only i... | user: Skip the basic fare. For a one-night work trip I only take my laptop bag and a small roller, and I do not want to deal with checked luggage or being forced i...""}, {""session_id"": ""tm2_planning_v02_user_0007_s0001"", ""session_index"": 1, ""signal_type"": ""support"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: I need to set up a quick Seattle trip for next Thursday. It is just one night for a client meeting near South Lake Union, and I mainly need a hotel that won'... | assistant: Sure. What price range should I stay within, and do you already know roughly when you will arrive and leave? | user: I'd like to keep the hotel under about $260 before taxes if possible. I fly in Thursday morning and leave Friday evening. I'm only taking a laptop backpack a... | assistant: Got it. For South Lake Union, I would look at Hyatt Place Seattle/Downtown, citizenM South Lake Union, and The Maxwell. Hyatt Place is usually practical for ... | user: Compact is fine, but I need somewhere that can hold my carry-on before check-in or after checkout. I don't want to drag a roller into the meeting, and I don'...""}, {""session_id"": ""tm2_planning_v02_user_0007_s0016"", ""session_index"": 16, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need to get to London for a quick client meeting next month. Can you help me sort flights? | assistant: Sure. What city are you flying from, and what dates do you have in mind? | user: From Seattle. I need to arrive by Tuesday morning, March 12, and come back Thursday, March 14. It is just two nights. | assistant: Got it. Do you prefer nonstop flights, or are you open to a connection if the price is better? | user: Nonstop if it is not ridiculous. Since it is so short, I want the least amount of airport friction possible.""}]",pass,,
review_tm2_planning_v02_user_0007_habit_short_trip_no_checked_bag_p02_exception,taskmaster_planning_v02_probe_bdf3fb6e637ce47f,tm2_planning_v02_user_0007_habit_short_trip_no_checked_bag_p02_exception,tm2_planning_v02_user_0007,test,exception,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"You are helping plan a one-night JFK-to-SFO work trip. The traveler says: ""For this trip, I need to bring a locked sample case and a tripod that both exceed cabin-size limits. They can’t be sent ahead, and they need to be with me for a morning presentation."" Which plan should you recommend?","[{""choice_id"": ""A"", ""text"": ""Book a nonstop fare with normal carry-on privileges and ask in advance whether the case and tripod can be gate-checked; it keeps the trip streamlined, but relies on an exception for items already over cabin limits.""}, {""choice_id"": ""B"", ""text"": ""Choose a lower-priced one-stop itinerary that includes checked bags for the equipment; it manages the fare, but uses a connection for items needed the next morning.""}, {""choice_id"": ""C"", ""text"": ""Book the earliest nonstop basic-economy fare and add the needed checked bags through the airline app once ticketed; it protects arrival timing, but leaves fare restrictions and size rules to be resolved after purchase.""}, {""choice_id"": ""D"", ""text"": ""Book a nonstop standard-economy-or-better fare with checked-bag allowance for both items, confirm size and handling rules before purchase, and plan time for bag drop and claim; it gives up some speed, but matches the equipment requirement.""}]",D,apply_current_trip_constraint,"[{""session_id"": ""tm2_planning_v02_user_0007_s0014"", ""session_index"": 14, ""signal_type"": ""exception"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I’m trying to clean up a few work trips at once. First is a quick Newark to Raleigh overnight next Monday. Please keep it simple: backpack plus roller only, ... | assistant: For that one-night Raleigh visit, I’d focus on nonstop or one-stop flights with standard economy or better, since basic fares can be awkward about carry-ons.... | user: Exactly. Same rule as my Boston client visit last month and the Chicago one before that. If I’m gone one night, I don’t want to stand at baggage claim. | assistant: Understood. For short work hops, I’ll keep the plan cabin-friendly: normal carry-on allowance, enough overhead-bin likelihood, and no itinerary where checkin... | user: Good. Second thing: Saturday morning to Sunday night in Montreal for a friend’s event. Flexible airports are okay, but I still want to travel light.""}]",pass,,
review_tm2_planning_v02_user_0008_habit_international_long_layover_buffer_p01_boundary,taskmaster_planning_v02_probe_71596ca658f462c9,tm2_planning_v02_user_0008_habit_international_long_layover_buffer_p01_boundary,tm2_planning_v02_user_0008,test,boundary,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"A traveler is choosing flights for a quick domestic weekend trip from Raleigh-Durham (RDU) to New Orleans (MSY). No passport control, airport transfer, or separate-ticket issue is involved. The options are: a nonstop flight for $238 arriving at 10:40 AM; a one-stop flight via Atlanta for $219 arriving at 12:15 PM with a 55-minute same-terminal connection; a one-stop flight via Charlotte for $232 arriving at 1:45 PM with a 3-hour layover; and a one-stop flight via Chicago for $205 arriving at 3:20 PM. Which option should be recommended first?","[{""choice_id"": ""A"", ""text"": ""Recommend the Charlotte itinerary: it offers the widest connection cushion, with a later arrival and only a small savings compared with the nonstop.""}, {""choice_id"": ""B"", ""text"": ""Recommend the nonstop itinerary: it offers the simplest and earliest arrival, with a higher fare than the connecting options.""}, {""choice_id"": ""C"", ""text"": ""Recommend the Atlanta itinerary: it offers a lower fare and a before-lunch arrival, with a short same-terminal connection.""}, {""choice_id"": ""D"", ""text"": ""Recommend the Chicago itinerary: it offers the lowest fare, with the latest arrival and the least direct routing.""}]",B,do_not_apply_out_of_scope,"[{""session_id"": ""tm2_planning_v02_user_0008_s0029"", ""session_index"": 29, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: I’m planning a quick weekend in New Orleans next month and need help with a hotel, maybe flights too. I’ll be leaving from Raleigh on a Friday after work and... | assistant: Sure. For the hotel, do you want to be close to the French Quarter, somewhere quieter like the Warehouse District, or more of a neighborhood stay? And for fl... | user: Nonstop would be great if it’s not wildly expensive. For the hotel, close enough to walk to dinner and music, but I don’t need Bourbon Street right outside t... | assistant: That points to the Central Business District, Warehouse District, or the quieter edge of the French Quarter. What’s your nightly hotel budget, and do you car... | user: Let’s keep it under about $240 a night before taxes. I like boutique hotels, but I also want the room to be clean and not tiny. A pool would be nice, not req...""}, {""session_id"": ""tm2_planning_v02_user_0008_s0033"", ""session_index"": 33, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: I have a few travel loose ends. First, for my September trip to Madrid, there are two routings from Portland: one changes in Amsterdam with 50 minutes, the o... | assistant: For an international trip, the Amsterdam connection sounds tight. The Atlanta routing gives you more room for delays and the overseas boarding process. Do yo... | user: Yes, exactly. If I'm crossing borders, I don't like gambling on a sprint. I'd rather get in later than be stuck rebooking after a tiny connection. | assistant: Then I would choose the Atlanta routing for Madrid, even with the longer total travel time. | user: Same question for the way back from Tokyo in November. I can connect through Vancouver with 1 hour 5 minutes, or Seattle with 2 hours 40 minutes. Seattle add...""}]",pass,,
review_tm2_planning_v02_user_0012_habit_business_travel_arrival_buffer_p01_boundary,taskmaster_planning_v02_probe_67fff91a597a61dc,tm2_planning_v02_user_0012_habit_business_travel_arrival_buffer_p01_boundary,tm2_planning_v02_user_0012,test,boundary,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"A user is choosing flights for a Friday-to-Monday personal visit to a friend in Portland. The friend can pick them up whenever they land, Friday evening is open, and they expect to start doing things on Saturday. One flight connects and arrives at 3:10 p.m. for $85 more; the other is a nonstop arriving at 8:30 p.m. for less. Which recommendation best fits this trip?","[{""choice_id"": ""A"", ""text"": ""Recommend the 3:10 p.m. connecting flight, accepting the higher fare for a calmer first evening and more room if travel runs late.""}, {""choice_id"": ""B"", ""text"": ""Recommend the 8:30 p.m. nonstop, accepting the later arrival in exchange for the lower fare and simpler routing.""}, {""choice_id"": ""C"", ""text"": ""Recommend looking for a Thursday-evening arrival, accepting a possible extra night so the whole Friday stays open.""}, {""choice_id"": ""D"", ""text"": ""Recommend the 3:10 p.m. option and keep Friday evening low-key, accepting the connection to maximize arrival-day flexibility.""}]",B,do_not_apply_out_of_scope,"[{""session_id"": ""tm2_planning_v02_user_0012_s0006"", ""session_index"": 6, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""flights"", ""messages_preview"": ""user: Can you help me look at round-trip flights from Sacramento to Houston? This is just for a low-key visit with my brother, not work. | assistant: Sure. What dates are you thinking, how many travelers, and do you have a preferred airport in Houston, like Hobby or Bush Intercontinental? | user: One traveler. Leave Sacramento on Friday, April 18, and come back Tuesday, April 22. Either Houston airport is fine, though my brother lives closer to Hobby. | assistant: Got it. Any preferences on airlines, number of stops, baggage, or time of day? | user: I’m trying to keep it reasonable. One stop is okay. I’ll just bring a carry-on. I don’t care if I get in late on Friday because we’re only hanging out that w...""}, {""session_id"": ""tm2_planning_v02_user_0012_s0014"", ""session_index"": 14, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I'm thinking about a relaxed trip to Belgium in late September. I need help picking a flight and hotel, probably into Brussels, but I want a few nights where... | assistant: That sounds lovely. I can help narrow it down. What city are you departing from, what dates are you considering, and how many nights would you like to stay? | user: Leaving from Boston. Dates are flexible, but maybe September 20 to 26. It's just a personal trip, no conference or appointments. I might visit Bruges one day... | assistant: Great. Since you're flexible and there are no fixed same-day plans, we can prioritize price, comfort, and hotel location rather than protecting a specific ar... | user: One stop is okay if it saves enough money. I don't want a brutal overnight layover, but a normal connection is fine.""}]",pass,,
review_tm2_planning_v02_user_0013_habit_tight_schedule_nonstop_priority_p01_boundary,taskmaster_planning_v02_probe_ad4772ad1a8c4572,tm2_planning_v02_user_0013_habit_tight_schedule_nonstop_priority_p01_boundary,tm2_planning_v02_user_0013,test,boundary,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"A traveler is arranging a personal weekend trip with no appointment on arrival day. They prefer to keep the fare down if the connection is reasonable. The nonstop is $210 more, while a one-stop option has a 2-hour daytime layover, includes a checked bag, and still arrives the same evening. Which recommendation best fits the trip?","[{""choice_id"": ""A"", ""text"": ""Book the nonstop to reduce the chance of a missed connection, accepting the higher fare for a smoother travel day.""}, {""choice_id"": ""B"", ""text"": ""Book the one-stop itinerary to keep costs lower, accepting the 2-hour layover since the arrival time is flexible.""}, {""choice_id"": ""C"", ""text"": ""Book a cheaper flight to a different airport, accepting extra ground travel to reduce the airfare further.""}, {""choice_id"": ""D"", ""text"": ""Book a refundable fare on the nonstop, accepting the premium for both flexibility and fewer flight segments.""}]",B,do_not_apply_out_of_scope,"[{""session_id"": ""tm2_planning_v02_user_0013_s0006"", ""session_index"": 6, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I'm planning a round trip from Sacramento to Chicago for a casual visit. Can you help me compare flights? | assistant: Sure. What dates are you considering, and do you have a preferred Chicago airport? | user: Leave Friday May 16 and come back Tuesday May 20. Either O'Hare or Midway is fine. I'm visiting friends, so I don't have any same-day appointments or anythin... | assistant: Got it. How many travelers, and are you trying to keep the price down or keep the travel time short? | user: Just me. Price matters more this time. I can deal with a layover if it saves enough money, as long as it's not overnight.""}, {""session_id"": ""tm2_planning_v02_user_0013_s0034"", ""session_index"": 34, ""signal_type"": ""boundary_counterexample"", ""source_domain"": ""flights"", ""messages_preview"": ""user: Can you help me look at round-trip flights from Los Angeles to New York? I’d leave LAX tomorrow and come back three days later. It’s just to visit a friend, ... | assistant: Sure. Is JFK required, or would Newark or LaGuardia work too? Also, do you have any limits on departure or arrival times, checked bags, or connections? | user: JFK is best because my friend is in Queens, but I could handle another airport if the savings are meaningful. Carry-on only. I can leave after about 7 in the... | assistant: Got it. I’m seeing three broad types of options: nonstop LAX-JFK around $360 to $390, one-stop flights into JFK around $285 to $315, and cheaper one-stop fli... | user: I’d rather not pay nearly $100 more just to avoid changing planes. I’m going for fun, so I can read at an airport for a bit.""}]",pass,,
review_tm2_planning_v02_user_0013_habit_tight_schedule_nonstop_priority_p02_exception,taskmaster_planning_v02_probe_b94f242429f594bb,tm2_planning_v02_user_0013_habit_tight_schedule_nonstop_priority_p02_exception,tm2_planning_v02_user_0013,test,exception,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"I’m booking the outbound flight from San Francisco to Nashville for a trip with a 2 p.m. supplier meeting near Music City Center on arrival day. For this booking, I want to conserve cash and use Delta miles where the routing is still workable; a single connection is acceptable if it has a decent buffer. Which itinerary should I choose?","[{""choice_id"": ""A"", ""text"": ""A nonstop into Nashville on another carrier, arriving about 3.5 hours before the meeting, with a higher cash fare and no useful mileage redemption.""}, {""choice_id"": ""B"", ""text"": ""A one-stop Delta mileage booking, with a 95-minute layover, minimal taxes, and arrival about 2.5 hours before the meeting.""}, {""choice_id"": ""C"", ""text"": ""The lowest listed cash fare, with two connections, a 40-minute layover, and arrival about 70 minutes before the meeting.""}, {""choice_id"": ""D"", ""text"": ""A Delta nonstop award, arriving about 4 hours before the meeting, with a much larger mileage cost and higher fees than the one-stop option.""}]",B,apply_current_trip_constraint,"[{""session_id"": ""tm2_planning_v02_user_0013_s0013"", ""session_index"": 13, ""signal_type"": ""exception"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: Hi, I need help arranging a hotel in Nashville, Tennessee, and probably flights too. | assistant: Sure. What dates are you traveling, where are you starting from, and do you have an area or nightly budget in mind? | user: Leave San Francisco Monday March 17 and come back Wednesday March 19. I have a supplier meeting at 2 pm Monday near Music City Center. I know I usually ask y... | assistant: Understood. For this Nashville trip, I will put miles and price ahead of the no-connection preference. What do you need from the hotel? | user: Two nights, under about $260 before taxes, gym, quiet if possible, and not too far from Music City Center. I will not have a rental car.""}]",pass,,
review_tm2_planning_v02_user_0014_habit_uncertain_trip_refundable_fare_p00_direct_use,taskmaster_planning_v02_probe_8943aff39e5e20d9,tm2_planning_v02_user_0014_habit_uncertain_trip_refundable_fare_p00_direct_use,tm2_planning_v02_user_0014,test,direct_use,planning_defaults,taskmaster_seeded_gpt55_xhigh_sessionwise_multihabit_v02,"A traveler is comparing airfare for a work trip to Denver next month. The client workshop is planned for midweek, but manager approval is not final and the meeting could move by one day. Which recommendation best fits the booking?","[{""choice_id"": ""A"", ""text"": ""Book the refundable main-cabin fare for about $620; it has the highest upfront price, and it can be changed or canceled back to the original payment method if the workshop moves.""}, {""choice_id"": ""B"", ""text"": ""Book the basic-economy fare for about $390; it has the lowest upfront price, and it carries strict change and cancellation limits if the workshop moves.""}, {""choice_id"": ""C"", ""text"": ""Book the standard economy fare for about $455; it has a useful schedule and carry-on allowance, and cancellation value would stay as airline credit.""}, {""choice_id"": ""D"", ""text"": ""Wait to purchase until approval is finalized; it avoids committing to the tentative dates, and the current fares or preferred nonstop seats may disappear.""}]",A,apply_scoped_habit,"[{""session_id"": ""tm2_planning_v02_user_0014_s0011"", ""session_index"": 11, ""signal_type"": ""support"", ""source_domain"": ""hotels"", ""messages_preview"": ""user: I need help setting up a hotel in Madison for a work convention. The main event is Saturday, and I’m aiming to arrive Friday the 19th, but my director still ... | assistant: Sure. How many people will be staying, and how many nights should I look for? | user: Just me for now, one room. Plan is Friday and Saturday night, checking out Sunday. There’s a small chance I’ll only need Friday if the Sunday client breakfas... | assistant: Got it. Do you want to be near the convention center downtown, near the university, or is price the biggest factor? | user: Downtown would be ideal. I don’t need anything fancy, but I’d rather not deal with a long rideshare in the morning.""}, {""session_id"": ""tm2_planning_v02_user_0014_s0018"", ""session_index"": 18, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: I need to look at flights to Marseille for a work trip next month. The dates are still a little unsettled because the client hasn't confirmed the workshop sc... | assistant: Sure. What city are you departing from, and what date range should I search around? | user: From Boston. The workshop is probably April 14 to 16, so I might fly out on the 13th and return on the 17th. But procurement has not signed off yet, and the ... | assistant: Understood. Would you like me to prioritize lower price, shorter travel time, or fares that can be changed more easily? | user: For this one, please prioritize flexible or refundable fares. If the meeting slips, I don't want to be stuck with a cheap ticket I can't change.""}, {""session_id"": ""tm2_planning_v02_user_0014_s0028"", ""session_index"": 28, ""signal_type"": ""support"", ""source_domain"": ""flights"", ""messages_preview"": ""user: Hi, I need to look at a round trip from Sacramento to Salt Lake City for work. It is probably next month, but the meeting is still moving around a bit. | assistant: Sure, I can help narrow it down. What dates are you aiming for, and do you have preferred travel times? | user: Right now the team is saying fly out Tuesday, May 14 and come back Thursday, May 16. The client may push it by a day if their approval meeting slips, so I do... | assistant: Understood. Sacramento to Salt Lake City, May 14 to May 16, with some chance the dates could shift. Are you looking for nonstop only, or are connections acce... | user: Nonstop would be best if the price is not ridiculous. I also need to be able to change the ticket without losing the whole fare if the workshop moves.""}]",pass,,
