task_id	method	dataset_name	dataset_dir	method_output_root	shard_index	shard_count
0	no_memory	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/no_memory	0	6
1	no_memory	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/no_memory	1	6
2	no_memory	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/no_memory	2	6
3	no_memory	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/no_memory	3	6
4	no_memory	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/no_memory	4	6
5	no_memory	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/no_memory	5	6
6	full_history	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/full_history	0	6
7	full_history	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/full_history	1	6
8	full_history	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/full_history	2	6
9	full_history	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/full_history	3	6
