group_field,group,n,accuracy,avg_retrieved_tokens_est,avg_stored_items_est,baseline,elapsed_sec
overall,overall,201,0.3433,0.0,0.0,no_memory_lexical,0.02
probe_type,boundary,36,0.6389,0.0,0.0,no_memory_lexical,0.02
probe_type,conflict_current_override,26,0.4615,0.0,0.0,no_memory_lexical,0.02
probe_type,cross_habit_selection,31,0.2903,0.0,0.0,no_memory_lexical,0.02
probe_type,direct_use,36,0.1944,0.0,0.0,no_memory_lexical,0.02
probe_type,exception,36,0.3611,0.0,0.0,no_memory_lexical,0.02
probe_type,explicit_retrieval,36,0.1389,0.0,0.0,no_memory_lexical,0.02
capability_group,counterevidence_exception,36,0.3611,0.0,0.0,no_memory_lexical,0.02
capability_group,explicit_fact_preference_retrieval,36,0.1389,0.0,0.0,no_memory_lexical,0.02
capability_group,habit_boundary_false_personalization,36,0.6389,0.0,0.0,no_memory_lexical,0.02
capability_group,habit_direct_use,36,0.1944,0.0,0.0,no_memory_lexical,0.02
capability_group,memory_conflict_resolution,26,0.4615,0.0,0.0,no_memory_lexical,0.02
capability_group,relevant_memory_selection,31,0.2903,0.0,0.0,no_memory_lexical,0.02
habit_family,planning_defaults,201,0.3433,0.0,0.0,no_memory_lexical,0.02
stress_variant,travel_variable_profile_v03,201,0.3433,0.0,0.0,no_memory_lexical,0.02
overall,overall,201,0.4229,20331.55,72.24,full_history_segment_retrieval,7.809
probe_type,boundary,36,0.2778,20432.97,72.56,full_history_segment_retrieval,7.809
probe_type,conflict_current_override,26,0.2692,19983.92,71.19,full_history_segment_retrieval,7.809
probe_type,cross_habit_selection,31,0.4839,20152.0,71.68,full_history_segment_retrieval,7.809
probe_type,direct_use,36,0.6389,20432.97,72.56,full_history_segment_retrieval,7.809
probe_type,exception,36,0.1389,20432.97,72.56,full_history_segment_retrieval,7.809
probe_type,explicit_retrieval,36,0.6944,20432.97,72.56,full_history_segment_retrieval,7.809
capability_group,counterevidence_exception,36,0.1389,20432.97,72.56,full_history_segment_retrieval,7.809
capability_group,explicit_fact_preference_retrieval,36,0.6944,20432.97,72.56,full_history_segment_retrieval,7.809
capability_group,habit_boundary_false_personalization,36,0.2778,20432.97,72.56,full_history_segment_retrieval,7.809
capability_group,habit_direct_use,36,0.6389,20432.97,72.56,full_history_segment_retrieval,7.809
capability_group,memory_conflict_resolution,26,0.2692,19983.92,71.19,full_history_segment_retrieval,7.809
capability_group,relevant_memory_selection,31,0.4839,20152.0,71.68,full_history_segment_retrieval,7.809
habit_family,planning_defaults,201,0.4229,20331.55,72.24,full_history_segment_retrieval,7.809
stress_variant,travel_variable_profile_v03,201,0.4229,20331.55,72.24,full_history_segment_retrieval,7.809
overall,overall,201,0.2935,326.48,1.1,mem0_like_fact_memory,2.415
probe_type,boundary,36,0.4444,329.19,1.11,mem0_like_fact_memory,2.415
probe_type,conflict_current_override,26,0.4231,336.73,1.12,mem0_like_fact_memory,2.415
probe_type,cross_habit_selection,31,0.2903,305.29,1.03,mem0_like_fact_memory,2.415
probe_type,direct_use,36,0.2222,329.19,1.11,mem0_like_fact_memory,2.415
probe_type,exception,36,0.2778,329.19,1.11,mem0_like_fact_memory,2.415
probe_type,explicit_retrieval,36,0.1389,329.19,1.11,mem0_like_fact_memory,2.415
capability_group,counterevidence_exception,36,0.2778,329.19,1.11,mem0_like_fact_memory,2.415
capability_group,explicit_fact_preference_retrieval,36,0.1389,329.19,1.11,mem0_like_fact_memory,2.415
capability_group,habit_boundary_false_personalization,36,0.4444,329.19,1.11,mem0_like_fact_memory,2.415
capability_group,habit_direct_use,36,0.2222,329.19,1.11,mem0_like_fact_memory,2.415
capability_group,memory_conflict_resolution,26,0.4231,336.73,1.12,mem0_like_fact_memory,2.415
capability_group,relevant_memory_selection,31,0.2903,305.29,1.03,mem0_like_fact_memory,2.415
habit_family,planning_defaults,201,0.2935,326.48,1.1,mem0_like_fact_memory,2.415
stress_variant,travel_variable_profile_v03,201,0.2935,326.48,1.1,mem0_like_fact_memory,2.415
overall,overall,201,0.3134,326.48,1.1,zep_like_temporal_graph,2.428
probe_type,boundary,36,0.5,329.19,1.11,zep_like_temporal_graph,2.428
probe_type,conflict_current_override,26,0.4231,336.73,1.12,zep_like_temporal_graph,2.428
probe_type,cross_habit_selection,31,0.3226,305.29,1.03,zep_like_temporal_graph,2.428
probe_type,direct_use,36,0.25,329.19,1.11,zep_like_temporal_graph,2.428
probe_type,exception,36,0.2778,329.19,1.11,zep_like_temporal_graph,2.428
probe_type,explicit_retrieval,36,0.1389,329.19,1.11,zep_like_temporal_graph,2.428
capability_group,counterevidence_exception,36,0.2778,329.19,1.11,zep_like_temporal_graph,2.428
capability_group,explicit_fact_preference_retrieval,36,0.1389,329.19,1.11,zep_like_temporal_graph,2.428
